at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,HOU,A,0,0,0,1,0,2,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0.00,4-13-2013,
AT,MIN,A,0,0,0,0,0,2,1,8,0,1,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,2.25,4-15-2013,
VS,DET,A,0,0,0,0,0,1,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.80,4-20-2013,
VS,TEX,A,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.60,4-22-2013,
VS,TEX,A,1,0,0,0,0,3.1,6,18,0,5,5,2,0,2,0,0,0,0,0,0,0,0,0,0,1,7.56,4-24-2013,
AT,SEA,A,0,0,0,0,0,0.1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.27,4-27-2013,
AT,OAK,A,0,0,0,0,0,1,3,6,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.31,4-29-2013,
VS,KC,A,0,0,0,0,0,2.1,6,13,0,4,4,0,0,2,0,0,0,0,0,2,0,0,0,0,0,10.50,5-13-2013,
VS,KC,A,0,0,0,0,0,2,1,6,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,9.00,5-15-2013,
VS,STL,N,0,0,0,0,0,1,2,6,0,2,2,1,0,0,0,0,1,1,0,1,0,0,0,0,0,9.60,7- 3-2013,
VS,BOS,A,0,0,0,0,0,1,0,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,9.00,7- 6-2013,
AT,CHI,N,0,0,0,1,0,1,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8.47,7- 9-2013,
AT,SEA,A,0,0,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00,7-12-2013,
VS,OAK,A,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58,7-21-2013,
VS,MIN,A,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.20,7-22-2013,
VS,HOU,A,0,0,0,0,0,2,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0.00,7- 5-2014,
AT,TB,A,0,0,0,1,0,4.2,7,22,1,4,4,2,1,2,0,0,0,2,0,1,0,3,0,0,0,5.40,8- 2-2014,
VS,OAK,A,0,0,0,0,0,0.1,1,4,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,5.14,8-30-2014,
AT,MIN,A,0,0,0,0,0,2,3,8,1,3,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,7.00,9- 6-2014,
AT,TEX,A,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00,9-11-2014,
VS,SEA,A,0,0,0,1,0,3,3,14,0,3,3,2,0,1,0,1,0,1,0,0,0,2,1,0,0,7.50,9-16-2014,
AT,OAK,A,0,0,0,0,0,0.1,2,5,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,9-22-2014,
AT,BOS,A,0,0,0,1,0,3.2,10,22,3,6,6,1,0,3,0,0,0,0,0,3,0,0,0,0,0,14.73,7- 4-2016,
