at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,CHI,A,0,0,0,0,0,2,1,9,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,4.50,4-21-1966,
VS,MIN,A,0,0,0,0,0,1.1,2,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2.70,4-24-1966,
AT,BOS,A,0,0,0,0,0,0.1,1,5,1,3,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,7.36,4-30-1966,
AT,BOS,A,1,0,0,0,0,6,4,27,1,3,3,5,1,3,1,0,1,0,0,0,0,0,0,1,0,5.59,9-18-1966,
AT,DET,A,1,0,0,0,0,2,3,12,0,2,2,3,0,0,0,0,0,0,0,1,0,0,0,0,1,6.17,9-22-1966,2
VS,DET,A,1,0,0,0,0,6.2,6,28,0,1,1,3,0,7,0,0,1,0,0,1,0,1,0,0,0,4.42,9-26-1966,
VS,CLE,A,1,1,1,0,0,9,5,33,0,0,0,2,0,15,1,0,0,0,0,2,0,1,0,1,0,2.96,10- 2-1966,
VS,BAL,A,1,0,0,0,0,6,6,26,0,2,2,3,0,2,0,0,0,1,0,1,0,1,0,0,1,3.00,4-16-1967,2
AT,CLE,A,1,0,0,0,0,5.2,7,25,0,1,0,2,0,2,0,0,0,2,0,1,0,1,0,0,0,1.54,4-23-1967,2
VS,BOS,A,1,0,0,0,0,3.1,5,19,2,4,4,4,0,0,0,0,0,1,0,0,0,1,0,0,1,3.60,5- 1-1967,
