at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,TOR,A,0,0,0,1,0,2,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,4-12-1981,
AT,TOR,A,0,0,0,1,0,2,2,11,0,4,3,1,0,1,0,0,0,1,0,0,1,0,1,0,0,6.75,4-19-1981,
AT,CHI,A,0,0,0,0,0,0.1,2,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.00,7- 7-1982,
AT,TEX,A,0,0,0,0,0,4,5,17,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6.23,7-10-1982,1
AT,MIN,A,0,0,0,0,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.40,7-17-1982,
VS,CHI,A,0,0,0,0,0,3.2,5,17,2,2,2,1,0,6,0,0,1,0,0,1,0,0,0,0,0,5.19,7-19-1982,
VS,TEX,A,0,0,0,1,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4.66,7-25-1982,2
AT,NY,A,0,0,0,0,0,0.2,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.35,7-26-1982,
AT,NY,A,0,0,0,0,0,0.1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06,7-28-1982,
AT,TOR,A,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91,7-30-1982,
AT,TOR,A,0,0,0,1,0,0.2,2,5,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,5.40,7-31-1982,
VS,TOR,A,0,0,0,0,0,3.2,2,14,0,0,0,1,1,3,0,0,0,0,0,2,0,0,0,1,0,4.11,8- 5-1982,2
VS,TOR,A,0,0,0,1,0,2.1,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,8- 8-1982,1
VS,TOR,A,0,0,0,0,0,1.1,3,8,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.74,8- 8-1982,2
VS,NY,A,0,0,0,0,0,0.2,2,5,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,4.58,8- 9-1982,
VS,KC,A,0,0,0,0,0,2,2,8,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4.57,8-15-1982,
VS,SEA,A,0,0,0,1,0,3,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.01,8-17-1982,1
AT,CAL,A,0,0,0,0,0,0.1,1,4,0,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,5.04,8-21-1982,
AT,CAL,A,0,0,0,0,0,0.2,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.26,8-22-1982,
VS,CAL,A,0,0,0,0,0,0.2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.13,8-31-1982,
VS,OAK,A,1,0,0,0,0,5,7,24,0,1,1,2,0,6,0,0,0,0,0,0,1,0,0,0,0,4.60,9- 4-1982,
AT,MIL,A,0,0,0,1,0,0.2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.50,9- 7-1982,
AT,BOS,A,0,0,0,0,0,0.2,1,5,0,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5.23,9-11-1982,
VS,MIL,A,1,0,0,0,0,5,6,24,0,2,2,3,0,3,0,0,0,0,0,1,0,0,0,0,1,5.02,9-14-1982,
VS,BOS,A,1,0,0,0,0,7,5,26,1,2,2,1,0,3,1,0,0,1,0,1,0,1,0,0,1,4.63,9-19-1982,
AT,BAL,A,0,0,0,1,0,6.2,4,24,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,4.03,9-23-1982,
VS,BAL,A,0,0,0,1,0,3.1,2,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.79,9-28-1982,
VS,BAL,A,0,0,0,1,0,0.1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76,9-30-1982,
AT,CLE,A,1,1,0,0,0,9,5,35,0,1,1,4,0,3,0,0,0,0,0,1,0,0,0,1,0,3.38,10- 2-1982,2
VS,OAK,A,1,0,0,0,0,6,5,23,1,3,3,2,0,2,0,0,0,0,0,1,0,1,0,1,0,4.50,5-10-1983,
AT,KC,A,1,0,0,0,0,1.2,4,13,1,6,6,4,0,3,0,0,0,0,0,1,0,0,0,0,0,10.57,5-14-1983,
VS,NY,A,1,0,0,0,0,0,3,5,0,5,5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,16.43,5-18-1983,
AT,TOR,A,0,0,0,0,0,1.1,6,11,0,3,3,1,0,1,0,0,0,0,0,3,0,0,0,0,1,17.00,5-24-1983,
AT,SD,N,0,0,0,0,0,1,1,5,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,9.00,7- 9-1983,
AT,LA,N,0,0,0,0,0,1.1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86,7-12-1983,
AT,LA,N,0,0,0,0,0,1.2,2,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2.25,7-13-1983,
AT,SF,N,0,0,0,1,0,2,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.50,7-17-1983,
VS,SD,N,0,0,0,0,0,0.2,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.35,7-21-1983,
VS,LA,N,0,0,0,0,0,0,1,3,0,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4.05,7-23-1983,
VS,SF,N,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.52,7-26-1983,
AT,MON,N,0,0,0,0,0,0.2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.24,7-28-1983,1
AT,MON,N,0,0,0,1,0,2,2,8,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.48,7-29-1983,
VS,CHI,N,0,0,0,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18,8- 4-1983,
VS,PHI,N,0,0,0,0,0,1.1,1,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2.84,8- 5-1983,
VS,PHI,N,0,0,0,0,0,0.1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.77,8- 7-1983,
AT,CHI,N,0,0,0,1,0,1,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2.57,8- 9-1983,
AT,CHI,N,0,0,0,0,0,2.1,3,12,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,1,0,2.20,8-10-1983,
AT,PHI,N,0,0,0,0,0,1.2,1,7,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2.00,8-12-1983,
AT,PHI,N,0,0,0,0,0,0.1,0,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,8-14-1983,
VS,HOU,N,0,0,0,1,0,3,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,2.11,8-18-1983,
VS,ATL,N,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,8-24-1983,
AT,CIN,N,0,0,0,0,0,1.2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.88,8-26-1983,
AT,CIN,N,0,0,0,0,0,2.1,2,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1.71,8-27-1983,
AT,HOU,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,8-30-1983,
AT,ATL,N,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,8-31-1983,
VS,CIN,N,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.03,9- 3-1983,
VS,PIT,N,0,0,0,0,0,1,3,6,0,2,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2.60,9- 5-1983,2
VS,PIT,N,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60,9- 7-1983,
AT,CHI,N,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60,9- 9-1983,
AT,PIT,N,0,0,0,0,0,0.2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54,9-12-1983,
AT,PIT,N,0,0,0,0,0,2,1,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.37,9-13-1983,
AT,NY,N,0,0,0,0,0,0.2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32,9-14-1983,
AT,MON,N,0,0,0,0,0,2,3,8,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,2.45,9-19-1983,2
VS,PHI,N,0,0,0,1,0,0.2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.41,9-24-1983,
VS,PHI,N,0,0,0,0,0,0.1,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2.38,9-25-1983,
VS,MON,N,0,0,0,1,0,1,0,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.31,9-28-1983,
VS,CHI,N,0,0,0,0,0,2,3,9,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.43,10- 2-1983,
AT,SD,N,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,4-10-1984,
AT,SD,N,0,0,0,0,0,2,2,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00,4-11-1984,
VS,PIT,N,0,0,0,0,0,2,2,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.00,4-15-1984,
AT,CHI,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4-19-1984,
VS,MON,N,0,0,0,1,0,2,1,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,4-21-1984,1
VS,MON,N,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00,4-22-1984,
VS,CHI,N,0,0,0,0,0,0.1,0,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.04,4-23-1984,
AT,PIT,N,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,5- 2-1984,
VS,LA,N,0,0,0,0,0,1,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,5- 8-1984,
VS,SD,N,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,5- 9-1984,
AT,CIN,N,0,0,0,1,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.73,5-11-1984,
AT,CIN,N,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.68,5-12-1984,
AT,CIN,N,0,0,0,0,0,1.2,2,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.60,5-13-1984,
VS,CIN,N,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,5-18-1984,
VS,HOU,N,0,0,0,0,0,2,1,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0.50,5-21-1984,
VS,HOU,N,0,0,0,1,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.47,5-23-1984,
AT,ATL,N,0,0,0,1,0,2,2,11,0,2,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1.29,5-26-1984,
AT,ATL,N,0,0,0,0,0,0,2,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71,5-28-1984,
AT,HOU,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.69,5-30-1984,
AT,NY,N,0,0,0,1,0,2,1,9,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1.54,6- 2-1984,
VS,PHI,N,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,6- 4-1984,
VS,PHI,N,0,0,0,0,0,1.2,2,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1.44,6- 6-1984,
AT,PHI,N,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.38,6-13-1984,
VS,NY,N,0,0,0,0,0,1.2,2,9,0,1,1,2,0,2,0,0,0,0,0,1,0,0,0,0,0,1.63,6-14-1984,
VS,NY,N,0,0,0,0,0,3,1,12,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,1.47,6-16-1984,
AT,CHI,N,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.76,6-23-1984,
VS,MON,N,0,0,0,0,0,0.2,1,5,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2.01,6-27-1984,
AT,SD,N,0,0,0,0,0,1,4,6,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.51,6-28-1984,
