at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,BOS,A,1,0,0,0,0,4.1,4,24,0,4,3,6,0,4,0,0,0,0,0,1,0,0,1,0,1,6.23,8-24-1999,
AT,TOR,A,1,1,0,0,0,8,2,28,1,2,2,3,0,4,0,0,0,1,0,0,0,1,0,0,1,3.65,8-30-1999,
AT,TB,A,1,0,0,0,0,6,9,26,1,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.93,9- 4-1999,
VS,BAL,A,1,0,0,0,0,6,6,26,2,3,3,1,0,2,0,0,0,1,0,0,0,0,0,0,0,4.07,9- 9-1999,
VS,TEX,A,1,0,0,0,0,4.2,7,22,2,3,3,1,0,1,0,1,0,1,0,2,0,1,0,0,0,4.34,9-14-1999,
AT,OAK,A,1,0,0,0,0,5,5,21,0,0,0,3,0,1,0,0,0,0,0,1,0,1,0,1,0,3.71,9-20-1999,
VS,CHI,A,1,0,0,0,0,6,9,27,2,3,3,0,0,3,0,0,0,0,0,3,0,0,0,0,1,3.83,9-26-1999,
AT,CHI,A,1,0,0,0,0,0.2,4,8,1,5,5,2,0,0,0,0,0,0,0,1,1,0,0,0,1,4.87,10- 1-1999,
AT,ANA,A,1,0,0,0,0,3,5,18,2,5,3,3,0,0,0,1,0,0,0,1,1,0,1,0,1,9.00,6-23-2000,
AT,CHI,A,0,0,0,0,0,4,6,18,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5.14,6-28-2000,
VS,BOS,A,0,0,0,0,0,0.1,2,5,1,4,4,2,0,0,0,0,1,0,0,1,0,0,0,0,0,9.82,7- 3-2000,
VS,BOS,A,0,0,0,0,0,1,5,8,2,5,5,0,0,1,0,0,0,0,0,2,0,0,0,0,0,14.04,7- 4-2000,
VS,CHI,N,0,0,0,1,0,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.54,7-14-2000,
VS,STL,N,0,0,0,0,0,0.1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.03,7-17-2000,
VS,CLE,A,0,0,0,1,0,2,1,7,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11.57,7-23-2000,
VS,NY,A,0,0,0,1,0,2,2,7,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,9.88,7-30-2000,
AT,BAL,A,0,0,0,1,0,1.1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00,7-31-2000,
AT,DET,A,0,0,0,0,0,1.2,3,9,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9.18,8- 6-2000,
AT,TB,A,0,0,0,1,0,1,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8.66,8- 8-2000,
AT,TB,A,0,0,0,0,0,0.2,1,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.84,8-10-2000,
VS,TOR,A,0,0,0,0,0,2,2,8,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8.41,8-13-2000,
VS,CHI,A,0,0,0,0,0,2.1,3,13,0,2,2,2,0,3,0,0,0,1,0,2,0,0,0,0,0,8.34,9-21-2000,
AT,CLE,A,0,0,0,1,0,3,2,11,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,7.36,9-27-2000,
AT,DET,A,0,0,0,0,0,0.1,2,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.62,10- 1-2000,
