at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,TB,A,1,0,0,0,0,6,2,24,0,1,1,4,0,7,0,0,1,0,0,1,0,0,0,0,0,1.50,7- 7-2009,
AT,BAL,A,1,0,0,0,0,6,5,25,1,3,3,3,0,5,0,0,1,0,0,1,0,1,0,0,1,3.00,7-12-2009,
VS,BOS,A,1,0,0,0,0,6,4,25,0,1,1,4,0,4,0,0,0,0,0,2,0,1,0,1,0,2.50,7-18-2009,
VS,CLE,A,1,0,0,0,0,4.1,3,21,0,4,2,4,0,6,0,0,0,1,0,0,1,1,1,0,1,2.82,7-23-2009,
AT,SEA,A,1,0,0,0,0,5.1,5,23,0,3,3,2,0,8,1,0,1,0,1,1,0,0,0,0,0,3.25,7-28-2009,
VS,NY,A,1,0,0,0,0,6,5,24,1,4,4,1,0,7,0,0,0,0,0,1,0,0,0,0,1,3.74,8- 5-2009,
AT,NY,A,1,0,0,0,0,3.1,7,18,3,4,4,1,0,0,0,1,0,0,0,0,0,1,1,0,0,4.38,8-10-2009,
AT,TB,A,1,0,0,0,0,6,6,26,0,1,1,3,0,1,1,0,0,0,0,1,0,2,1,0,0,3.98,8-16-2009,
VS,ANA,A,1,0,0,0,0,6.1,3,23,0,1,1,1,0,6,0,0,0,0,0,1,0,0,0,1,0,3.65,8-21-2009,
VS,TB,A,1,0,0,0,0,6,3,25,1,2,2,5,0,7,0,0,0,0,0,0,0,0,0,0,0,3.58,8-26-2009,
AT,TEX,A,1,0,0,0,0,6,8,27,1,3,3,2,0,9,0,0,1,0,0,1,0,1,1,0,1,3.67,9- 1-2009,1
VS,MIN,A,1,0,0,0,0,5.2,8,24,2,4,4,1,0,7,0,1,0,0,0,0,0,1,0,0,0,6.35,7- 7-2010,
VS,BOS,A,0,0,0,0,0,0.2,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,5.68,7-10-2010,
AT,BAL,A,0,0,0,0,0,0.1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.40,7-17-2010,
AT,KC,A,1,0,0,0,0,4.2,9,24,0,5,5,1,0,3,0,1,1,0,0,3,2,0,0,0,1,7.15,7-21-2010,
AT,ANA,A,1,0,0,0,0,7,2,25,0,0,0,0,0,6,0,0,1,2,0,1,0,0,0,1,0,4.42,8-13-2010,
AT,OAK,A,1,0,0,0,0,4.1,5,21,0,3,3,5,0,0,0,0,0,0,0,2,0,1,0,0,0,4.76,8-18-2010,
VS,NY,A,1,0,0,0,0,3,8,18,3,6,6,2,0,1,0,0,0,0,0,1,0,1,0,0,1,6.31,8-24-2010,
VS,DET,A,1,0,0,0,0,5.2,5,28,0,4,3,5,1,8,0,0,1,0,0,2,0,0,1,0,1,6.03,8-29-2010,
AT,NY,A,1,0,0,0,0,4,6,22,0,5,5,3,0,1,0,0,1,1,0,3,0,0,0,0,0,6.62,9- 4-2010,
VS,TEX,A,1,0,0,0,0,5,7,22,1,3,3,3,0,2,0,0,0,0,0,1,0,2,0,0,1,6.47,9- 8-2010,
AT,BAL,A,1,0,0,0,0,5,6,22,1,2,2,2,0,3,0,0,0,1,0,2,0,1,0,0,0,6.15,9-13-2010,
VS,SEA,A,1,0,0,0,0,6.1,7,28,0,2,2,3,0,8,1,0,0,0,1,0,0,1,0,1,0,5.75,9-21-2010,
VS,NY,A,1,0,0,0,0,5,4,22,1,2,2,3,0,9,0,0,0,0,0,0,0,1,1,1,0,5.56,9-27-2010,
AT,MIN,A,1,0,0,0,0,7,4,26,0,1,0,2,0,6,0,0,0,0,0,1,0,1,0,1,0,4.95,10- 3-2010,
