at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,SD,N,1,0,0,0,0,7,2,25,0,1,0,1,0,8,0,0,0,1,0,0,0,0,0,1,0,0.00,8- 9-1991,
AT,LA,N,1,0,0,0,0,6,5,27,0,3,2,5,0,5,0,0,1,0,0,0,0,1,0,0,1,1.38,8-14-1991,
VS,ATL,N,1,0,0,0,0,6,5,26,0,4,4,3,1,8,0,0,0,0,0,1,0,0,0,0,1,2.84,8-20-1991,2
VS,PHI,N,1,0,0,0,0,4,4,19,2,4,4,3,0,5,0,0,1,0,0,0,0,0,0,0,0,3.91,8-26-1991,
VS,NY,N,1,0,0,0,0,5,3,21,1,2,2,3,0,5,0,0,2,0,0,1,0,0,0,0,0,3.86,8-31-1991,
VS,SF,N,0,0,0,1,0,0.1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,7-30-1993,
AT,CIN,N,1,0,0,0,0,5,4,23,0,3,2,5,0,6,1,1,1,0,0,0,0,1,0,0,0,3.38,8- 3-1993,
AT,SD,N,1,0,0,0,0,7,5,29,0,1,1,5,0,5,1,0,1,0,1,1,0,1,0,1,0,2.19,8- 8-1993,
AT,HOU,N,1,0,0,0,0,4.2,3,21,1,3,3,4,0,6,1,0,0,0,0,1,0,0,0,0,0,3.18,8-13-1993,
VS,PHI,N,1,0,0,0,0,4,5,22,1,4,4,5,0,4,0,0,0,0,0,1,0,0,0,0,0,4.29,8-18-1993,
AT,PHI,N,1,0,0,0,0,5,8,24,1,5,4,3,0,2,0,0,0,0,0,2,0,1,0,0,1,4.85,8-25-1993,
VS,MON,N,1,0,0,0,0,3.2,5,21,0,4,3,5,0,4,0,1,0,0,0,0,1,0,1,0,1,5.16,8-30-1993,
AT,MON,N,0,0,0,0,0,1,3,6,1,3,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,5.87,9- 8-1993,
VS,LA,N,0,0,0,0,0,2,1,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5.51,9-18-1993,
VS,SD,N,0,0,0,0,0,2,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5.19,9-20-1993,
VS,CIN,N,0,0,0,0,0,1,2,6,0,2,1,0,0,1,1,0,0,0,0,0,2,0,1,0,0,5.30,9-25-1993,
AT,BOS,A,0,0,0,1,0,2.1,3,12,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0.00,4-26-1995,
VS,KC,A,0,0,0,1,0,1,1,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.70,5- 2-1995,
AT,CLE,A,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08,5- 7-1995,
AT,CHI,A,0,0,0,1,0,0.1,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93,5- 8-1995,
AT,CHI,A,0,0,0,1,0,1,2,5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.18,5- 9-1995,
VS,OAK,A,0,0,0,0,0,3.1,3,16,1,1,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3.00,5-13-1995,
VS,CAL,A,0,0,0,0,0,1,1,6,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3.60,5-16-1995,
VS,CAL,A,0,0,0,1,0,2.1,3,11,2,3,3,1,0,3,0,0,1,0,0,1,0,0,0,0,0,5.11,5-18-1995,
AT,DET,A,0,0,0,1,0,2,1,8,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5.02,5-23-1995,
AT,TEX,A,0,0,0,0,0,3.2,0,13,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,4.00,6- 1-1995,
VS,MIL,A,0,0,0,0,0,0.2,2,6,1,3,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,5.30,6- 6-1995,
