at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,BAL,A,0,0,0,0,0,3.1,3,13,1,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2.70,9- 2-2017,
AT,BOS,A,0,0,0,0,0,2,0,7,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1.69,9- 5-2017,
VS,DET,A,0,0,0,1,1,3,2,10,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1.08,9-10-2017,
AT,MIN,A,0,0,0,1,0,0.2,1,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2.00,9-14-2017,
AT,MIN,A,0,0,0,0,0,2,2,10,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,1.64,9-17-2017,
VS,KC,A,0,0,0,0,0,1.2,3,8,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.13,9-20-2017,
VS,NY,A,0,0,0,1,0,1.1,2,7,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2.57,9-23-2017,
AT,BOS,A,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.40,9-26-2017,
AT,BOS,A,0,0,0,0,0,0.2,2,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.87,9-27-2017,
AT,NY,A,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.70,10- 1-2017,
AT,CLE,A,0,0,0,0,0,1.2,5,13,0,6,6,3,0,2,0,1,0,0,0,4,0,0,0,0,0,32.40,5- 3-2018,2
VS,NY,N,0,0,0,0,0,1.1,2,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,18.00,7- 4-2018,
VS,NY,A,0,0,0,0,0,2,1,8,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,10.80,7- 7-2018,
AT,ATL,N,0,0,0,0,0,1,2,5,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10.50,7-11-2018,
AT,BOS,A,0,0,0,0,0,2,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.88,7-14-2018,
VS,MIN,A,1,0,0,0,0,2,3,9,0,1,1,1,0,3,0,0,0,0,0,1,1,0,0,0,1,7.20,7-23-2018,
VS,MIN,A,0,0,0,1,0,0.1,4,5,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8.71,7-25-2018,
AT,CHI,A,0,0,0,0,0,2,1,7,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,8.03,7-29-2018,
AT,OAK,A,0,0,0,0,0,1.1,0,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,7.24,7-31-2018,
AT,SEA,A,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.75,8- 5-2018,
VS,BOS,A,0,0,0,1,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.60,8- 7-2018,
VS,BOS,A,0,0,0,0,0,2,2,10,0,1,1,3,1,1,0,1,0,0,0,1,0,0,0,0,0,6.35,8- 8-2018,
AT,KC,A,0,0,0,0,0,2,1,6,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,5.68,8-13-2018,
AT,NY,A,0,0,0,1,0,0.1,1,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.05,8-17-2018,
AT,NY,A,0,0,0,0,0,0.2,3,6,1,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7.20,8-18-2018,
