at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,TOR,A,0,0,0,0,0,3.2,4,16,0,1,1,3,0,1,0,0,1,0,0,0,0,0,0,1,0,2.45,4-16-1979,
AT,KC,A,0,0,0,1,0,2.2,3,12,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1.42,4-24-1979,
VS,DET,A,0,0,0,1,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.23,5- 1-1979,
AT,TEX,A,0,0,0,0,0,1.2,4,9,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.00,5- 5-1979,
AT,DET,A,0,0,0,0,0,0.2,4,7,0,4,4,1,0,0,0,0,0,0,0,2,0,0,0,0,1,5.59,5- 8-1979,
VS,KC,A,0,0,0,1,1,2.1,1,8,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,4.50,5-11-1979,
VS,KC,A,0,0,0,0,0,0.1,3,5,1,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6.57,5-13-1979,
AT,CAL,A,0,0,0,0,0,5.2,2,20,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,5.00,5-19-1979,
VS,CAL,A,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4.74,5-25-1979,
VS,CAL,A,0,0,0,0,0,2.2,3,11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4.15,5-27-1979,2
VS,CLE,A,0,0,0,1,1,0.2,1,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,4.03,5-29-1979,
AT,NY,A,0,0,0,0,0,0.2,0,4,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,4.30,6- 3-1979,
VS,MIL,A,0,0,0,1,0,2,2,9,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3.96,6- 5-1979,
VS,BAL,A,0,0,0,1,0,3.2,1,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.45,6-11-1979,
VS,BAL,A,0,0,0,0,0,2.1,1,10,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,3.19,6-13-1979,
VS,BOS,A,1,0,0,0,0,3.2,6,19,1,6,5,1,0,1,0,0,0,0,0,1,0,0,1,0,1,4.15,6-16-1979,
VS,SEA,A,0,0,0,1,0,0.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.11,6-18-1979,
VS,SEA,A,0,0,0,1,0,0.2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4.04,6-19-1979,
VS,SEA,A,0,0,0,0,0,0.2,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.96,6-21-1979,
VS,MIN,A,0,0,0,0,0,2.1,4,13,0,4,4,3,0,0,4,0,0,0,0,1,0,0,1,0,0,4.66,6-23-1979,
AT,MIN,A,0,0,0,0,0,4.2,3,18,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,4.15,6-29-1979,
AT,MIN,A,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12,7- 1-1979,
AT,CLE,A,0,0,0,0,0,5,1,15,0,0,0,2,0,2,0,1,0,0,0,0,0,1,0,0,0,3.70,7- 3-1979,
AT,KC,A,0,0,0,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,7- 8-1979,
VS,TEX,A,0,0,0,1,1,1.1,1,6,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,3.53,7- 9-1979,
VS,DET,A,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.53,7-13-1979,
VS,DET,A,0,0,0,0,0,2,7,13,0,5,5,0,0,2,0,0,0,0,0,1,0,0,0,0,0,4.25,7-15-1979,
AT,TEX,A,0,0,0,0,0,2.2,2,12,0,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,4.20,7-19-1979,1
AT,DET,A,1,0,0,0,0,7,2,23,0,1,1,1,0,2,0,0,0,0,0,1,0,0,1,0,1,3.88,7-22-1979,
VS,CLE,A,1,0,0,0,0,6,6,26,2,3,3,1,0,4,0,1,1,0,0,1,0,0,1,0,1,3.93,7-27-1979,
VS,NY,A,1,0,0,0,0,5.1,4,23,1,5,5,2,0,0,0,0,0,0,0,1,0,0,1,0,1,4.26,7-31-1979,
AT,TOR,A,0,0,0,0,0,2,3,9,0,2,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,4.38,8- 5-1979,
AT,NY,A,0,0,0,0,0,3,5,15,1,2,2,1,0,2,0,0,0,0,0,1,0,0,0,1,0,4.44,8- 7-1979,
VS,TOR,A,1,0,0,0,0,1.2,5,11,0,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4.80,8-11-1979,2
AT,BOS,A,0,0,0,1,0,2,3,9,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.90,8-18-1979,
AT,MIL,A,0,0,0,1,0,2,1,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4.78,8-21-1979,1
AT,MIL,A,0,0,0,1,0,1,2,5,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4.83,8-21-1979,2
VS,BAL,A,0,0,0,0,0,4.2,3,18,1,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,4.58,8-26-1979,1
VS,MIL,A,0,0,0,0,0,1.2,2,8,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,4.50,8-30-1979,
VS,MIL,A,0,0,0,0,0,1.1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44,9- 2-1979,
AT,CAL,A,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,9- 3-1979,
AT,CAL,A,0,0,0,0,0,2.2,3,13,0,4,4,2,1,1,0,0,0,0,0,1,0,0,0,0,1,4.64,9- 5-1979,
AT,CAL,A,0,0,0,0,0,2.2,2,9,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,4.52,9- 6-1979,
AT,OAK,A,0,0,0,1,0,0.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49,9- 9-1979,1
AT,SEA,A,0,0,0,0,0,1,3,7,0,2,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,4.62,9-23-1979,
VS,NY,A,0,0,0,0,0,2.1,3,12,0,3,3,2,0,3,0,0,0,0,0,1,1,0,0,0,0,11.57,4-16-1980,
AT,BAL,A,0,0,0,0,0,1.1,0,6,0,0,0,1,0,3,0,0,1,1,0,0,0,0,0,0,0,7.36,4-19-1980,
AT,BOS,A,0,0,0,1,0,4.1,5,17,0,3,3,1,0,0,2,0,0,0,0,1,0,1,0,0,1,6.75,4-21-1980,
AT,NY,A,0,0,0,1,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.00,4-26-1980,
VS,BOS,A,0,0,0,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.40,4-29-1980,
VS,MIL,A,0,0,0,0,0,1,1,6,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4.91,5- 4-1980,
VS,MIL,A,0,0,0,0,0,2.2,1,9,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,3.95,5- 5-1980,
VS,KC,A,0,0,0,1,0,5.1,7,24,1,5,5,0,0,3,0,0,0,1,0,2,0,0,0,0,0,5.21,5- 7-1980,
AT,TEX,A,0,0,0,0,0,0.2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5.03,5-10-1980,
AT,MIL,A,0,0,0,1,1,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95,5-15-1980,
VS,SEA,A,0,0,0,1,0,3.1,3,14,0,1,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,4.24,5-16-1980,
VS,MIN,A,0,0,0,0,0,2,1,7,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3.91,5-21-1980,
AT,SEA,A,0,0,0,1,0,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3.62,5-24-1980,
AT,SEA,A,0,0,0,0,0,1,1,4,0,2,2,1,0,0,1,0,0,0,0,0,0,1,0,0,1,4.13,5-25-1980,
AT,MIN,A,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,5-29-1980,
