at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,MON,N,0,0,0,0,0,2,3,9,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.50,4-18-1979,
VS,SF,N,1,0,0,0,0,5,5,20,0,3,1,2,0,0,0,0,0,0,0,0,0,2,0,1,0,2.57,4-24-1979,
VS,LA,N,1,0,0,0,0,4.1,6,17,0,3,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.97,4-29-1979,2
AT,SF,N,0,0,0,0,0,1.2,2,10,0,1,0,1,1,3,0,0,0,0,0,1,0,0,2,0,0,3.46,5- 3-1979,
AT,LA,N,1,0,0,0,0,6,3,23,0,2,1,4,0,3,1,0,0,0,0,0,1,1,0,0,0,2.84,5- 8-1979,
AT,SD,N,1,0,0,0,0,4,3,19,1,3,3,1,0,1,0,0,0,0,0,0,0,0,3,0,0,3.52,5-13-1979,
VS,STL,N,1,0,0,0,0,8.1,7,31,1,3,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,3.45,5-19-1979,
VS,PIT,N,1,0,0,0,0,4,5,21,0,3,3,5,0,2,0,1,1,0,0,2,0,0,0,0,0,3.82,5-26-1979,
AT,STL,N,1,0,0,0,0,0.1,3,5,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.79,5-31-1979,
AT,ATL,N,0,0,0,0,0,1,1,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4.91,6- 2-1979,
AT,CIN,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.86,6- 5-1979,
VS,HOU,N,0,0,0,0,0,0.2,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4.78,6- 8-1979,
VS,CIN,N,0,0,0,0,0,0.1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.74,6-12-1979,
VS,CIN,N,0,0,0,0,0,3,2,11,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,4.39,6-13-1979,
VS,PHI,N,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29,9-11-1979,
VS,MON,N,1,0,0,0,0,8.1,9,33,0,2,2,1,0,4,2,0,0,0,0,1,0,0,0,0,1,3.93,9-20-1979,2
AT,CHI,N,1,0,0,0,0,0.1,6,8,0,7,7,1,1,0,0,0,0,0,0,1,0,0,0,0,1,5.15,9-25-1979,1
AT,STL,N,0,0,0,0,0,1.2,3,8,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5.33,9-29-1979,
AT,SD,N,1,0,0,0,0,6,7,26,1,2,2,2,0,6,0,0,0,0,0,1,0,0,0,0,0,3.00,9- 4-1980,
VS,CHI,N,1,0,0,0,0,6,9,28,0,3,3,2,0,2,1,0,0,0,0,0,0,1,0,0,0,3.75,9-12-1980,
VS,MON,N,1,0,0,0,0,2,6,12,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50,9-17-1980,
AT,CHI,N,1,0,0,0,0,1.2,2,9,0,3,3,2,0,1,0,1,1,0,0,0,0,0,0,0,1,5.74,9-23-1980,
VS,STL,N,1,1,1,0,0,9,8,34,0,0,0,0,0,3,0,0,0,0,0,1,0,2,2,1,0,3.65,9-28-1980,
AT,STL,N,1,0,0,0,0,4.2,8,23,0,4,4,2,1,1,1,0,0,0,0,2,2,1,0,0,0,4.30,10- 3-1980,
VS,STL,N,1,0,0,0,0,5,7,25,2,3,3,2,0,4,1,0,0,0,0,1,1,0,1,0,1,5.40,4-16-1981,
AT,PIT,N,1,0,0,0,0,4,3,16,1,2,2,1,0,2,1,1,0,0,0,0,0,0,0,0,0,5.00,4-22-1981,
VS,PIT,N,1,0,0,0,0,5,9,25,1,7,6,2,0,3,1,1,0,0,0,0,1,0,0,0,1,7.07,4-28-1981,
VS,SD,N,1,0,0,0,0,7,8,26,0,4,4,0,0,2,0,0,0,0,0,4,0,2,0,1,0,6.43,5- 3-1981,2
VS,LA,N,1,0,0,0,0,7,4,27,0,1,0,1,0,6,0,0,0,0,1,2,0,0,1,0,1,4.82,5- 8-1981,
AT,SD,N,1,0,0,0,0,6,8,25,0,5,5,1,0,2,1,1,0,1,0,1,1,0,0,0,0,5.29,5-14-1981,
AT,SF,N,1,0,0,0,0,7,8,29,0,4,4,0,0,4,1,0,0,0,0,1,1,0,1,0,1,5.27,5-19-1981,
AT,STL,N,1,0,0,0,0,8.2,5,33,1,1,1,4,0,4,0,0,0,0,0,1,0,1,0,0,0,4.53,5-24-1981,
VS,CHI,N,1,1,0,0,0,9,9,36,0,1,1,1,0,2,0,0,0,0,0,2,0,1,0,1,0,3.99,5-29-1981,
AT,PHI,N,1,0,0,0,0,3.1,7,19,0,6,6,3,0,1,1,1,0,0,0,0,2,0,1,0,0,4.65,6- 2-1981,
AT,HOU,N,1,0,0,0,0,8,5,27,0,1,1,1,0,1,0,0,0,0,0,2,0,2,0,1,0,4.24,6- 7-1981,
AT,CHI,N,1,0,0,0,0,7,3,23,1,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3.97,8-10-1981,
VS,PHI,N,1,0,0,0,0,5,7,25,2,7,7,3,0,3,1,0,0,0,0,0,0,0,0,0,1,4.50,8-14-1981,
AT,ATL,N,1,0,0,0,0,6.2,7,27,1,4,4,2,0,4,0,0,0,0,0,0,0,0,1,0,1,4.57,8-19-1981,
AT,CIN,N,1,0,0,0,0,7,6,28,0,2,2,2,0,1,1,0,0,0,0,2,0,1,2,0,1,4.42,8-24-1981,
VS,CIN,N,1,0,0,0,0,7,3,22,0,1,1,1,0,3,0,0,0,0,0,1,0,2,0,1,0,4.21,8-29-1981,
AT,HOU,N,1,0,0,0,0,3.2,8,19,1,5,5,0,0,1,1,0,0,0,0,2,0,0,0,0,1,4.49,9- 2-1981,
