at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,CIN,N,0,0,0,1,0,3,1,11,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0.00,4-15-1958,
VS,CIN,N,1,0,0,0,0,8,8,35,0,2,1,5,1,4,0,0,0,0,0,2,0,1,0,0,0,0.82,4-21-1958,
AT,MIL,N,1,0,0,0,0,7.1,7,31,2,4,4,2,0,5,0,0,0,0,0,0,0,0,0,0,1,2.45,4-26-1958,
AT,SF,N,1,1,1,0,0,9,7,34,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,1.65,5- 1-1958,
AT,LA,N,1,1,0,0,0,9,5,35,1,3,3,5,0,2,0,0,1,0,0,0,0,2,0,1,0,1.98,5- 5-1958,
AT,PIT,N,1,0,0,0,0,0.2,4,9,0,5,2,2,0,1,0,0,0,0,0,2,0,0,1,0,1,2.43,5-10-1958,
VS,MIL,N,1,0,0,0,0,3.2,6,19,2,4,4,2,0,0,0,0,0,0,0,0,1,0,0,0,1,3.10,5-14-1958,
VS,PIT,N,1,1,0,0,0,9,6,32,2,2,2,0,0,4,0,0,0,0,0,1,0,2,1,1,0,2.90,5-18-1958,2
VS,CHI,N,1,0,0,0,0,4.1,6,21,1,6,4,2,0,2,0,0,0,0,0,0,1,1,1,0,1,3.33,5-23-1958,
VS,SF,N,1,0,0,0,0,6.2,8,30,1,4,4,2,0,3,0,1,1,0,0,0,1,0,0,0,0,3.56,5-28-1958,
VS,CIN,N,1,0,0,0,0,0.1,5,6,0,5,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4.13,6- 1-1958,2
AT,CHI,N,0,0,0,0,0,1.1,2,5,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,4.04,6- 5-1958,
AT,LA,N,1,1,0,0,0,9,9,38,1,2,2,3,0,6,0,0,1,0,0,2,0,1,0,1,0,3.79,6-10-1958,
AT,SF,N,1,1,0,0,0,9,7,35,0,2,2,1,0,4,1,0,0,0,0,1,1,0,0,1,0,3.59,6-14-1958,
VS,LA,N,1,1,0,0,0,9,6,31,2,3,3,1,0,3,0,0,0,0,0,0,0,2,0,1,0,3.53,6-19-1958,
VS,SF,N,0,0,0,1,0,4,2,14,1,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,3.47,6-22-1958,1
VS,CHI,N,1,0,0,0,0,6.1,5,26,0,4,3,2,0,2,1,0,0,0,0,2,1,0,0,0,0,3.52,6-25-1958,
VS,STL,N,0,0,0,0,0,2,3,8,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3.45,6-29-1958,1
AT,PIT,N,1,1,0,0,0,9,8,36,0,2,2,0,0,7,0,0,0,0,0,2,2,0,1,1,0,3.33,7- 1-1958,
AT,CIN,N,1,1,0,0,0,9,5,31,0,1,1,1,0,4,0,0,0,0,0,2,0,2,0,1,0,3.16,7- 6-1958,1
AT,CHI,N,1,1,0,0,0,9,9,37,1,2,2,2,0,3,0,0,1,0,0,1,0,1,0,1,0,3.08,7-12-1958,
AT,CHI,N,0,0,0,1,0,2.1,4,11,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3.16,7-14-1958,
AT,SF,N,1,0,0,0,0,3,7,18,2,5,4,2,0,1,0,0,0,0,0,1,0,1,1,0,0,3.36,7-17-1958,
VS,SF,N,1,1,1,0,0,9,5,33,0,0,0,2,0,2,1,0,0,2,0,1,0,1,0,1,0,3.15,7-23-1958,
VS,SF,N,1,0,0,0,0,8,9,34,1,2,2,2,0,6,0,0,0,1,0,2,0,1,0,0,0,3.10,7-28-1958,1
VS,CHI,N,1,1,0,0,0,9,6,37,1,2,2,4,0,5,0,0,1,0,0,1,0,0,0,1,0,3.04,8- 3-1958,1
VS,MIL,N,1,0,0,0,0,6,9,28,1,5,5,1,0,2,0,1,0,0,0,2,0,0,0,0,0,3.20,8- 8-1958,
VS,CIN,N,1,0,0,0,0,5,7,25,1,5,3,2,0,1,0,0,0,0,0,2,1,0,1,0,1,3.26,8-12-1958,
AT,MIL,N,1,1,0,0,0,8,8,34,1,4,4,0,0,2,2,0,0,2,0,2,0,0,0,0,1,3.32,8-17-1958,2
