at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,FLA,N,1,0,0,0,0,7,6,30,0,3,1,2,0,6,0,0,0,0,0,2,0,1,2,0,1,1.29,5-12-2001,
AT,MON,N,1,0,0,0,0,5,8,26,0,4,4,2,0,4,1,1,0,0,0,2,1,1,2,1,0,3.75,5-19-2001,
VS,ARI,N,1,0,0,0,0,7,6,29,0,1,1,3,0,4,0,1,1,0,0,0,1,1,0,1,0,2.84,5-24-2001,
VS,HOU,N,1,0,0,0,0,6,9,27,1,6,6,2,0,3,0,0,1,1,0,4,0,0,0,0,1,4.32,5-31-2001,
AT,SF,N,1,0,0,0,0,3.2,8,21,1,5,5,2,0,2,1,0,0,0,0,2,0,0,0,0,0,5.34,6- 5-2001,
AT,MIL,N,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.16,7-29-2001,
VS,CHI,N,0,0,0,1,0,1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28,7-31-2001,
VS,CIN,N,0,0,0,0,0,1.2,1,7,0,2,1,0,0,4,0,0,2,0,0,0,0,0,1,0,0,5.29,8- 3-2001,
VS,ARI,N,0,0,0,0,0,2.2,1,9,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5.14,8-31-2001,1
VS,ARI,N,0,0,0,1,0,2,0,10,0,0,0,4,1,1,2,0,0,0,1,0,0,0,0,1,0,4.86,9- 2-2001,
VS,STL,N,0,0,0,1,0,1,1,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.74,9- 3-2001,
VS,STL,N,0,0,0,1,0,0.2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.66,9- 5-2001,
AT,ARI,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62,9- 7-2001,
AT,ARI,N,0,0,0,1,0,0,1,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5.08,9- 8-2001,
AT,LA,N,0,0,0,0,0,0.1,2,3,1,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5.49,9-17-2001,
VS,SF,N,0,0,0,1,0,2,2,10,0,1,1,1,0,6,0,0,1,0,0,1,0,0,1,0,0,5.44,9-23-2001,
AT,COL,N,0,0,0,0,0,1.2,4,10,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5.44,9-24-2001,
AT,SF,N,0,0,0,0,0,2,5,13,1,4,4,2,0,1,1,0,0,0,0,1,0,0,0,0,0,6.00,9-28-2001,
VS,LA,N,0,0,0,0,0,0.2,4,7,0,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6.70,10- 3-2001,
VS,COL,N,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.56,10- 5-2001,
