at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,SF,N,0,0,0,0,0,0,3,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,INF,4-17-1958,
VS,SF,N,0,0,0,0,0,0,2,4,0,4,3,1,0,0,0,0,0,0,0,2,0,0,1,0,0,INF,4-19-1958,
VS,PHI,N,0,0,0,0,0,2,1,9,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,18.00,5- 5-1958,
VS,PHI,N,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.00,5- 7-1958,
AT,SF,N,0,0,0,0,0,1.1,3,9,0,2,2,2,1,1,0,0,0,1,0,1,0,0,0,0,0,12.46,5- 9-1958,
AT,CHI,N,1,0,0,0,0,7,4,28,0,2,0,1,0,7,0,0,0,1,0,0,1,0,1,0,1,0.00,7- 4-1959,1
AT,CIN,N,1,0,0,0,0,8.2,7,38,3,4,4,4,0,6,0,0,0,0,0,0,0,0,1,0,1,2.30,7-12-1959,
AT,PHI,N,1,0,0,0,0,3.1,5,16,1,2,2,2,0,2,0,0,0,0,0,0,1,0,0,0,0,2.84,7-19-1959,1
VS,CHI,N,1,0,0,0,0,7.1,7,31,0,3,3,4,1,3,0,0,0,0,0,2,0,2,0,1,0,3.08,7-23-1959,
VS,PIT,N,1,0,0,0,0,1,3,10,1,4,2,3,0,1,0,0,0,0,0,0,0,0,1,0,0,3.62,7-28-1959,
VS,PHI,N,0,0,0,1,0,5,1,15,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,3.06,8- 2-1959,
AT,CHI,N,0,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2.97,8-12-1959,
AT,STL,N,0,0,0,1,0,8.2,7,35,0,0,0,3,1,5,0,0,0,1,0,2,0,0,0,1,0,2.36,8-15-1959,
AT,MIL,N,0,0,0,1,0,2.2,0,10,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,1,0,2.22,8-18-1959,
AT,CIN,N,0,0,0,1,1,0.1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.20,8-20-1959,
AT,PIT,N,1,0,0,0,0,7,9,31,1,2,2,2,1,5,0,0,0,0,0,2,0,0,0,0,0,2.25,8-23-1959,2
AT,PHI,N,0,0,0,1,1,2,1,8,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,2.17,8-25-1959,
VS,SF,N,1,0,0,0,0,7.1,5,30,2,5,5,4,0,5,0,0,0,0,0,0,0,1,0,0,0,2.64,8-30-1959,
VS,STL,N,0,0,0,1,0,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.56,9- 3-1959,
VS,CHI,N,1,0,0,0,0,7.1,8,33,1,2,2,5,0,6,0,0,1,0,0,2,0,1,0,0,0,2.55,9- 6-1959,2
VS,PIT,N,1,1,1,0,0,9,6,33,0,0,0,1,0,11,0,0,0,0,0,0,0,1,0,1,0,2.26,9-11-1959,2
VS,MIL,N,0,0,0,0,0,1.2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.21,9-14-1959,
VS,MIL,N,0,0,0,0,0,1,3,7,0,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,2.30,9-15-1959,
VS,CIN,N,0,0,0,1,1,1,1,5,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2.27,9-17-1959,
AT,SF,N,0,0,0,0,0,1.2,3,10,0,2,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2.44,9-19-1959,2
AT,SF,N,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44,9-20-1959,
AT,CHI,N,0,0,0,1,0,1.2,0,6,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,2.39,9-25-1959,
AT,MIL,N,0,0,0,1,0,7.2,4,29,0,0,0,2,0,4,0,0,0,0,0,0,0,1,1,1,0,2.19,9-28-1959,
VS,CHI,N,1,1,0,0,0,9,9,36,2,4,4,1,0,6,0,0,2,0,0,0,0,1,1,0,1,4.00,4-13-1960,
VS,STL,N,1,0,0,0,0,6,9,28,2,5,5,2,0,8,0,0,0,0,0,1,0,0,0,1,0,5.40,4-17-1960,
AT,STL,N,0,0,0,0,0,3.1,7,21,1,6,6,5,0,3,0,0,0,0,0,0,0,0,0,0,1,7.36,4-23-1960,
VS,SF,N,1,0,0,0,0,7.2,8,39,0,5,5,8,4,3,0,0,0,0,0,3,0,0,1,0,1,6.92,4-28-1960,
VS,CIN,N,0,0,0,1,0,1.2,1,7,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,6.51,5- 2-1960,
VS,MIL,N,0,0,0,1,0,4,2,17,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,1,0,5.68,5- 5-1960,
VS,PHI,N,0,0,0,1,0,4,2,18,0,1,1,3,1,4,0,0,0,1,0,0,0,0,0,1,0,5.30,5- 7-1960,
VS,PIT,N,0,0,0,1,0,0.2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5.20,5- 9-1960,
VS,PIT,N,0,0,0,0,0,1,4,8,0,2,2,1,0,1,0,0,1,0,0,1,0,0,0,0,0,5.54,5-11-1960,
AT,SF,N,0,0,0,0,0,1.2,5,12,0,2,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,5.77,5-13-1960,
AT,SF,N,0,0,0,1,0,0.2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.67,5-15-1960,
AT,MIL,N,0,0,0,1,0,3,4,10,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,5.48,5-17-1960,
AT,PHI,N,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.36,5-20-1960,
AT,PHI,N,0,0,0,0,0,3.2,4,18,1,3,3,3,0,4,0,1,0,0,0,1,0,0,0,0,0,5.51,5-22-1960,
AT,CHI,N,0,0,0,1,1,2.2,1,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22,5-27-1960,
AT,CHI,N,0,0,0,1,1,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.12,5-29-1960,
VS,STL,N,0,0,0,1,1,1.2,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,4.96,5-31-1960,
VS,CHI,N,0,0,0,0,0,1.1,3,10,0,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,5.33,6- 2-1960,
VS,CHI,N,0,0,0,0,0,1,2,7,0,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,5.24,6- 4-1960,
VS,PIT,N,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14,6-17-1960,
VS,PIT,N,0,0,0,1,0,1.1,3,8,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,5.18,6-18-1960,
AT,CIN,N,0,0,0,1,0,2,3,10,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,5.01,6-21-1960,
AT,MIL,N,0,0,0,1,0,2,2,11,0,1,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,4.99,6-25-1960,
AT,PHI,N,0,0,0,1,0,1,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4.91,6-28-1960,
AT,PHI,N,0,0,0,1,0,2.2,1,12,0,0,0,2,0,5,0,0,0,0,0,0,0,0,1,1,0,4.71,6-29-1960,1
AT,PIT,N,0,0,0,1,0,0.1,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.82,7- 1-1960,
AT,STL,N,0,0,0,0,0,6.2,3,28,2,4,4,4,1,4,0,0,1,2,0,1,0,1,0,0,1,4.88,7- 4-1960,1
VS,STL,N,0,0,0,1,0,4,4,16,1,2,2,1,0,3,0,0,0,0,0,0,1,0,0,0,1,4.86,7- 9-1960,
AT,SF,N,0,0,0,0,0,0.1,0,5,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,4.83,7-17-1960,
VS,PIT,N,0,0,0,0,0,5,6,19,0,1,1,1,0,3,0,0,0,0,0,1,0,0,0,1,0,4.65,7-19-1960,
VS,CIN,N,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.59,7-26-1960,
VS,CIN,N,0,0,0,1,0,5,3,20,1,1,1,2,0,3,0,0,0,0,0,1,0,0,0,1,0,4.43,7-28-1960,
VS,MIL,N,0,0,0,1,0,4,1,13,1,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,4.34,7-30-1960,
AT,PIT,N,0,0,0,1,0,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.29,8- 2-1960,
AT,PIT,N,0,0,0,1,0,2,2,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4.20,8- 4-1960,
AT,PHI,N,0,0,0,1,0,6.1,3,25,0,1,1,3,0,6,0,0,0,0,0,0,0,0,0,1,0,4.02,8- 7-1960,1
AT,MIL,N,0,0,0,1,1,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01,8- 9-1960,
AT,MIL,N,0,0,0,1,1,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00,8-10-1960,
AT,CIN,N,0,0,0,1,0,0.1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.98,8-12-1960,
AT,CIN,N,0,0,0,1,0,0.2,2,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.96,8-13-1960,
AT,CIN,N,0,0,0,1,0,6,2,21,1,1,1,1,0,8,1,0,0,0,0,0,0,0,0,1,0,3.82,8-14-1960,2
AT,CHI,N,0,0,0,1,0,4,2,15,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,3.69,8-16-1960,
AT,STL,N,0,0,0,1,0,2,2,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3.62,8-20-1960,
VS,SF,N,0,0,0,1,0,7.1,3,30,1,1,1,4,0,4,0,0,0,0,0,0,0,1,3,1,0,3.48,8-22-1960,
VS,PIT,N,0,0,0,0,0,2.2,5,14,0,3,3,0,0,2,0,0,0,1,0,0,1,0,0,0,0,3.62,8-29-1960,
VS,PIT,N,0,0,0,0,0,2,1,7,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,3.56,8-30-1960,
AT,MIL,N,0,0,0,1,1,2,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.51,9- 9-1960,
AT,MIL,N,0,0,0,1,0,1,1,7,0,1,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,3.55,9-10-1960,
AT,PHI,N,0,0,0,1,1,1,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3.52,9-13-1960,1
AT,CHI,N,0,0,0,1,0,2.2,0,11,0,0,0,3,1,1,1,1,1,0,0,0,0,0,0,1,0,3.45,9-16-1960,
AT,CHI,N,0,0,0,1,0,0.2,1,6,0,3,3,2,1,0,0,0,0,1,0,1,0,0,0,0,0,3.64,9-17-1960,
