at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,LA,N,1,1,1,0,0,9,2,29,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0.00,4- 9-1970,
VS,SD,N,1,0,0,0,0,7,4,27,0,1,1,3,0,9,0,0,0,0,0,1,0,0,0,1,0,0.56,4-14-1970,
VS,SF,N,1,1,1,0,0,9,1,36,0,0,0,7,1,9,0,0,0,1,0,1,0,1,1,1,0,0.36,4-19-1970,
AT,STL,N,1,0,0,0,0,6,3,23,1,3,1,1,0,3,0,0,0,0,0,0,0,1,2,0,1,0.58,4-24-1970,
VS,PIT,N,1,0,0,0,0,6.2,8,31,1,4,4,3,0,3,0,0,0,0,0,1,0,1,1,1,0,1.43,5- 1-1970,
VS,STL,N,1,1,0,0,0,9,3,32,1,1,1,3,1,5,0,0,1,0,0,0,0,1,1,1,0,1.35,5- 5-1970,
AT,CHI,N,1,0,0,0,0,6,3,27,2,5,5,7,0,2,0,0,0,0,0,0,1,1,0,0,0,2.05,5-10-1970,
VS,ATL,N,1,0,0,0,0,7,4,27,1,3,2,2,0,2,0,0,0,1,0,0,0,2,1,0,0,2.11,5-17-1970,2
AT,HOU,N,1,0,0,0,0,8,5,31,0,3,3,3,0,3,0,0,0,0,0,1,0,1,0,1,0,2.26,5-23-1970,
AT,SD,N,1,0,0,0,0,5,3,21,0,4,3,4,0,4,0,0,0,0,0,1,1,0,0,0,0,2.48,5-27-1970,
VS,PHI,N,1,1,0,0,0,7.1,6,31,0,2,2,2,0,6,0,0,0,1,0,1,0,1,1,1,0,2.47,6- 2-1970,
VS,NY,N,1,1,0,0,0,9,8,34,1,2,2,4,0,4,1,0,0,0,0,0,0,4,0,1,0,2.43,6- 7-1970,
AT,PHI,N,1,1,0,0,0,9,8,38,0,1,0,5,0,11,0,0,3,0,1,1,0,0,0,1,0,2.20,6-12-1970,
AT,NY,N,1,0,0,0,0,6,7,28,1,3,3,4,0,6,0,0,0,0,0,0,0,0,0,0,0,2.34,6-17-1970,
VS,LA,N,1,1,0,0,0,9,7,36,0,3,3,2,0,8,0,1,0,0,0,5,0,0,0,1,0,2.39,6-21-1970,2
AT,HOU,N,1,0,0,0,0,8,4,34,1,2,2,5,0,8,0,0,0,0,0,1,0,0,1,1,0,2.38,6-26-1970,
VS,ATL,N,1,1,0,0,0,9,6,35,1,2,2,3,0,1,1,0,0,0,0,0,0,1,0,1,0,2.35,7- 1-1970,
VS,HOU,N,1,1,0,0,0,9,4,33,0,1,1,2,0,7,1,0,0,0,0,1,0,1,1,1,0,2.27,7- 5-1970,
VS,SD,N,1,0,0,0,0,2.2,6,20,2,9,4,3,0,2,0,1,1,1,0,1,0,0,2,0,0,2.48,7- 9-1970,
AT,ATL,N,1,0,0,0,0,5.2,7,28,1,5,5,2,0,3,0,0,0,2,0,0,0,0,0,0,0,2.69,7-12-1970,
AT,PIT,N,1,1,0,0,0,8,7,32,2,4,4,3,0,2,0,1,0,0,0,0,1,2,0,0,1,2.78,7-17-1970,
AT,STL,N,1,0,0,0,0,5,6,25,0,4,4,4,0,5,0,0,0,0,1,1,0,0,0,0,0,2.92,7-21-1970,
VS,STL,N,1,0,0,0,0,7.1,6,31,0,5,3,1,0,8,0,1,0,1,0,1,1,0,1,1,0,2.95,7-26-1970,
VS,CHI,N,1,0,0,0,0,3,4,16,0,3,3,4,0,2,0,1,1,0,0,0,0,1,0,0,1,3.06,7-31-1970,1
VS,PHI,N,1,0,0,0,0,3,2,11,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,3.01,8-14-1970,
AT,SD,N,1,0,0,0,0,2.1,1,14,0,3,1,4,0,3,0,0,0,1,0,0,0,0,1,0,0,3.02,9-13-1970,
