at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,OAK,A,1,0,0,0,0,6,5,25,1,1,1,2,0,3,0,0,0,0,0,1,0,0,0,0,0,1.50,6- 1-2007,
AT,ANA,A,1,0,0,0,0,5,10,26,1,5,4,0,0,2,0,0,0,0,0,3,0,0,1,1,0,4.09,6- 6-2007,
VS,ATL,N,1,0,0,0,0,6,7,25,2,3,2,0,0,1,0,0,0,0,0,1,0,1,1,1,0,3.71,6-12-2007,
VS,MIL,N,1,0,0,0,0,5.1,8,28,3,4,4,4,0,4,0,0,0,0,0,1,0,0,0,0,0,4.43,6-17-2007,
VS,TOR,A,1,0,0,0,0,5,6,22,2,5,4,0,0,5,0,1,0,0,0,1,0,0,1,0,0,4.94,6-25-2007,
AT,DET,A,1,0,0,0,0,6,9,27,2,4,4,1,0,2,0,0,0,0,0,1,0,1,0,1,0,5.13,6-30-2007,
AT,NY,A,1,0,0,0,0,3.2,8,21,2,5,5,2,0,2,0,0,1,0,0,3,0,0,0,0,0,5.84,7- 5-2007,
VS,CLE,A,1,0,0,0,0,5,5,21,1,2,1,0,0,3,0,0,0,0,0,0,1,0,1,0,0,5.36,9- 4-2007,
AT,CHI,A,0,0,0,0,0,2.2,3,11,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,5.24,9- 8-2007,
AT,KC,A,0,0,0,0,0,3.1,6,19,2,3,3,2,0,4,0,0,1,0,0,0,0,0,1,0,0,5.44,9-12-2007,
VS,TEX,A,1,0,0,0,0,6,4,23,0,1,1,0,0,7,0,0,0,0,0,1,0,0,1,0,0,5.00,9-17-2007,
VS,CHI,A,1,0,0,0,0,7,4,25,0,1,1,0,0,9,0,0,0,0,0,2,1,0,0,1,0,4.57,9-23-2007,
AT,BOS,A,1,0,0,0,0,5.2,7,24,0,4,4,0,0,3,0,0,1,0,0,3,0,0,0,0,1,4.72,9-28-2007,
VS,ANA,A,1,0,0,0,0,3.1,4,14,1,3,3,0,0,2,0,0,0,0,0,2,0,0,0,0,1,8.10,4- 3-2008,
AT,CHI,A,1,0,0,0,0,5,4,19,2,3,3,0,0,4,0,0,0,0,0,2,0,0,0,0,1,6.48,5- 8-2008,
VS,TOR,A,1,0,0,0,0,5.2,5,23,1,3,3,2,0,5,0,0,0,0,0,2,0,1,0,0,1,5.79,5-13-2008,
AT,COL,N,1,0,0,0,0,5.2,7,25,2,3,3,1,0,5,0,0,0,1,0,1,0,0,0,0,1,5.49,5-18-2008,
AT,DET,A,1,0,0,0,0,6,4,24,0,0,0,3,0,2,0,0,0,0,0,2,0,1,0,1,0,4.21,5-23-2008,
AT,KC,A,1,1,0,0,0,9,6,31,0,1,1,0,0,6,0,0,0,0,0,2,0,2,0,1,0,3.38,5-29-2008,
VS,BAL,A,1,0,0,0,0,6,7,24,2,4,4,0,0,2,0,1,0,0,0,1,1,0,0,0,1,3.76,6- 3-2008,
AT,CHI,A,1,0,0,0,0,3,10,20,1,8,8,1,0,4,0,0,0,0,0,4,0,0,0,0,1,5.15,6- 8-2008,
AT,MIL,N,1,0,0,0,0,8,5,28,0,2,2,0,0,5,0,2,0,0,0,3,1,0,0,1,0,4.70,6-13-2008,
VS,WAS,N,1,0,0,0,0,6,7,27,1,1,1,2,0,4,0,0,0,1,0,0,0,0,0,1,0,4.37,6-18-2008,
AT,SD,N,1,0,0,0,0,6,4,21,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3.96,6-24-2008,
VS,MIL,N,1,1,1,0,0,9,3,30,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,1,0,3.47,6-29-2008,
VS,CLE,A,1,0,0,0,0,6,5,25,1,5,5,2,0,6,0,0,0,0,0,1,1,0,0,1,0,3.78,7- 5-2008,
