at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,BOS,A,1,0,0,0,0,7,3,24,0,1,1,0,0,9,0,0,0,0,0,1,0,0,0,1,0,1.29,6- 8-1999,
AT,STL,N,1,0,0,0,0,5,7,26,0,3,3,4,0,3,0,0,0,0,0,2,0,0,0,0,0,3.00,6-14-1999,
AT,HOU,N,1,0,0,0,0,5,5,23,1,3,3,2,0,4,1,0,1,1,0,1,0,0,1,0,1,3.71,6-20-1999,
VS,FLA,N,1,0,0,0,0,5.2,8,24,0,6,6,0,0,4,1,1,0,0,0,0,1,0,0,0,1,5.16,6-26-1999,
VS,ATL,N,1,0,0,0,0,3.1,7,19,0,3,3,2,0,0,1,0,0,0,0,2,0,0,0,0,1,5.54,7- 1-1999,
AT,NY,N,1,0,0,0,0,5,3,22,0,1,1,3,0,1,0,0,1,1,0,0,0,0,1,0,0,4.94,7- 7-1999,
AT,BAL,A,1,0,0,0,0,4,8,22,0,4,4,3,0,3,1,0,0,0,0,1,1,0,0,0,1,5.40,7-16-1999,
VS,NY,N,1,0,0,0,0,1.1,5,9,2,4,4,1,0,1,0,0,0,0,0,1,0,0,0,0,1,6.19,7-21-1999,
VS,CHI,N,1,0,0,0,0,7,8,29,0,1,1,2,0,4,1,0,1,0,0,0,0,2,1,1,0,5.40,7-26-1999,
AT,MIL,N,1,0,0,0,0,7.1,6,28,2,4,4,1,0,6,1,0,0,0,0,0,0,1,0,1,0,5.33,8- 1-1999,
VS,SD,N,1,0,0,0,0,0.2,5,8,0,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,5.96,8- 6-1999,
VS,LA,N,1,0,0,0,0,6,5,25,1,2,2,2,0,7,0,0,0,0,0,0,0,0,0,0,0,5.65,8-11-1999,
AT,COL,N,0,0,0,0,0,2,1,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5.46,8-15-1999,2
AT,SF,N,0,0,0,0,0,3,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,5.20,8-17-1999,
VS,STL,N,1,0,0,0,0,6,7,27,0,4,4,4,0,6,1,0,0,0,0,1,1,0,0,0,0,5.27,8-23-1999,
VS,CIN,N,1,0,0,0,0,3.1,7,22,0,6,6,5,0,3,0,0,0,0,0,4,0,0,0,0,0,5.78,8-28-1999,
VS,HOU,N,1,0,0,0,0,6,6,28,1,5,3,2,0,7,0,1,0,1,0,1,0,1,2,0,1,5.68,9- 3-1999,
VS,COL,N,1,0,0,0,0,6,4,24,3,5,3,1,0,6,0,0,0,0,0,0,0,0,1,0,1,5.59,9- 8-1999,
AT,LA,N,1,0,0,0,0,5,7,24,1,5,5,4,0,3,0,0,0,1,0,1,0,1,0,0,1,5.79,9-13-1999,
AT,ATL,N,0,0,0,0,0,1,2,6,1,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6.02,9-17-1999,
AT,PHI,N,0,0,0,0,0,1.1,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,6- 3-2000,
AT,FLA,N,0,0,0,0,0,2,2,10,0,3,3,2,0,0,1,3,0,0,0,2,0,0,0,0,0,8.10,6- 7-2000,
VS,KC,A,0,0,0,0,0,3,2,10,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0.00,6-20-2002,
VS,CLE,A,0,0,0,0,0,0.1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,6-23-2002,
AT,PIT,N,0,0,0,0,0,1.1,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,6-26-2002,
AT,TOR,A,0,0,0,1,0,1.1,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.00,6-30-2002,
AT,ATL,N,0,0,0,0,0,0.1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,7- 3-2002,
AT,PHI,N,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00,7- 7-2002,
VS,ATL,N,0,0,0,0,0,2,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00,7-11-2002,
VS,PHI,N,0,0,0,0,0,3.1,3,14,1,1,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0.71,7-16-2002,
AT,FLA,N,0,0,0,1,0,2,2,8,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84,7-20-2002,
AT,NY,N,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,7-23-2002,
VS,FLA,N,0,0,0,0,0,3.2,5,18,1,3,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2.79,7-26-2002,
VS,ARI,N,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.66,7-31-2002,
