at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,ANA,A,1,0,0,0,0,4,7,23,0,4,4,2,0,1,1,0,1,2,0,1,0,0,0,0,1,9.00,4-26-2002,
VS,TEX,A,1,0,0,0,0,4,6,20,0,5,4,1,0,2,1,0,0,0,0,2,0,0,1,0,1,9.00,5- 2-2002,
AT,SEA,A,1,0,0,0,0,3.2,4,22,0,2,2,7,0,0,0,0,0,1,0,0,0,0,0,0,0,7.71,5- 8-2002,
AT,BOS,A,1,0,0,0,0,4.2,5,23,0,6,6,4,0,2,0,0,1,1,0,1,0,1,0,0,1,8.82,7- 2-2002,2
AT,TEX,A,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.31,8-17-2002,
AT,TEX,A,0,0,0,1,0,1,1,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7.85,8-18-2002,
VS,KC,A,0,0,0,0,0,1,1,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7.45,8-20-2002,
AT,CHI,A,1,0,0,0,0,3,6,16,2,4,4,1,0,1,0,0,0,1,0,1,0,0,0,0,0,8.06,8-26-2002,
VS,CHI,A,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71,9- 2-2002,
AT,BOS,A,0,0,0,0,0,2,4,9,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7.46,9- 6-2002,
AT,CLE,A,1,0,0,0,0,4,3,17,0,3,2,2,0,2,1,0,0,0,0,0,2,0,0,0,0,7.06,9-11-2002,
AT,BAL,A,0,0,0,0,0,2.1,2,11,1,1,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,6.82,9-17-2002,
AT,TB,A,0,0,0,0,0,1.2,4,11,0,2,2,0,0,1,0,1,0,2,0,1,0,0,0,0,0,7.02,9-20-2002,
VS,DET,A,0,0,0,1,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.62,9-28-2002,
AT,KC,A,1,0,0,0,0,3,5,18,1,4,4,3,0,1,0,0,0,1,0,1,1,0,0,0,0,12.00,8- 6-2006,
