at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,CIN,N,1,0,0,0,0,5,5,20,2,4,4,1,0,3,0,0,0,0,0,0,0,1,0,0,1,7.20,6-25-2006,
VS,NY,A,1,0,0,0,0,7,6,28,1,2,2,1,1,4,0,0,0,0,0,1,0,0,0,1,0,4.50,7- 3-2006,
VS,BAL,A,1,0,0,0,0,3.2,7,22,1,7,7,3,0,0,0,0,1,0,0,1,0,0,1,0,1,7.47,7- 8-2006,
AT,MIN,A,1,0,0,0,0,7,11,28,3,5,5,0,0,1,0,0,0,0,0,1,0,3,0,0,1,7.15,7-16-2006,
VS,MIN,A,1,1,1,0,0,9,4,31,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,1,0,5.12,7-22-2006,
VS,SEA,A,1,1,1,0,0,9,5,32,0,0,0,1,0,3,0,0,0,0,0,0,0,1,1,1,0,3.98,7-28-2006,
AT,BOS,A,1,0,0,0,0,5,5,21,0,2,2,2,0,5,0,0,0,0,0,3,0,0,0,0,0,3.94,8- 2-2006,
VS,ANA,A,1,0,0,0,0,7,9,30,2,4,3,0,0,2,0,0,0,0,0,1,0,2,2,0,0,3.93,8- 8-2006,
VS,KC,A,1,0,0,0,0,6,5,23,0,0,0,1,0,2,0,0,0,1,0,1,0,1,0,1,0,3.53,8-13-2006,
AT,TB,A,1,0,0,0,0,6,4,26,0,2,2,4,0,1,0,0,0,1,0,2,0,0,0,1,0,3.48,8-19-2006,
VS,DET,A,1,0,0,0,0,6,6,23,0,2,2,0,0,4,0,0,0,0,0,1,0,0,0,1,0,3.44,8-25-2006,
VS,TOR,A,1,0,0,0,0,5.2,6,25,0,2,2,3,0,1,0,0,0,0,0,0,0,1,1,0,0,3.42,8-30-2006,
AT,TOR,A,1,0,0,0,0,7,5,26,1,2,2,0,0,3,0,0,0,0,0,0,1,0,0,1,0,3.35,9- 5-2006,
VS,KC,A,1,0,0,0,0,5,7,25,0,4,4,3,0,2,1,0,0,0,0,2,1,0,0,0,1,3.57,9-12-2006,
AT,CHI,A,1,0,0,0,0,6,1,24,0,2,2,5,0,1,0,1,0,1,0,0,0,1,1,0,0,3.00,4- 5-2007,
VS,ANA,A,1,0,0,0,0,7,6,27,0,1,1,0,0,3,0,0,1,0,0,1,0,0,0,0,0,2.08,4-12-2007,
AT,NY,A,1,0,0,0,0,2.2,9,19,0,6,6,1,0,1,0,1,0,1,0,3,0,0,0,0,1,5.17,4-18-2007,
AT,MIN,A,1,0,0,0,0,7,9,29,1,3,3,1,0,2,0,0,0,0,0,3,0,1,0,0,0,4.76,4-23-2007,
VS,BAL,A,1,0,0,0,0,6,6,27,0,3,2,2,0,1,0,1,0,1,0,0,0,0,1,0,0,4.40,4-28-2007,
AT,BAL,A,1,0,0,0,0,2,5,14,1,6,6,3,0,0,0,1,1,0,0,0,0,0,0,0,1,5.87,5- 5-2007,
AT,ANA,A,1,0,0,0,0,5,9,25,1,6,6,1,1,2,0,0,0,0,0,3,0,0,0,0,1,6.56,5-10-2007,
VS,CIN,N,1,0,0,0,0,6,8,28,2,7,7,2,0,2,0,0,0,1,0,2,0,1,0,0,1,7.13,5-19-2007,
AT,KC,A,1,0,0,0,0,7,6,27,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,6.29,5-24-2007,
AT,BOS,A,1,0,0,0,0,5.2,6,24,2,4,4,1,1,1,0,0,0,0,0,2,0,0,0,0,1,6.29,5-29-2007,
VS,DET,A,1,0,0,0,0,4,7,19,1,5,5,1,0,0,0,0,1,0,0,3,0,1,0,0,1,6.63,6- 3-2007,
AT,CIN,N,1,0,0,0,0,4,7,20,2,5,5,1,0,5,0,0,0,0,0,1,1,0,0,0,0,6.93,6- 9-2007,
AT,SEA,A,1,0,0,0,0,5,5,20,0,0,0,2,0,5,0,0,0,0,0,2,0,0,0,0,0,6.42,9-26-2007,2
VS,NY,A,1,0,0,0,0,5.1,7,24,0,3,3,1,0,3,0,0,0,1,0,1,0,1,1,0,0,5.06,4-26-2008,
AT,CIN,N,1,0,0,0,0,5,5,21,2,3,3,2,0,2,1,0,0,0,0,2,0,0,0,0,0,5.23,5-16-2008,
AT,DET,A,1,0,0,0,0,4,7,21,1,5,5,2,0,2,0,0,0,0,0,2,0,0,0,0,1,6.91,6- 8-2008,
VS,SD,N,1,0,0,0,0,4.1,9,22,1,4,4,0,0,1,0,0,0,0,0,3,0,0,0,0,0,7.23,6-13-2008,
AT,COL,N,1,0,0,0,0,6,10,27,1,4,3,0,0,4,1,0,0,0,0,2,0,1,0,0,1,6.57,6-19-2008,
VS,SF,N,1,0,0,0,0,7,9,32,1,3,3,5,1,3,0,0,0,0,0,2,0,2,0,0,1,5.97,6-25-2008,
AT,CHI,A,1,0,0,0,0,3,5,17,2,8,3,2,0,2,0,0,0,0,0,2,0,0,1,0,1,6.23,6-30-2008,
AT,DET,A,1,0,0,0,0,5.2,10,28,2,7,6,0,0,1,0,0,0,0,0,2,0,0,1,0,1,6.69,7- 8-2008,
VS,TB,A,1,0,0,0,0,4,3,22,0,2,2,7,0,8,0,0,0,0,1,0,0,0,0,0,0,6.50,7-13-2008,
AT,SEA,A,1,0,0,0,0,6,5,26,1,4,4,3,0,3,0,0,1,1,0,1,0,2,1,1,0,6.44,7-19-2008,
VS,MIN,A,1,0,0,0,0,8,3,27,0,2,2,1,0,5,0,0,0,0,0,1,0,0,0,0,0,5.86,7-27-2008,
AT,MIN,A,1,0,0,0,0,6.2,6,25,1,4,4,0,0,4,1,0,0,0,0,2,0,0,0,0,1,5.82,8- 1-2008,
AT,TB,A,1,0,0,0,0,6,6,26,1,4,3,3,0,2,0,0,0,0,0,1,0,1,1,0,0,5.70,8- 6-2008,
VS,BAL,A,1,0,0,0,0,6.1,6,26,0,4,4,2,0,2,0,2,0,0,0,1,0,1,0,0,0,5.70,8-12-2008,
VS,ANA,A,1,0,0,0,0,6.2,8,29,0,3,2,2,0,2,0,0,0,0,0,1,0,0,0,1,0,5.46,8-17-2008,
AT,TEX,A,1,0,0,0,0,3.2,8,20,1,7,7,1,0,2,0,0,1,0,0,3,0,0,0,0,0,5.95,8-23-2008,
VS,SEA,A,1,0,0,0,0,5,7,22,1,3,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1,5.92,8-29-2008,
VS,CHI,A,1,0,0,0,0,5.1,6,23,2,4,4,1,0,5,0,0,0,0,0,1,0,0,0,0,1,5.97,9- 3-2008,
AT,BAL,A,1,0,0,0,0,8,4,28,0,1,1,1,0,7,0,0,0,0,0,2,0,1,0,1,0,5.60,9- 9-2008,
VS,KC,A,1,0,0,0,0,3,5,15,1,3,3,1,0,2,0,0,0,0,0,2,0,0,0,0,0,5.70,9-14-2008,
VS,DET,A,1,0,0,0,0,6,5,24,0,1,1,2,0,3,0,0,1,0,0,3,0,1,0,1,0,5.48,9-20-2008,
AT,BOS,A,1,0,0,0,0,6,7,28,0,5,5,3,0,1,0,2,0,1,0,3,0,2,1,0,1,5.58,9-25-2008,
AT,BOS,A,1,0,0,0,0,5,7,24,0,7,7,3,1,1,0,0,0,0,0,2,1,1,0,0,1,12.60,5- 7-2009,
VS,CHI,A,1,0,0,0,0,4,7,22,3,5,5,3,0,3,0,0,0,0,0,2,0,0,0,0,1,12.00,5-12-2009,
VS,TB,A,0,0,0,1,0,5,3,18,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,7.71,5-25-2009,
VS,NY,A,1,0,0,0,0,5,3,21,0,1,1,5,0,3,0,0,0,0,0,0,0,2,0,0,0,6.16,6- 1-2009,
AT,CHI,A,1,0,0,0,0,6,5,25,1,3,2,2,0,5,0,1,0,0,0,0,0,1,1,0,1,5.40,6- 6-2009,
VS,KC,A,1,0,0,0,0,5,6,23,0,2,2,1,0,2,0,0,0,0,0,1,0,0,1,0,0,5.10,6-11-2009,
VS,MIL,N,1,0,0,0,0,5,5,22,0,3,3,2,0,2,0,1,0,0,0,1,0,0,0,0,1,5.14,6-16-2009,
AT,CHI,N,1,0,0,0,0,4.1,7,24,1,6,6,4,1,1,1,1,0,1,0,3,0,0,0,0,1,5.95,6-21-2009,
VS,CIN,N,1,0,0,0,0,7,6,28,0,2,2,1,0,6,0,0,0,0,0,3,0,0,0,1,0,5.44,6-26-2009,
VS,CHI,A,1,0,0,0,0,6,11,27,1,5,5,1,0,2,0,0,0,0,0,2,0,2,1,0,1,5.68,7- 1-2009,
AT,CHI,A,1,0,0,0,0,5.1,5,22,1,4,4,2,0,4,0,0,0,0,0,1,0,1,0,0,1,5.77,7- 7-2009,
AT,SEA,A,1,0,0,0,0,7,4,28,0,0,0,2,0,2,0,0,1,0,0,0,0,0,1,1,0,5.15,7-25-2009,
VS,DET,A,1,0,0,0,0,6,4,26,0,2,2,4,1,3,0,1,1,0,0,0,0,0,0,0,0,4.97,8- 1-2009,
AT,CHI,A,1,0,0,0,0,7,6,29,0,2,2,2,0,3,0,0,0,0,0,2,0,0,0,1,0,4.75,8- 7-2009,
VS,TEX,A,1,0,0,0,0,5.1,8,25,1,4,4,1,0,0,0,1,0,0,0,3,0,0,0,0,1,4.88,8-13-2009,
VS,ANA,A,1,0,0,0,0,6.2,4,29,0,3,3,5,0,2,1,0,0,0,0,1,0,0,0,0,1,4.82,8-19-2009,
AT,KC,A,1,0,0,0,0,7,6,27,0,5,5,2,0,2,2,1,0,0,0,1,0,1,0,1,0,4.93,8-24-2009,
AT,BAL,A,1,0,0,0,0,4.2,6,20,0,2,2,2,0,1,1,0,0,0,0,1,1,2,0,0,0,4.88,8-29-2009,
VS,MIN,A,1,0,0,0,0,6,6,24,0,2,2,0,0,1,0,1,0,1,0,1,0,1,0,1,0,4.78,9- 4-2009,
AT,MIN,A,1,0,0,0,0,7,6,28,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,4.49,9-14-2009,
AT,OAK,A,1,0,0,0,0,1,9,13,1,6,6,1,0,1,0,0,0,0,0,1,0,0,0,0,1,4.92,9-19-2009,
VS,BAL,A,1,0,0,0,0,5,6,25,2,5,5,4,0,3,0,0,0,0,0,1,0,0,0,0,0,5.09,9-26-2009,
AT,BOS,A,1,0,0,0,0,3,4,15,0,4,4,2,0,1,0,1,0,1,0,3,0,0,0,0,1,5.25,10- 2-2009,
