at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,NY,N,1,1,1,0,0,9,3,34,0,0,0,3,0,15,0,0,0,0,0,0,0,0,1,1,0,0.00,9-22-1954,
VS,PIT,N,1,1,1,0,0,9,4,34,0,0,0,3,0,12,0,0,0,0,0,0,0,0,2,1,0,0.00,9-26-1954,
AT,CIN,N,1,0,0,0,0,2.1,5,13,0,4,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,15.43,5-15-1955,2
VS,STL,N,1,0,0,0,0,4,4,20,0,4,1,2,0,6,0,0,1,0,0,0,0,0,2,0,0,7.11,6- 5-1955,2
VS,CHI,N,0,0,0,0,0,0.2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.43,6-12-1955,1
AT,CIN,N,0,0,0,1,0,3,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,4.50,6-15-1955,
AT,STL,N,0,0,0,1,0,4.2,4,18,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,3.07,6-19-1955,
AT,CHI,N,0,0,0,1,1,3,0,10,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,2.55,6-23-1955,
AT,MIL,N,0,0,0,1,1,0.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.50,6-25-1955,
VS,NY,N,1,0,0,0,0,6.1,7,29,0,4,4,3,0,5,0,0,0,0,0,0,0,0,0,1,0,3.33,6-28-1955,
VS,NY,N,0,0,0,0,0,2,0,6,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3.08,6-30-1955,
VS,PIT,N,1,0,0,0,0,2.2,2,17,1,4,3,6,0,3,0,0,0,0,0,0,0,0,1,0,0,3.72,7- 3-1955,1
AT,PHI,N,1,0,0,0,0,5.1,4,25,0,3,3,5,0,5,0,0,0,0,0,0,0,0,0,0,1,3.93,7- 5-1955,
AT,NY,N,1,0,0,0,0,2,3,10,1,3,3,2,0,0,0,0,0,0,0,0,1,1,0,0,1,4.46,7- 9-1955,
VS,STL,N,0,0,0,1,0,2,2,10,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,4.46,7-14-1955,
VS,CIN,N,1,0,0,0,0,4.1,7,23,1,5,4,1,0,3,0,0,0,0,0,1,1,0,2,0,1,4.85,7-18-1955,
VS,MIL,N,1,0,0,0,0,5.1,8,25,1,3,3,0,0,3,1,0,0,1,0,1,0,1,1,0,0,4.88,7-23-1955,
AT,STL,N,1,0,0,0,0,6,5,25,1,3,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,4.83,7-29-1955,
AT,MIL,N,0,0,0,0,0,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4.66,8- 1-1955,
AT,MIL,N,0,0,0,0,0,1.2,1,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.68,8- 4-1955,
VS,NY,N,0,0,0,1,0,2.2,2,9,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,4.48,8-10-1955,
VS,PHI,N,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4.40,8-14-1955,2
AT,NY,N,0,0,0,1,0,2,1,7,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,4.26,8-16-1955,
AT,NY,N,1,0,0,0,0,3.1,2,16,1,4,2,3,0,3,0,0,0,0,0,0,0,0,1,0,0,4.32,8-18-1955,
VS,CIN,N,0,0,0,0,0,1.1,1,8,0,2,2,3,1,1,1,0,0,0,0,1,0,0,0,0,1,4.50,8-25-1955,2
VS,STL,N,1,1,0,0,0,9,6,34,1,1,1,1,0,9,0,0,0,1,0,2,0,1,0,1,0,4.09,8-28-1955,
VS,PIT,N,1,1,1,0,0,9,4,33,0,0,0,4,0,3,0,0,0,0,0,1,0,1,0,1,0,3.66,9- 2-1955,
AT,MIL,N,0,0,0,1,0,5.2,0,19,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,1,0,3.44,9- 8-1955,
AT,CIN,N,0,0,0,1,0,0.1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.42,9-11-1955,2
AT,STL,N,1,0,0,0,0,3.1,6,16,0,4,4,1,0,3,0,1,0,0,0,1,0,0,0,0,1,3.68,9-13-1955,
VS,NY,N,1,0,0,0,0,3.1,4,17,1,4,1,1,0,1,0,0,0,0,0,2,0,0,2,0,0,3.65,9-17-1955,
