at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,CHI,A,1,0,0,0,0,5.1,6,22,0,2,2,0,0,9,0,0,1,0,0,0,0,0,1,1,0,3.38,9- 1-1978,2
AT,DET,A,1,0,0,0,0,6,4,24,0,3,2,3,0,2,1,0,0,0,0,1,0,0,0,0,1,3.18,9-29-1978,
VS,CHI,A,0,0,0,1,1,3,0,11,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0.00,4- 7-1979,
VS,NY,A,0,0,0,0,0,2,3,9,2,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5.40,4-10-1979,
AT,MIL,A,0,0,0,0,0,1,2,5,0,2,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,7.50,4-13-1979,
VS,MIL,A,1,0,0,0,0,7,4,28,0,2,2,5,0,3,0,0,0,0,0,1,0,1,0,1,0,4.85,4-21-1979,
AT,OAK,A,0,0,0,1,0,2.2,2,13,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,4.02,4-28-1979,
AT,BOS,A,0,0,0,0,0,5,4,23,0,2,2,5,0,3,0,0,0,0,0,0,0,1,0,0,0,3.92,5-17-1979,
VS,BOS,A,0,0,0,1,0,7.1,4,25,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,2.89,5-22-1979,
AT,DET,A,0,0,0,1,0,5,1,18,0,0,0,2,0,5,0,0,1,0,0,0,0,0,0,1,0,2.45,5-26-1979,
AT,KC,A,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.73,5-28-1979,
AT,TEX,A,0,0,0,0,0,7.2,3,29,0,0,0,4,0,4,0,0,0,1,0,0,0,1,0,0,0,2.21,6- 2-1979,
VS,KC,A,1,1,0,0,0,9,2,32,1,1,1,4,0,4,0,0,0,0,0,0,0,0,1,1,0,1.99,6- 7-1979,
AT,CHI,A,0,0,0,0,0,3.1,7,20,2,6,6,4,2,1,0,1,1,0,0,3,0,0,0,0,0,2.89,6-12-1979,
AT,CLE,A,0,0,0,0,0,2.2,4,15,0,1,1,3,0,3,1,0,1,0,0,0,0,0,1,0,0,2.91,6-18-1979,
VS,DET,A,0,0,0,0,0,4,3,14,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2.72,6-22-1979,
VS,DET,A,0,0,0,1,0,3.2,0,11,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,2.56,6-23-1979,2
VS,TOR,A,0,0,0,0,0,4,6,18,0,2,2,1,0,3,0,0,0,0,0,1,0,1,0,1,0,2.67,7- 1-1979,
AT,TEX,A,0,0,0,0,0,4.1,6,15,0,2,2,0,0,1,0,1,0,0,0,0,1,2,0,0,0,2.76,7- 4-1979,
AT,CAL,A,0,0,0,0,0,0.2,1,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.74,7- 8-1979,
AT,OAK,A,0,0,0,0,0,1,1,8,0,3,3,2,0,0,0,0,0,2,0,1,0,0,0,0,1,3.07,7-10-1979,
VS,CAL,A,1,0,0,0,0,8,6,34,1,2,2,5,0,6,0,1,0,0,0,0,0,2,1,1,0,2.99,7-21-1979,
VS,SEA,A,0,0,0,0,0,0.1,2,4,0,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3.31,7-25-1979,
AT,KC,A,0,0,0,1,0,3.1,2,15,0,1,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,3.28,7-28-1979,
AT,MIL,A,0,0,0,1,0,5.2,3,20,1,2,2,1,0,4,0,0,1,0,0,0,0,1,0,1,0,3.28,7-31-1979,
VS,MIL,A,0,0,0,0,0,3.2,3,16,2,4,4,2,0,0,0,0,0,0,0,0,0,0,1,0,1,3.53,8- 7-1979,
VS,CHI,A,0,0,0,0,0,3.1,4,15,0,1,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,3.50,8-13-1979,
VS,KC,A,0,0,0,1,0,5.1,5,24,1,3,2,2,2,4,1,0,0,0,0,0,0,0,1,0,0,3.50,8-17-1979,
AT,CHI,A,0,0,0,0,0,5.1,7,27,0,2,2,5,0,6,0,0,1,0,0,0,1,0,0,0,0,3.49,8-26-1979,2
AT,BOS,A,0,0,0,0,0,3.1,2,13,0,0,0,2,0,1,0,0,0,1,1,1,0,1,0,1,0,3.39,9- 7-1979,
AT,DET,A,0,0,0,0,0,3,7,16,0,3,3,3,0,2,0,0,0,0,0,1,0,0,0,0,0,3.53,9-20-1979,
VS,DET,A,0,0,0,0,0,2,1,8,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,3.47,9-25-1979,
AT,CLE,A,0,0,0,1,0,1,0,7,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,9-29-1979,
