at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,LA,N,1,0,0,0,0,7,4,25,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0.00,9- 4-1982,
VS,CHI,N,1,0,0,0,0,2.1,7,14,0,4,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3.86,9-14-1982,
AT,CHI,N,1,0,0,0,0,6,2,20,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2.35,9-21-1982,
AT,MON,N,0,0,0,1,0,2,2,8,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2.60,9-24-1982,
VS,MON,N,0,0,0,1,0,1,2,8,0,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1,3.93,10- 1-1982,
AT,HOU,N,1,0,0,0,0,4.1,7,20,0,2,2,2,0,3,0,0,0,0,0,1,0,1,0,0,0,4.15,4- 8-1983,
VS,STL,N,1,0,0,0,0,4,8,20,0,3,3,1,0,1,0,0,1,1,0,1,0,0,0,0,1,5.40,4-13-1983,
AT,NY,N,1,0,0,0,0,4.2,5,22,0,5,5,3,0,2,0,0,0,0,0,1,1,0,0,0,0,6.92,4-20-1983,2
AT,LA,N,0,0,0,0,0,2,1,7,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.60,5- 3-1983,
AT,SD,N,1,0,0,0,0,5.2,5,24,0,1,1,3,0,1,0,0,1,0,0,0,0,1,0,0,0,5.23,5-10-1983,
VS,NY,N,0,0,0,0,0,3.2,2,13,1,3,3,1,0,1,0,0,2,0,1,1,0,0,0,0,0,5.55,5-16-1983,
VS,HOU,N,0,0,0,0,0,5.1,3,19,0,1,0,2,0,2,0,1,0,0,0,2,0,0,1,0,0,4.55,5-21-1983,
AT,CIN,N,1,0,0,0,0,5.1,7,26,1,4,4,3,0,2,0,1,0,0,0,1,1,0,0,1,0,4.89,5-26-1983,
VS,ATL,N,1,0,0,0,0,3.2,6,19,0,5,5,2,1,3,0,0,0,0,2,1,2,0,0,0,1,5.59,5-31-1983,
AT,CHI,N,1,0,0,0,0,6,6,24,1,3,2,2,0,4,0,0,0,0,0,1,0,1,0,0,1,5.24,6- 5-1983,
AT,PHI,N,1,0,0,0,0,5,7,25,0,4,3,3,0,3,0,0,0,0,0,2,0,0,1,0,0,5.26,6-11-1983,
VS,MON,N,0,0,0,0,0,2,1,8,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,5.05,6-15-1983,
VS,CHI,N,1,0,0,0,0,5,6,25,2,4,4,5,0,1,0,0,1,0,0,0,0,2,1,0,0,5.24,6-20-1983,1
AT,STL,N,0,0,0,1,0,4.1,1,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,4.87,6-25-1983,
AT,CHI,N,0,0,0,1,0,1,1,5,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08,6-29-1983,
VS,STL,N,0,0,0,0,0,1.2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.95,7- 1-1983,
VS,STL,N,0,0,0,1,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80,7- 3-1983,
VS,STL,N,0,0,0,0,0,2,4,10,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4.92,7- 4-1983,2
AT,SF,N,1,0,0,0,0,5.2,5,23,0,2,2,2,0,3,0,1,1,0,1,0,1,0,0,1,0,4.79,7-12-1983,
AT,SD,N,1,0,0,0,0,5,7,23,0,3,3,4,0,3,0,0,0,0,0,1,0,1,0,1,0,4.83,7-17-1983,
VS,SF,N,1,0,0,0,0,6.2,7,28,0,2,2,1,1,5,0,1,1,0,0,0,0,0,0,0,0,4.66,7-22-1983,
VS,SD,N,1,1,0,0,0,9,7,35,0,5,3,0,0,5,0,1,3,0,0,2,1,1,2,1,0,4.50,7-26-1983,2
AT,NY,N,1,0,0,0,0,7,7,30,1,3,3,3,0,2,0,1,0,0,0,2,0,1,0,0,0,4.46,7-31-1983,1
VS,MON,N,1,0,0,0,0,2.1,6,14,3,5,5,1,0,2,0,0,0,0,0,0,0,1,1,0,1,4.79,8- 6-1983,
AT,PHI,N,0,0,0,1,0,2,3,9,1,3,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,4.70,8- 8-1983,
VS,NY,N,1,0,0,0,0,6,5,22,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0,1,0,4.53,8-16-1983,
VS,HOU,N,1,0,0,0,0,7,6,25,0,2,2,2,0,6,0,0,0,0,0,1,0,2,0,0,1,4.41,8-23-1983,2
VS,ATL,N,1,1,1,0,0,9,5,34,0,0,0,3,0,8,0,0,0,0,0,0,0,1,0,1,0,4.10,8-27-1983,
AT,HOU,N,1,0,0,0,0,6,4,21,0,0,0,1,0,3,0,0,0,0,0,0,0,2,1,0,0,3.91,9- 1-1983,
AT,STL,N,1,1,1,0,0,9,3,33,0,0,0,3,0,5,0,0,0,0,1,0,0,0,0,1,0,3.67,9- 6-1983,
VS,STL,N,1,0,0,0,0,6,8,26,1,5,5,3,0,1,0,0,0,0,0,3,0,1,0,1,0,3.82,9-12-1983,
VS,MON,N,1,0,0,0,0,4.1,7,23,0,4,4,3,0,1,1,0,0,1,0,2,0,1,0,0,0,3.95,9-17-1983,
AT,CHI,N,1,1,0,0,0,9,6,34,1,2,2,2,0,4,0,0,0,0,0,0,1,1,0,1,0,3.84,9-22-1983,
VS,NY,N,1,0,0,0,0,7,5,28,1,4,3,0,0,5,0,0,1,0,0,1,0,1,3,0,1,3.84,9-28-1983,
AT,PHI,N,1,1,1,0,0,9,5,30,0,0,0,1,0,5,0,0,0,0,0,1,0,3,0,1,0,3.65,10- 2-1983,
AT,SD,N,0,0,0,0,0,3.2,4,15,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.45,4- 5-1984,
AT,SF,N,0,0,0,0,0,3,2,11,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,1.35,4-11-1984,
AT,STL,N,0,0,0,0,0,1,1,6,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1.17,4-14-1984,
VS,PHI,N,0,0,0,0,0,1,3,8,0,2,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,3.12,4-17-1984,
AT,PHI,N,0,0,0,0,0,0,5,5,0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,6.23,4-25-1984,
VS,STL,N,0,0,0,1,0,2,2,8,1,2,2,1,0,0,1,0,1,0,0,1,0,0,0,0,1,6.75,4-30-1984,
AT,ATL,N,0,0,0,0,0,2,2,9,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,6.39,5-13-1984,
AT,CIN,N,0,0,0,0,0,2,2,8,1,2,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,6.75,5-29-1984,
VS,MON,N,1,0,0,0,0,7,8,30,0,1,1,2,0,3,0,0,0,0,0,2,0,0,0,1,0,4.98,6- 2-1984,
AT,PHI,N,0,0,0,0,0,2.1,0,8,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,4.50,6- 8-1984,1
AT,PHI,N,0,0,0,1,0,1,2,5,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4.68,6-10-1984,
AT,NY,N,1,0,0,0,0,6.2,5,27,0,2,2,1,0,6,0,0,1,0,1,0,0,0,1,0,1,4.26,6-13-1984,
VS,PHI,N,1,0,0,0,0,2.1,5,15,1,5,5,3,0,0,0,0,0,0,0,0,1,0,1,0,0,5.29,6-22-1984,2
AT,CHI,N,1,0,0,0,0,4.2,9,28,2,6,4,3,0,3,1,0,2,0,0,0,0,0,2,0,0,5.59,6-27-1984,
AT,SF,N,0,0,0,0,0,2.1,4,12,0,1,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,5.49,7- 1-1984,
AT,STL,N,0,0,0,1,1,3,2,10,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,5.11,8- 8-1984,
AT,NY,N,0,0,0,0,0,1,3,7,0,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,5.40,8-12-1984,
AT,ATL,N,0,0,0,0,0,1.2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5.21,8-15-1984,
VS,ATL,N,0,0,0,0,0,1.2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03,8-21-1984,
AT,CIN,N,0,0,0,1,0,2,2,9,0,0,0,1,1,2,0,0,1,0,0,1,0,0,0,0,0,4.83,9- 2-1984,
VS,NY,N,0,0,0,0,0,3,2,16,0,2,1,5,2,2,0,0,0,0,0,0,0,0,0,0,1,4.72,9- 5-1984,
VS,MON,N,0,0,0,0,0,2,4,13,0,3,3,3,1,1,0,0,0,0,0,2,0,0,0,0,1,5.04,9-10-1984,
AT,STL,N,0,0,0,0,0,1.2,2,7,0,2,2,1,0,2,0,0,1,0,1,1,0,0,0,0,0,5.21,9-14-1984,
AT,STL,N,0,0,0,1,0,0.1,3,5,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5.49,9-16-1984,
VS,PHI,N,1,0,0,0,0,5,3,18,0,0,0,2,0,5,1,0,0,0,0,1,0,0,0,0,0,5.05,9-21-1984,
VS,CHI,N,1,0,0,0,0,6,6,27,1,5,5,4,0,10,0,0,0,0,0,1,0,0,0,0,1,5.27,9-26-1984,
VS,STL,N,1,0,0,0,0,5,3,17,0,1,1,3,0,1,0,0,0,0,0,1,0,2,0,0,0,1.80,4-13-1985,
AT,STL,N,1,0,0,0,0,6,5,28,0,4,3,5,0,5,0,0,0,1,0,1,1,1,1,0,1,3.27,4-20-1985,
AT,NY,N,0,0,0,1,0,3,1,13,0,1,1,1,0,3,0,0,1,0,0,0,0,0,2,0,1,3.21,4-28-1985,
VS,SF,N,1,0,0,0,0,5,9,25,0,5,4,3,0,1,0,0,1,0,0,2,1,1,1,0,1,4.26,5- 7-1985,
AT,LA,N,1,0,0,0,0,5.1,5,22,1,2,2,3,0,2,0,0,0,0,0,0,0,1,1,0,1,4.07,5-12-1985,
VS,CIN,N,1,0,0,0,0,5,6,23,1,4,4,3,0,3,0,0,0,0,0,0,0,0,0,0,1,4.60,5-19-1985,
VS,CHI,N,1,0,0,0,0,4.1,6,21,0,4,4,2,0,0,0,0,1,0,0,2,0,0,0,0,0,5.08,6-29-1985,
VS,SD,N,1,0,0,0,0,6,6,27,0,1,1,4,2,2,0,0,0,0,0,1,0,0,1,0,0,4.54,7- 5-1985,
VS,LA,N,1,0,0,0,0,4.2,6,22,1,5,5,3,0,2,0,1,0,0,0,2,0,1,1,0,1,5.08,7-10-1985,
AT,SD,N,1,0,0,0,0,6,5,21,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,4.47,7-21-1985,
AT,SF,N,1,0,0,0,0,5.1,6,24,1,3,3,1,0,4,0,0,0,0,0,0,0,0,1,0,1,4.53,7-26-1985,
VS,PHI,N,1,0,0,0,0,8,3,30,1,2,2,3,0,10,0,0,0,0,0,0,0,0,0,0,0,4.24,7-31-1985,
VS,MON,N,1,0,0,0,0,8,3,26,1,2,2,0,0,4,0,0,0,0,0,0,1,0,0,0,0,4.02,8- 5-1985,
AT,MON,N,1,0,0,0,0,6,6,28,0,3,3,3,0,3,1,0,0,0,0,0,1,0,1,0,0,4.06,8-11-1985,
VS,NY,N,1,0,0,0,0,6.2,7,27,1,4,4,1,0,2,0,0,0,0,0,0,0,0,1,0,1,4.16,8-17-1985,
VS,HOU,N,1,0,0,0,0,8,3,27,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,3.80,8-23-1985,
AT,ATL,N,1,0,0,0,0,3.2,8,20,1,5,4,1,0,3,0,0,0,0,0,1,0,0,1,0,1,4.03,8-28-1985,
VS,ATL,N,1,0,0,0,0,6.1,6,28,1,4,4,3,0,4,0,1,0,0,0,1,0,0,0,1,0,4.13,9- 2-1985,
AT,HOU,N,1,0,0,0,0,7,5,27,0,1,1,1,0,7,0,0,0,0,0,1,0,0,0,1,0,3.95,9- 7-1985,
VS,PHI,N,1,0,0,0,0,6,6,25,0,3,2,2,0,5,0,0,0,0,0,1,0,0,1,1,0,3.90,9-14-1985,
AT,MON,N,1,0,0,0,0,5,5,24,1,6,2,3,1,3,0,0,0,0,0,1,0,0,1,0,0,3.89,9-19-1985,
