at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,MIN,A,1,0,0,0,0,2.2,9,19,1,6,6,2,0,1,0,0,0,1,0,1,1,1,1,0,1,20.25,5-13-2007,
AT,CHI,A,1,0,0,0,0,5,4,20,2,2,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,9.39,7-24-2007,2
AT,OAK,A,1,0,0,0,0,4,6,18,3,4,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9.26,8-31-2007,
VS,SEA,A,0,0,0,0,0,4.1,6,20,0,3,3,1,0,1,0,0,0,0,0,1,1,0,0,0,0,8.44,9- 9-2007,
AT,CHI,A,0,0,0,0,0,0.2,2,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.64,9-28-2007,
VS,KC,A,1,0,0,0,0,6,4,23,0,2,2,2,0,7,0,0,0,0,0,3,0,0,0,1,0,3.00,6-26-2009,
VS,CHI,N,1,0,0,0,0,6,7,27,2,3,3,3,1,2,1,0,0,0,0,2,1,1,0,0,1,3.75,7- 1-2009,
AT,HOU,N,1,0,0,0,0,6,7,26,0,4,4,3,0,2,0,0,0,0,0,2,1,1,0,0,1,4.50,7- 6-2009,
AT,PHI,N,1,0,0,0,0,1.1,4,11,1,5,5,3,0,1,0,1,0,0,0,1,0,0,0,0,1,6.52,7-12-2009,
VS,MIL,N,1,0,0,0,0,6.2,9,30,0,2,2,0,0,4,1,0,0,1,0,2,0,0,0,0,1,5.54,7-21-2009,
AT,ARI,N,1,0,0,0,0,3,6,16,1,4,4,2,0,3,0,0,0,0,0,4,0,0,0,0,1,6.21,7-26-2009,
VS,WAS,N,1,0,0,0,0,5,9,26,0,3,3,2,0,2,0,1,0,1,0,2,0,1,0,1,0,6.09,8- 1-2009,
AT,CIN,N,0,0,0,0,0,1,2,5,1,2,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,6.43,9- 1-2009,
VS,CHI,N,0,0,0,0,0,3,2,12,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,6.16,9- 8-2009,
VS,CIN,N,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00,9-22-2009,
VS,CIN,N,0,0,0,1,0,1,3,8,0,3,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6.30,9-23-2009,
VS,LA,N,0,0,0,1,0,1.2,2,7,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,6.26,9-26-2009,
AT,CHI,N,0,0,0,1,0,2,2,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5.98,9-30-2009,2
AT,CIN,N,0,0,0,0,0,1,1,4,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5.84,10- 4-2009,
