at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,COL,N,0,0,0,0,0,3,1,11,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.00,4-17-2010,
VS,PHI,N,0,0,0,0,0,2,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.00,4-21-2010,
AT,NY,N,0,0,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,4-23-2010,
AT,STL,N,0,0,0,0,0,1.2,2,9,0,1,1,4,1,1,0,0,0,0,0,1,0,1,0,0,0,1.17,4-28-2010,
VS,HOU,N,0,0,0,1,0,1,1,6,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1.04,5- 1-2010,
AT,WAS,N,0,0,0,0,0,1,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86,5- 4-2010,
AT,PHI,N,0,0,0,0,0,1,0,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1.69,5- 7-2010,
AT,PHI,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,5- 8-2010,
AT,MIL,N,0,0,0,1,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.50,5-11-2010,
VS,ARI,N,0,0,0,0,0,1.2,2,7,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1.32,5-14-2010,
VS,CIN,N,0,0,0,0,0,3,3,12,0,0,0,2,0,3,0,0,0,0,0,0,0,2,0,0,0,1.08,5-20-2010,
AT,PIT,N,0,0,0,0,0,0.1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.06,5-23-2010,
AT,FLA,N,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.00,5-27-2010,
VS,PIT,N,0,0,0,1,0,1,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.95,5-28-2010,
VS,PHI,N,0,0,0,0,0,1.1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.89,5-31-2010,
VS,PHI,N,0,0,0,0,0,0.2,2,6,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1.29,6- 1-2010,
AT,LA,N,0,0,0,1,1,0.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.27,6- 3-2010,
AT,LA,N,0,0,0,0,0,1,1,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1.21,6- 5-2010,
AT,LA,N,0,0,0,0,0,2,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1.11,6- 6-2010,
AT,ARI,N,0,0,0,0,0,1.1,2,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1.05,6- 8-2010,
AT,ARI,N,0,0,0,0,0,0.2,1,6,0,3,0,2,0,2,0,0,0,0,0,1,0,0,1,0,0,1.03,6-10-2010,
AT,MIN,A,0,0,0,0,0,0.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.01,6-12-2010,
AT,MIN,A,0,0,0,1,0,1,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.98,6-13-2010,
VS,TB,A,0,0,0,1,0,1.1,2,7,0,2,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1.55,6-16-2010,
VS,TB,A,0,0,0,0,0,1,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.50,6-17-2010,
VS,KC,A,0,0,0,0,0,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.45,6-19-2010,
VS,DET,A,0,0,0,0,0,0.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.44,6-25-2010,
VS,DET,A,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.39,6-26-2010,
VS,WAS,N,0,0,0,1,0,2,0,8,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1.31,6-28-2010,
VS,WAS,N,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.27,6-30-2010,
VS,FLA,N,0,0,0,1,0,2,1,9,0,1,0,1,1,3,1,0,0,0,0,0,0,0,1,1,0,1.21,7- 2-2010,
AT,PHI,N,0,0,0,1,0,1,3,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,7- 5-2010,
AT,PHI,N,0,0,0,0,0,0.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,7- 6-2010,
AT,PHI,N,0,0,0,0,0,0.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,7- 7-2010,
AT,NY,N,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.33,7- 9-2010,
AT,NY,N,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30,7-10-2010,
VS,MIL,N,0,0,0,0,0,0.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,7-15-2010,
VS,MIL,N,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.28,7-17-2010,
VS,SD,N,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.25,7-20-2010,
VS,SD,N,0,0,0,0,0,1.2,0,5,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1.20,7-21-2010,
AT,FLA,N,0,0,0,1,0,2,3,10,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1.15,7-24-2010,
AT,FLA,N,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.12,7-25-2010,
AT,WAS,N,0,0,0,1,0,2,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.08,7-27-2010,
AT,WAS,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.07,7-28-2010,
AT,CIN,N,0,0,0,0,0,1,2,5,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.23,7-30-2010,
AT,CIN,N,0,0,0,1,0,0.2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.21,8- 1-2010,
VS,NY,N,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.19,8- 2-2010,
VS,NY,N,0,0,0,0,0,1,1,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1.17,8- 3-2010,
VS,SF,N,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.15,8- 5-2010,
VS,SF,N,0,0,0,0,0,1,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1.12,8- 6-2010,
VS,SF,N,0,0,0,0,0,1.1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.10,8- 8-2010,
AT,HOU,N,0,0,0,0,0,0.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.09,8-10-2010,
AT,HOU,N,0,0,0,0,0,1,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.07,8-11-2010,
VS,LA,N,0,0,0,0,0,1,2,5,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1.21,8-14-2010,
VS,LA,N,0,0,0,0,0,1,1,5,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1.19,8-16-2010,
VS,WAS,N,0,0,0,0,0,1,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.17,8-18-2010,
AT,CHI,N,0,0,0,1,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.15,8-21-2010,
AT,CHI,N,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,8-22-2010,
AT,COL,N,0,0,0,1,0,1,2,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.25,8-23-2010,
AT,COL,N,0,0,0,0,0,1.2,2,9,0,4,4,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1.76,8-25-2010,
VS,FLA,N,0,0,0,0,0,1,1,6,0,0,0,1,0,3,0,0,1,0,0,0,0,0,1,0,0,1.74,8-29-2010,
VS,NY,N,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.71,8-31-2010,
