at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,DET,A,1,0,0,0,0,5,7,23,0,3,3,2,0,3,0,0,0,0,0,1,1,1,0,0,1,5.40,7-18-1964,2
VS,CLE,A,0,0,0,1,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4.50,7-21-1964,2
VS,WAS,A,1,1,0,0,0,9,2,31,0,2,2,4,0,7,0,0,0,0,0,2,0,1,0,1,0,3.00,7-24-1964,2
VS,WAS,A,0,0,0,0,0,1,1,5,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2.81,7-26-1964,
AT,MIN,A,1,0,0,0,0,8.1,9,36,1,4,4,3,0,5,0,0,1,0,0,2,1,1,0,1,0,3.33,7-30-1964,
AT,LA,A,1,0,0,0,0,3.2,5,20,0,5,0,4,0,4,0,0,0,0,0,3,0,0,0,0,1,2.89,8- 4-1964,
AT,NY,A,0,0,0,0,0,1.2,1,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.73,8- 9-1964,1
AT,NY,A,0,0,0,0,0,1.2,1,7,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2.59,8- 9-1964,2
VS,BOS,A,0,0,0,0,0,1.2,1,9,0,2,0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,2.45,8-11-1964,
VS,NY,A,0,0,0,0,0,5,7,23,1,5,5,1,0,3,1,0,0,0,0,2,0,0,0,0,0,3.32,8-15-1964,
AT,BOS,A,1,0,0,0,0,1.2,7,12,1,4,4,0,0,3,0,0,0,0,0,1,1,0,0,0,1,4.08,8-20-1964,
AT,CHI,A,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,8-23-1964,2
VS,CLE,A,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.08,8-26-1964,
AT,LA,A,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.98,9- 4-1964,
AT,KC,A,0,0,0,0,0,6,3,23,1,2,2,2,0,11,0,0,0,0,0,0,0,0,0,0,0,3.86,9- 7-1964,2
VS,KC,A,1,0,0,0,0,2.2,6,15,1,3,3,1,0,2,0,0,0,0,0,3,0,0,0,0,1,4.20,9-11-1964,2
VS,LA,A,0,0,0,0,0,0.1,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.17,9-18-1964,
VS,LA,A,0,0,0,0,0,1,3,6,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,4.26,9-20-1964,1
AT,DET,A,0,0,0,0,0,3.1,3,13,0,2,1,2,0,2,0,1,0,0,0,0,0,1,0,0,1,4.17,9-23-1964,
