at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
VS,CHI,A,1,0,0,0,0,1.2,7,14,1,6,6,2,0,0,0,1,0,0,0,2,0,0,0,0,1,32.40,6-17-2000,
VS,CHI,A,0,0,0,1,0,2.1,2,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.50,6-18-2000,
AT,BOS,A,1,0,0,0,0,2.2,6,15,0,4,4,2,1,1,0,1,0,0,0,3,0,0,0,0,1,13.50,6-22-2000,
AT,CHI,A,0,0,0,0,0,3.1,3,13,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.70,4-11-2001,
AT,DET,A,0,0,0,0,0,1.2,5,12,0,3,3,1,0,1,0,1,0,0,0,2,0,0,1,0,0,7.20,5-30-2001,
AT,MIN,A,0,0,0,0,0,4.1,3,18,0,0,0,2,1,6,0,0,0,0,0,1,0,0,0,0,0,3.86,6- 4-2001,
AT,PIT,N,0,0,0,0,0,2,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.18,6-15-2001,
AT,PIT,N,0,0,0,0,0,2,2,8,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.38,6-16-2001,
VS,MIN,A,0,0,0,0,0,1,2,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3.14,6-20-2001,
AT,KC,A,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.93,6-22-2001,
AT,KC,A,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.76,6-24-2001,
AT,NY,A,0,0,0,0,0,0.1,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.24,6-25-2001,
VS,KC,A,0,0,0,1,0,3,2,12,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2.75,6-29-2001,
VS,BOS,A,1,0,0,0,0,6,5,22,1,1,1,2,0,4,0,0,0,0,0,0,0,3,0,1,0,2.45,7- 3-2001,
VS,STL,N,1,0,0,0,0,5,5,21,1,3,3,1,0,2,0,0,1,1,0,0,0,1,0,0,0,2.93,7- 8-2001,
AT,HOU,N,1,0,0,0,0,4.1,5,22,0,4,4,4,1,7,0,0,2,1,0,1,0,0,0,0,1,3.60,7-15-2001,
VS,DET,A,1,0,0,0,0,6,8,26,0,4,4,2,0,4,1,2,0,0,0,3,0,2,0,0,1,3.95,7-20-2001,
VS,CHI,A,1,0,0,0,0,5,8,24,1,4,4,2,0,3,0,1,0,0,0,1,0,0,0,1,0,4.30,7-25-2001,
VS,OAK,A,1,0,0,0,0,2.1,7,16,1,8,7,0,0,2,0,0,0,1,0,3,0,0,1,0,1,5.40,7-31-2001,
AT,SEA,A,0,0,0,0,0,3.1,4,15,0,1,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,5.23,8-25-2001,
AT,CHI,A,0,0,0,0,0,3.2,3,15,1,3,3,2,1,3,0,0,0,0,0,1,0,1,0,0,1,5.37,8-31-2001,
VS,CHI,A,0,0,0,0,0,3.2,7,19,0,5,5,0,0,3,0,1,0,1,0,0,1,0,0,0,0,5.80,9- 7-2001,
VS,CHI,A,0,0,0,1,0,1.1,2,6,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5.97,9-10-2001,
VS,MIN,A,0,0,0,1,0,1,1,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,5.87,9-29-2001,
AT,TOR,A,0,0,0,0,0,0.2,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95,10- 5-2001,2
AT,TOR,A,0,0,0,0,0,2.2,3,11,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,5.85,10- 7-2001,
VS,NY,A,0,0,0,0,0,4.2,5,21,1,5,5,3,0,4,0,0,0,0,0,1,0,1,0,0,0,9.64,7-13-2002,
VS,MIN,A,0,0,0,0,0,0.2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.44,7-18-2002,
AT,KC,A,0,0,0,1,0,4,3,15,1,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6.75,7-20-2002,1
