at_vs,Opponent,League,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,Date,dblhead_num
AT,MIN,A,1,1,0,0,0,9,4,34,0,1,1,2,0,4,0,0,0,0,0,2,0,1,2,1,0,1.00,6-15-1966,1
AT,KC,A,1,1,0,0,0,8.1,7,31,0,1,1,1,1,5,1,0,0,0,0,0,1,1,0,0,1,1.04,6-19-1966,1
VS,BAL,A,1,0,0,0,0,6,6,27,2,4,4,3,0,2,0,0,0,0,0,1,0,1,1,0,0,2.31,6-24-1966,
VS,DET,A,1,0,0,0,0,2.1,6,12,2,5,5,0,0,2,1,0,0,0,0,0,0,1,0,0,1,3.86,6-28-1966,
AT,CLE,A,1,0,0,0,0,3.1,7,14,0,2,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,4.03,7- 3-1966,2
AT,DET,A,0,0,0,0,0,2,1,9,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,3.77,7- 4-1966,
AT,BAL,A,1,0,0,0,0,7,8,28,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,3.32,7- 9-1966,2
VS,WAS,A,1,1,1,0,0,9,7,34,0,0,0,2,0,5,0,0,0,0,0,0,0,2,0,1,0,2.68,7-17-1966,1
AT,NY,A,1,0,0,0,0,5,5,21,0,3,3,1,0,2,0,0,0,0,0,1,0,0,0,0,0,2.94,7-22-1966,
AT,WAS,A,1,0,0,0,0,2,7,14,1,6,6,1,0,0,0,0,0,0,0,1,1,0,1,0,1,3.83,7-27-1966,
VS,NY,A,1,0,0,0,0,6.2,4,26,1,3,3,2,0,3,0,0,0,1,0,0,0,1,0,0,0,3.86,8- 1-1966,
VS,CHI,A,1,0,0,0,0,8,8,34,2,3,3,2,1,2,0,1,0,0,0,1,0,0,0,0,1,3.80,8- 5-1966,
VS,MIN,A,1,0,0,0,0,8,5,30,1,1,1,2,0,0,1,0,0,0,0,0,0,2,1,0,1,3.52,8-10-1966,
VS,WAS,A,0,0,0,0,0,3.2,5,15,1,1,1,0,0,4,0,0,0,0,0,0,1,1,0,0,0,3.47,9- 2-1966,
VS,WAS,A,0,0,0,0,0,1.1,3,9,0,2,2,2,2,1,1,0,0,0,0,1,0,0,0,0,1,3.64,9- 4-1966,
AT,KC,A,0,0,0,0,0,3.1,3,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,9- 6-1966,
AT,CLE,A,0,0,0,0,0,0.1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59,9- 9-1966,
AT,BOS,A,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,9-16-1966,
AT,DET,A,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,9-22-1966,2
VS,BAL,A,1,0,0,0,0,5.1,5,23,0,5,4,2,0,3,0,1,0,0,0,1,1,1,1,0,1,3.74,9-24-1966,
VS,DET,A,1,0,0,0,0,7,4,25,0,0,0,2,0,4,0,0,0,0,0,0,0,1,0,1,0,0.00,6-10-1967,
VS,CLE,A,1,0,0,0,0,7.1,6,27,1,2,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1.26,6-14-1967,
AT,DET,A,1,0,0,0,0,7.2,5,29,0,0,0,2,0,3,0,0,0,0,0,1,0,2,1,1,0,0.82,6-19-1967,1
AT,KC,A,1,0,0,0,0,4,5,18,0,2,2,1,0,2,0,0,0,0,0,0,1,0,0,0,1,1.38,6-24-1967,
VS,WAS,A,0,0,0,1,0,1,2,7,0,1,1,1,0,1,0,0,0,0,0,2,0,0,1,0,0,1.67,6-27-1967,
VS,NY,A,1,0,0,0,0,4,7,20,2,5,5,2,0,1,0,0,0,0,0,0,0,1,0,0,1,2.90,7- 1-1967,
VS,BOS,A,0,0,0,1,0,1,3,8,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,7- 3-1967,
VS,KC,A,0,0,0,1,0,6.1,1,19,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,2.82,7- 8-1967,
AT,CHI,A,1,0,0,0,0,1,7,9,0,5,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,3.66,7-14-1967,2
AT,MIN,A,1,0,0,0,0,5,7,25,0,4,4,3,0,2,0,0,0,0,0,2,0,0,0,0,0,4.06,7-16-1967,2
AT,BOS,A,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03,7-27-1967,
AT,WAS,A,0,0,0,0,0,4.1,4,19,0,1,1,3,0,3,0,0,0,0,0,0,0,1,0,0,0,3.86,7-29-1967,
AT,NY,A,0,0,0,0,0,1,2,6,0,2,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,3.96,8- 1-1967,
VS,WAS,A,0,0,0,0,0,0.1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,8- 5-1967,
VS,BAL,A,1,1,0,0,0,9,4,35,1,2,2,4,1,4,0,0,1,0,0,0,0,0,0,1,0,3.64,9- 5-1967,1
AT,NY,A,1,0,0,0,0,7,3,25,0,2,1,2,0,5,2,1,0,0,0,0,0,0,0,0,1,3.39,9-12-1967,2
VS,CHI,A,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,9-19-1967,
VS,CHI,A,0,0,0,0,0,3,2,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.23,9-20-1967,
AT,KC,A,1,0,0,0,0,5,7,21,0,1,1,0,0,3,0,0,0,1,0,0,0,2,0,1,0,3.13,9-24-1967,
