at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,WAS,A,1,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,.333,.500,.333,4,3b,9-11-1962,
VS,NY,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.143,.250,.143,4,3b,9-12-1962,
AT,MIN,A,1,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.167,.231,.167,3,3b,9-14-1962,
AT,KC,A,1,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.250,.294,.250,3,3b,9-18-1962,
AT,KC,A,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.190,.227,.190,7,3b,9-19-1962,
AT,KC,A,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.154,.185,.154,7,3b,9-20-1962,
AT,LA,A,1,5,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.194,.219,.226,7,3b,9-23-1962,
VS,MIN,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,.200,.222,.229,7,3b,9-25-1962,
VS,LA,A,1,4,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,.231,.250,.256,7,3b,9-29-1962,1
VS,LA,A,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,.214,.250,.238,5,3b,9-29-1962,2
VS,LA,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.196,.229,.217,3,3b,9-30-1962,1
VS,LA,A,1,5,0,2,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,.216,.245,.255,3,3b,9-30-1962,2
AT,MIN,A,1,4,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.500,.500,1.500,7,3b,4- 9-1963,
AT,MIN,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.250,.250,.750,7,3b,4-10-1963,
VS,DET,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.182,.182,.545,7,3b,4-11-1963,
VS,DET,A,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.600,7,3b,4-13-1963,
VS,DET,A,1,3,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,.278,.316,.611,6,3b,4-14-1963,
