at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,CIN,N,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,1,2b,4-10-1959,
AT,MIL,N,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.333,1,2b,4-14-1959,
AT,MIL,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.231,.231,.231,1,2b,4-16-1959,
AT,CIN,N,1,5,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.278,.278,.278,1,2b,4-17-1959,
AT,CIN,N,1,6,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,.250,.250,.250,1,2b,4-18-1959,
AT,CIN,N,1,3,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.259,.310,.259,1,2b,4-19-1959,
VS,MIL,N,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.267,.313,.267,2,2b,4-22-1959,
VS,PIT,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.267,.313,.267,7,2b,4-24-1959,
VS,PIT,N,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.242,.286,.242,7,2b,4-25-1959,
VS,PIT,N,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.229,.289,.229,7,2b,4-26-1959,1
VS,PIT,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.282,.222,6,2b,4-26-1959,2
VS,LA,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.282,.222,2,2b,4-29-1959,
VS,LA,N,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,.216,.310,.216,7,2b,4-30-1959,
VS,CHI,N,1,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.220,.304,.220,7,2b,5- 1-1959,
VS,CHI,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.205,.286,.205,7,2b,5- 2-1959,
VS,CHI,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.188,.264,.188,7,2b,5- 3-1959,1
VS,CHI,N,1,3,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,.196,.281,.196,7,2b,5- 3-1959,2
VS,STL,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.185,.267,.185,7,2b,5- 5-1959,
VS,STL,N,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.175,.254,.175,7,2b,5- 6-1959,
AT,PIT,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.164,.239,.164,7,2b,5- 7-1959,
AT,PIT,N,1,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,.167,.236,.167,7,2b,5- 8-1959,
AT,PIT,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,.171,.237,.171,7,2b,5- 9-1959,
AT,PIT,N,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.176,.238,.176,7,2b,5-10-1959,1
AT,PIT,N,1,3,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,.182,.250,.208,7,2b,5-10-1959,2
AT,LA,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.179,.247,.205,7,2b,5-11-1959,
AT,LA,N,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.175,.241,.200,7,2b,5-12-1959,
AT,SF,N,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.175,.258,.200,7,2b,5-13-1959,
AT,SF,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.169,.250,.193,7,2b,5-14-1959,
AT,STL,N,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.163,.242,.186,7,2b,5-15-1959,
AT,CHI,N,1,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.180,.263,.202,7,2b,5-19-1959,
AT,CHI,N,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.176,.257,.198,7,2b,5-20-1959,
AT,CHI,N,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.179,.257,.211,7,2b,5-21-1959,
VS,MIL,N,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.186,.262,.216,7,2b,5-22-1959,
VS,MIL,N,1,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.200,.279,.230,7,2b,5-23-1959,
VS,MIL,N,1,2,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,.206,.296,.245,7,2b,5-24-1959,1
VS,MIL,N,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.210,.297,.248,7,2b,5-24-1959,2
VS,MIL,N,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.206,.292,.243,7,2b,5-25-1959,
AT,CIN,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.285,.236,7,2b,5-26-1959,
AT,CIN,N,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.204,.286,.239,7,2b,5-27-1959,
AT,CIN,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.197,.277,.231,7,2b,5-28-1959,
AT,MIL,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.198,.276,.231,7,2b,5-29-1959,
AT,MIL,N,1,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.208,.283,.240,7,2b,5-30-1959,
AT,MIL,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.209,.282,.240,7,2b,5-31-1959,1
