at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,CHI,N,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.500,.500,.500,3,"lf,cf",6-30-2018,
AT,CHI,N,1,5,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,.429,.429,.714,6,3b,7- 1-2018,
AT,MIL,N,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.455,.455,.636,6,3b,7- 2-2018,
AT,MIL,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.357,.357,.500,6,2b,7- 3-2018,
VS,BAL,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.357,.357,.500,3,2b,7- 8-2018,
VS,KC,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.467,8,ph,7-10-2018,
VS,TB,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.263,.263,.368,6,dh,7-12-2018,
VS,TB,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.263,.263,.368,0,p,7-14-2018,
VS,OAK,A,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.286,.318,.381,9,c,8-25-2018,
AT,CLE,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.304,.364,1,3b,8-28-2018,
AT,CLE,A,1,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,.269,.296,.462,9,c,8-29-2018,
AT,TEX,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.259,.286,.444,6,c,9- 1-2018,
AT,TEX,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.258,.281,.419,6,c,9- 2-2018,
AT,HOU,A,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.273,.294,.515,8,dh,9- 5-2018,
VS,KC,A,1,4,1,2,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,.297,.316,.595,8,c,9- 9-2018,
VS,NY,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.275,.293,.550,6,dh,9-10-2018,
VS,NY,A,1,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.273,.289,.523,9,c,9-11-2018,
VS,NY,A,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.277,.292,.511,7,c,9-12-2018,
AT,KC,A,1,4,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.314,.340,.529,6,c,9-14-2018,
AT,KC,A,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.327,.351,.527,6,c,9-15-2018,
AT,DET,A,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.305,.328,.492,9,c,9-17-2018,
AT,DET,A,1,4,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,.317,.338,.508,8,c,9-19-2018,
AT,OAK,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.313,.333,.493,8,c,9-21-2018,
AT,OAK,A,1,4,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.338,.356,.521,8,c,9-22-2018,
VS,DET,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.351,.507,9,c,9-25-2018,
VS,DET,A,1,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.350,.366,.513,6,3b,9-26-2018,
VS,DET,A,1,4,1,2,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,.357,.372,.524,6,c,9-27-2018,
VS,CHI,A,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,.353,.371,.518,7,c,9-28-2018,1
VS,CHI,A,1,5,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.356,.372,.522,3,3b,9-29-2018,
VS,CHI,A,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.355,.371,.516,8,3b,9-30-2018,
VS,CLE,A,1,2,2,2,2,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1.000,.750,2.000,8,c,3-31-2019,
AT,KC,A,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.750,.667,1.250,8,"ph,c",4- 2-2019,
AT,KC,A,1,5,2,3,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,.667,.636,1.000,5,"3b,lf",4- 3-2019,
AT,PHI,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.600,.583,.900,4,"ph,1b",4- 5-2019,
AT,PHI,N,1,4,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,.500,.529,.929,2,c,4- 6-2019,
AT,NY,N,1,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.421,.455,.737,3,1b,4- 9-2019,
AT,NY,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.348,.385,.609,3,3b,4-10-2019,
VS,TOR,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.296,.333,.519,6,3b,4-15-2019,
VS,TOR,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.258,.294,.452,4,1b,4-16-2019,
VS,TOR,A,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.316,.457,7,c,4-18-2019,
AT,BAL,A,1,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.308,.333,.538,5,1b,4-20-2019,1
AT,BAL,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.300,.326,.525,4,rf,4-20-2019,2
AT,BAL,A,1,4,1,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,.295,.313,.523,2,c,4-21-2019,
AT,HOU,A,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.298,.314,.511,7,rf,4-24-2019,
VS,BAL,A,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.313,.327,.521,5,"ph,1b",4-26-2019,
VS,BAL,A,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.327,.340,.531,7,rf,4-27-2019,
VS,DET,A,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.315,.328,.519,1,c,5-12-2019,
VS,ANA,A,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.310,.323,.517,6,3b,5-13-2019,
VS,ANA,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.290,.303,.484,7,dh,5-14-2019,
VS,ANA,A,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,.277,.286,.462,5,3b,5-15-2019,
AT,SEA,A,1,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,.279,.284,.456,5,c,5-17-2019,
AT,SEA,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.278,.282,.444,5,c,5-19-2019,
AT,ANA,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.276,.280,.434,3,1b,5-20-2019,
AT,ANA,A,1,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.263,.276,.413,9,c,5-23-2019,
VS,CHI,A,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.262,.275,.405,7,c,5-25-2019,
VS,CHI,A,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.264,.277,.402,7,3b,5-26-2019,
VS,MIL,N,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.264,.276,.396,7,c,5-27-2019,
VS,MIL,N,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,.263,.275,.389,9,"1b,c",5-28-2019,
AT,TB,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.260,.272,.385,4,lf,5-30-2019,
AT,TB,A,1,4,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,.270,.287,.390,3,c,5-31-2019,
AT,TB,A,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.260,.283,.375,3,dh,6- 2-2019,
AT,CLE,A,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.259,.282,.370,9,c,6- 6-2019,
AT,DET,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.250,.273,.357,8,3b,6- 7-2019,
VS,BOS,A,1,4,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.267,.288,.397,8,2b,6-19-2019,
AT,KC,A,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.269,.289,.395,9,"3b,c",6-20-2019,
AT,KC,A,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.267,.287,.392,8,"pr,rf",6-21-2019,
AT,KC,A,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.256,.276,.376,5,c,6-22-2019,
VS,TB,A,1,4,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.271,.290,.395,7,rf,6-25-2019,
VS,TB,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.263,.282,.383,6,"lf,rf,lf",6-26-2019,
AT,DET,A,1,2,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,.267,.295,.385,8,1b,9- 1-2019,
AT,DET,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.265,.293,.382,5,c,9- 2-2019,
AT,BOS,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.264,.291,.379,9,c,9- 4-2019,
AT,BOS,A,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.270,.296,.383,9,"ph,2b",9- 5-2019,
VS,CLE,A,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.276,.301,.386,8,3b,9- 7-2019,
VS,CLE,A,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.275,.300,.389,5,c,9- 8-2019,
VS,WAS,N,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.276,.301,.388,7,1b,9-10-2019,
VS,WAS,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.269,.293,.378,5,1b,9-11-2019,
VS,WAS,N,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.269,.297,.375,6,3b,9-12-2019,
AT,CLE,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.264,.291,.368,9,1b,9-14-2019,1
AT,CLE,A,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.265,.296,.367,5,c,9-15-2019,
VS,CHI,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.263,.294,.365,9,ph,9-17-2019,
VS,CHI,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.259,.290,.359,9,1b,9-18-2019,
