at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,ATL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,8,c,4-27-1984,
VS,ATL,N,1,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.667,.750,.667,8,c,4-29-1984,
AT,CIN,N,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.429,.500,.429,8,c,5- 1-1984,
AT,NY,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.300,.364,.300,8,c,5- 4-1984,
AT,NY,N,1,2,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,.333,.429,.333,8,c,5- 5-1984,
AT,NY,N,1,3,1,2,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,.400,.474,.400,8,c,5- 6-1984,
AT,MON,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.368,.435,.368,8,c,5- 7-1984,
VS,PHI,N,1,2,1,1,0,0,1,2,1,0,1,0,0,1,0,0,0,0,0,.381,.444,.524,6,c,5- 9-1984,
VS,PHI,N,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.320,.387,.440,6,c,5-10-1984,
VS,CHI,N,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.333,.412,.444,6,c,5-11-1984,
VS,CHI,N,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.300,.395,.400,7,c,5-12-1984,
VS,CHI,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.366,.364,7,c,5-13-1984,
AT,PIT,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.243,.333,.324,7,c,5-14-1984,
AT,PIT,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.244,.327,.317,7,c,5-15-1984,
AT,PIT,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.244,.321,.311,7,c,5-16-1984,
AT,CHI,N,1,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.245,.316,.327,6,c,5-18-1984,
AT,CHI,N,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.226,.295,.302,6,c,5-20-1984,
AT,STL,N,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.263,.323,.333,7,c,5-21-1984,
AT,STL,N,1,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.262,.329,.344,7,c,5-22-1984,
AT,STL,N,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.266,.338,.344,6,c,5-23-1984,
VS,PIT,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.250,.321,.324,7,c,5-25-1984,
VS,PIT,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.239,.309,.310,7,c,5-26-1984,
VS,PIT,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.240,.306,.307,7,c,5-27-1984,
VS,PIT,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.231,.295,.295,7,c,5-28-1984,
VS,STL,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.222,.286,.284,7,c,5-29-1984,
VS,STL,N,1,3,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.238,.305,.310,6,c,5-30-1984,
AT,LA,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.227,.293,.295,7,c,6- 1-1984,
AT,LA,N,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.217,.288,.283,8,c,6- 2-1984,
AT,LA,N,1,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.211,.287,.274,8,c,6- 3-1984,
AT,SD,N,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,.204,.286,.265,8,c,6- 4-1984,
AT,SF,N,1,5,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,.194,.274,.252,8,c,6- 7-1984,
AT,SF,N,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.190,.275,.248,8,c,6- 8-1984,
AT,SF,N,1,3,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.194,.282,.259,8,c,6-10-1984,
VS,CIN,N,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.191,.278,.255,8,c,6-11-1984,
VS,CIN,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.191,.278,.255,8,c,6-13-1984,
VS,LA,N,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.188,.285,.250,8,c,6-14-1984,
VS,LA,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.181,.276,.241,8,c,6-15-1984,
VS,LA,N,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.185,.277,.244,8,c,6-17-1984,
VS,SD,N,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.182,.273,.240,8,c,6-19-1984,
VS,SD,N,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.179,.275,.236,8,c,6-20-1984,
VS,SD,N,1,5,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,.188,.279,.242,8,c,6-21-1984,
VS,SF,N,1,3,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,.191,.285,.267,8,c,6-22-1984,
VS,SF,N,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.189,.288,.265,8,c,6-23-1984,
VS,SF,N,1,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.191,.287,.272,8,c,6-24-1984,
AT,ATL,N,1,4,2,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,.200,.292,.321,8,c,6-25-1984,1
AT,ATL,N,1,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.207,.295,.324,8,c,6-26-1984,
AT,ATL,N,1,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,.204,.300,.320,8,c,6-27-1984,
AT,PHI,N,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.295,.313,9,c,6-29-1984,
AT,PHI,N,1,3,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,.196,.294,.307,8,c,6-30-1984,
AT,PHI,N,1,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,.192,.297,.301,8,c,7- 1-1984,
AT,NY,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.189,.292,.296,8,c,7- 2-1984,
AT,NY,N,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.191,.293,.296,8,c,7- 3-1984,
AT,NY,N,1,3,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.194,.297,.303,8,c,7- 4-1984,
AT,MON,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.189,.291,.296,8,c,7- 5-1984,
AT,MON,N,1,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.191,.290,.295,8,c,7- 6-1984,1
AT,MON,N,1,2,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,.189,.291,.291,8,c,7- 7-1984,
AT,MON,N,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.186,.288,.288,8,c,7- 8-1984,
VS,PHI,N,1,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.189,.288,.294,8,c,7-12-1984,
VS,PHI,N,1,4,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,.201,.297,.310,7,c,7-13-1984,
