at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,PHI,A,1,5,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.600,.600,.600,3,rf,,9- 6-1948,1
VS,PHI,A,1,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.500,.556,.500,3,lf,,9- 6-1948,2
AT,BOS,A,1,5,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.462,.500,.462,3,lf,,9- 8-1948,
AT,BOS,A,1,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.353,.389,.353,3,lf,,9- 9-1948,
AT,BOS,A,1,5,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,.318,.375,.364,3,lf,,9-10-1948,
AT,WAS,A,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.269,.321,.308,3,rf,,9-11-1948,
AT,CLE,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.269,.321,.308,4,pr,,9-14-1948,
AT,DET,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.269,.321,.308,6,rf,,9-17-1948,
AT,DET,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.233,.281,.267,6,rf,,9-18-1948,
AT,STL,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.226,.273,.258,9,ph,,9-20-1948,
AT,CHI,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.226,.273,.258,9,pr,,9-23-1948,
VS,BOS,A,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,.250,.294,.344,5,rf,,9-24-1948,
VS,BOS,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.242,.286,.333,9,ph,,9-25-1948,
VS,BOS,A,1,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,.229,.308,.314,5,rf,,9-26-1948,
AT,PHI,A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.229,.308,.314,7,pr,,9-28-1948,
AT,PHI,A,1,4,1,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,.231,.302,.385,6,lf,,9-29-1948,
AT,PHI,A,1,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.205,.271,.341,6,lf,,9-30-1948,
AT,BOS,A,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.191,.269,.319,6,lf,,10- 2-1948,
AT,BOS,A,1,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.180,.268,.300,6,"lf,rf",,10- 3-1948,
VS,WAS,A,1,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,5,lf,,4-19-1949,
VS,WAS,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.143,.143,.143,5,lf,,4-20-1949,
VS,WAS,A,1,3,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,.200,.273,.300,5,lf,,4-21-1949,
AT,BOS,A,1,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.167,.286,.250,7,lf,,4-22-1949,
AT,BOS,A,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.200,.294,.267,5,lf,,4-23-1949,
VS,PHI,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.188,.278,.250,7,"ph,cf",,4-26-1949,
AT,WAS,A,1,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.200,.273,.300,7,cf,,4-27-1949,
VS,BOS,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.167,.231,.250,3,cf,,5- 1-1949,
