at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,COL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,9,p,9- 5-2016,
AT,LA,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,6,p,9-21-2016,
AT,SD,N,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,9,p,9-25-2016,
VS,LA,N,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.500,.500,9,p,10- 1-2016,
AT,ARI,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,9,p,4- 2-2017,
AT,ARI,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,7,p,4- 6-2017,
VS,ARI,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,9,p,4-11-2017,
VS,COL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,8,p,4-13-2017,
VS,COL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,6,p,4-15-2017,
AT,KC,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,p,4-18-2017,
AT,COL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,9,p,4-21-2017,
VS,LA,N,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.500,1.000,9,p,4-25-2017,
VS,SD,N,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,.333,.250,.667,9,p,4-30-2017,
AT,CIN,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.200,.500,9,p,5- 6-2017,
VS,CIN,N,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.167,.143,.333,9,p,5-11-2017,
VS,LA,N,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.143,.125,.286,9,p,5-16-2017,
AT,CHI,N,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,.091,.083,.182,9,p,5-22-2017,
VS,ATL,N,1,3,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.214,.200,.286,9,p,5-27-2017,
AT,PHI,N,1,3,2,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,.176,.286,.235,9,p,6- 2-2017,
AT,MIL,N,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.167,.273,.222,9,p,6- 7-2017,
VS,KC,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.150,.250,.200,9,p,6-13-2017,
AT,COL,N,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.190,.280,.238,4,ph,6-15-2017,
AT,COL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.190,.280,.238,9,pr,6-16-2017,
AT,COL,N,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.174,.259,.217,9,p,6-18-2017,
VS,NY,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.174,.259,.217,9,p,6-23-2017,
VS,COL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.174,.259,.217,9,pr,6-27-2017,
VS,COL,N,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.276,.240,9,p,6-28-2017,
AT,DET,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.276,.240,0,p,7- 5-2017,
VS,CLE,A,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.185,.258,.222,9,p,7-18-2017,
VS,SD,N,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.172,.242,.207,9,p,7-23-2017,
AT,LA,N,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.161,.229,.194,9,p,7-29-2017,
VS,OAK,A,1,3,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,.176,.237,.294,9,p,8- 3-2017,
VS,CHI,N,1,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.194,.250,.306,9,p,8- 8-2017,
AT,MIA,N,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.189,.244,.297,9,p,8-14-2017,
VS,PHI,N,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.211,.279,.316,9,p,8-19-2017,
VS,MIL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.211,.279,.316,9,pr,8-22-2017,
AT,ARI,N,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.205,.273,.308,9,p,8-25-2017,
AT,SD,N,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.244,.304,.366,9,p,8-30-2017,
AT,COL,N,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.233,.292,.349,9,p,9- 5-2017,
VS,LA,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.227,.286,.341,9,p,9-11-2017,
AT,LA,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.227,.286,.341,9,p,9-24-2017,
VS,SD,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.227,.286,.341,9,p,10- 1-2017,
AT,LA,N,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000,.000,.000,9,p,3-29-2018,
VS,SEA,A,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.333,9,p,4- 3-2018,
VS,LA,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,9,p,4- 8-2018,
AT,SD,N,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.167,.167,9,p,4-13-2018,
AT,ARI,N,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.125,.125,.125,9,p,4-19-2018,
VS,WAS,N,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.100,.100,.100,9,p,4-24-2018,
VS,WAS,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.091,.091,.091,2,ph,4-25-2018,
VS,LA,N,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.077,.077,.077,9,p,4-29-2018,
VS,SD,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.071,.071,.071,9,ph,5- 2-2018,
AT,ATL,N,1,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,.059,.059,.059,9,p,5- 5-2018,
AT,PHI,N,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.053,.053,.053,9,p,5-10-2018,
VS,CIN,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.050,.050,.050,9,p,5-15-2018,
VS,COL,N,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.050,.050,.050,9,p,5-20-2018,
AT,CHI,N,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.050,.136,.050,9,p,5-27-2018,
AT,COL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.050,.136,.050,9,p,5-29-2018,
VS,ARI,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.050,.136,.050,2,p,6- 4-2018,
VS,ARI,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.050,.136,.050,9,p,6- 6-2018,
AT,WAS,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.048,.130,.048,7,p,6- 9-2018,
AT,MIA,N,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.043,.120,.043,7,p,6-14-2018,
VS,MIA,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.043,.120,.043,9,p,6-19-2018,
VS,MIA,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.043,.120,.043,9,p,6-20-2018,
VS,SD,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.043,.120,.043,9,p,6-22-2018,
VS,SD,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.043,.120,.043,9,p,6-24-2018,
VS,COL,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.042,.115,.042,9,p,6-28-2018,
AT,ARI,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.040,.111,.040,9,p,6-30-2018,
AT,COL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.040,.111,.040,9,p,7- 2-2018,
VS,STL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.040,.111,.040,9,p,7- 5-2018,
VS,STL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.040,.111,.040,8,p,7- 8-2018,
VS,CHI,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.040,.111,.040,9,p,7- 9-2018,
VS,CHI,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.040,.111,.040,9,p,7-11-2018,
VS,OAK,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.040,.111,.040,9,p,7-14-2018,
AT,OAK,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.040,.111,.040,0,p,7-22-2018,
VS,MIL,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.038,.107,.038,9,p,7-28-2018,
VS,MIL,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.037,.103,.037,1,ph,7-29-2018,
AT,ARI,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.037,.103,.037,9,p,8- 2-2018,
AT,ARI,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.037,.103,.037,9,p,8- 3-2018,
VS,PIT,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.036,.100,.036,9,p,8-11-2018,
AT,LA,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.036,.100,.036,9,p,8-15-2018,
AT,CIN,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.036,.100,.036,3,p,8-18-2018,
AT,CIN,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.034,.097,.034,9,p,8-19-2018,
VS,TEX,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.034,.097,.034,7,p,8-24-2018,
VS,ARI,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.034,.097,.034,9,p,8-29-2018,
VS,NY,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.034,.097,.034,6,p,8-31-2018,
VS,NY,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.034,.097,.034,9,p,9- 2-2018,
AT,COL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.034,.097,.034,9,p,9- 4-2018,
AT,MIL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.034,.097,.034,3,p,9- 8-2018,
VS,ATL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.034,.097,.034,9,p,9-11-2018,
AT,SD,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.034,.097,.034,9,p,9-19-2018,
VS,SD,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.034,.097,.034,9,p,9-24-2018,
VS,LA,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.034,.097,.034,9,p,9-29-2018,
VS,LA,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,.000,9,p,4-30-2019,
VS,NY,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,5,p,7-20-2019,
