at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,SD,N,1,3,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,.333,.500,.333,7,2b,4-29-1987,
VS,SD,N,1,3,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,.500,.625,.500,7,2b,4-30-1987,
VS,LA,N,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.333,.500,.333,8,2b,5- 1-1987,
VS,LA,N,1,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.385,.500,.462,7,2b,5- 2-1987,
VS,SF,N,1,4,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,.412,.500,.471,7,2b,5- 4-1987,
VS,SF,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.412,.524,.471,9,ph,5- 5-1987,
AT,SD,N,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.444,.545,.500,2,"pr,2b",5- 7-1987,
AT,LA,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.444,.545,.500,9,ph,5-10-1987,
AT,SF,N,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.474,.565,.632,7,ph,5-12-1987,
AT,SF,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.450,.542,.600,9,ph,5-13-1987,
AT,ATL,N,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,.450,.542,.600,8,ph,5-19-1987,
AT,ATL,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.429,.520,.571,9,ph,5-20-1987,
AT,HOU,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.409,.500,.545,5,"ph,2b",5-23-1987,
