at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,HOU,N,1,4,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.500,.500,.750,9,p,5-20-1990,
VS,HOU,N,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.667,.667,1.000,9,p,5-26-1990,1
VS,SF,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.444,.444,.667,9,p,5-30-1990,
AT,PIT,N,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.364,.364,.545,9,p,6- 4-1990,
VS,PHI,N,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.286,.286,.429,9,p,6- 9-1990,
AT,MON,N,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.250,.250,.375,9,p,6-19-1990,
VS,MON,N,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.278,.278,.389,9,p,6-25-1990,
AT,SD,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.263,.263,.368,9,p,6-30-1990,
AT,SF,N,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.286,.286,.381,9,p,7- 6-1990,
VS,LA,N,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.261,.261,.348,9,p,7-13-1990,
VS,SD,N,1,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,.269,.269,.385,9,p,7-17-1990,
VS,SF,N,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.276,.276,.379,9,p,7-22-1990,
AT,MON,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.344,9,p,7-26-1990,
VS,PIT,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.242,.242,.333,9,p,7-31-1990,
VS,MON,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.222,.306,9,p,8- 4-1990,
VS,PIT,N,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,.000,9,p,4-12-1991,
VS,PHI,N,1,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.000,.200,.000,9,p,4-17-1991,
AT,STL,N,1,3,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,.143,.250,.429,9,p,4-22-1991,
AT,CIN,N,1,2,1,1,0,0,1,2,1,0,1,0,1,0,0,1,0,0,0,.222,.364,.778,9,p,4-27-1991,
AT,ATL,N,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.182,.308,.636,9,p,5- 3-1991,
AT,HOU,N,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.154,.267,.538,9,p,5- 8-1991,
VS,ATL,N,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.294,.533,9,p,5-13-1991,
AT,PHI,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.167,.250,.444,9,p,5-18-1991,
AT,NY,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.250,.444,9,pr,5-21-1991,
AT,NY,N,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.150,.227,.400,9,p,5-23-1991,
VS,NY,N,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.150,.227,.400,9,p,5-28-1991,
AT,MON,N,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.182,.250,.409,9,p,6- 2-1991,
VS,LA,N,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.167,.231,.375,9,p,6- 7-1991,
VS,SF,N,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.154,.241,.346,9,p,6-12-1991,
AT,SD,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.148,.233,.333,9,ph,6-14-1991,
AT,LA,N,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.172,.250,.345,9,p,6-17-1991,
AT,SF,N,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.194,.265,.355,9,p,6-22-1991,
VS,STL,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.219,.286,.375,9,p,6-28-1991,
VS,PIT,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.212,.278,.364,9,p,7- 2-1991,
VS,NY,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.212,.278,.364,1,p,8-11-1991,
VS,PHI,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.212,.278,.364,9,p,8-17-1991,
VS,PHI,N,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.200,.263,.343,9,p,8-18-1991,
VS,SD,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.263,.343,9,p,8-24-1991,
VS,SD,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.263,.343,9,p,8-25-1991,
AT,LA,N,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.189,.250,.324,9,p,9- 1-1991,
VS,PIT,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.189,.250,.324,9,p,9- 9-1991,
VS,MON,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.189,.250,.324,9,p,9-14-1991,
VS,PHI,N,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.189,.250,.324,9,p,9-25-1991,
AT,PHI,N,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.179,.238,.308,9,p,9-30-1991,
VS,STL,N,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.171,.227,.293,9,p,10- 5-1991,2
VS,STL,N,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9,p,4-11-1992,
AT,STL,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9,p,4-18-1992,
VS,PHI,N,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000,.000,.000,9,p,4-22-1992,
AT,ATL,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9,p,4-27-1992,
AT,CIN,N,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.000,.000,.000,9,p,5- 3-1992,
VS,CIN,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,.000,9,p,5- 8-1992,
AT,HOU,N,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,.000,.000,9,p,5-13-1992,
AT,LA,N,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.067,.067,.067,9,p,5-19-1992,
VS,LA,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.063,.063,.063,9,p,5-30-1992,
VS,SD,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.063,.063,.063,9,p,6- 2-1992,
AT,STL,N,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.118,.118,.118,9,p,6- 8-1992,1
VS,STL,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.118,.118,.118,9,p,6-16-1992,
AT,NY,N,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.105,.105,.105,9,p,6-22-1992,
AT,ATL,N,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.095,.095,.095,9,p,7- 3-1992,
VS,CIN,N,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.087,.087,.087,9,p,7- 8-1992,
AT,PIT,N,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.083,.083,.083,9,p,7-16-1992,
VS,LA,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.083,.083,.083,9,p,9- 1-1992,
VS,SD,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.083,.083,.083,7,p,9- 4-1992,
AT,PIT,N,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.083,.120,.083,9,p,9- 8-1992,
VS,NY,N,1,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.154,.185,.192,9,p,9-15-1992,
VS,STL,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.154,.185,.192,9,p,9-20-1992,
AT,MON,N,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.185,.241,.222,9,p,9-26-1992,
VS,MON,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.185,.241,.222,9,p,10- 3-1992,
VS,ATL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,9,p,4- 7-1993,
VS,STL,N,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9,p,6-18-1993,
AT,PIT,N,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,9,p,6-23-1993,
AT,COL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,9,p,7- 5-1993,
VS,CIN,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,9,p,7- 7-1993,
VS,CIN,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,9,p,7- 8-1993,
VS,HOU,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,9,p,7-10-1993,1
VS,HOU,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,7,p,7-11-1993,
VS,COL,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.200,.200,.200,9,p,7-18-1993,
AT,CIN,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.167,.167,.167,9,p,7-20-1993,
AT,HOU,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.167,.167,9,p,7-22-1993,
AT,HOU,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.167,.167,9,p,7-25-1993,
VS,SD,N,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.286,.286,8,p,7-26-1993,
VS,SD,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.250,.250,.250,9,p,7-28-1993,
VS,LA,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,9,p,7-30-1993,
VS,LA,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,9,p,7-31-1993,
VS,LA,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.222,.222,9,p,8- 1-1993,
VS,PIT,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.222,.222,9,p,8- 4-1993,
VS,PIT,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.222,.222,9,p,8- 5-1993,
AT,STL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.222,.222,9,p,8- 7-1993,
AT,FLA,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.222,.222,8,p,8-10-1993,
VS,SF,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.222,.222,9,p,8-13-1993,
VS,SF,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.222,.222,7,p,8-15-1993,
VS,MON,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.200,.200,.200,9,p,8-19-1993,
VS,ATL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,9,p,8-21-1993,
AT,MON,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,9,p,8-24-1993,
AT,ATL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,9,p,8-27-1993,
AT,ATL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,9,p,8-29-1993,
VS,PHI,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.273,.273,9,p,8-30-1993,
VS,NY,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.273,.273,8,p,9- 4-1993,
AT,PHI,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.273,.273,9,p,9- 7-1993,
AT,PHI,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.273,.273,9,p,9- 9-1993,
AT,NY,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.273,.273,9,p,9-10-1993,
AT,NY,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.273,.273,9,p,9-12-1993,
VS,FLA,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.273,.273,9,p,9-19-1993,
VS,STL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.273,.273,7,p,9-22-1993,
AT,LA,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.273,.273,9,p,9-27-1993,
AT,SD,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.273,.273,5,p,10- 1-1993,
AT,SD,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.273,.273,9,p,10- 3-1993,
VS,CIN,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9,p,4-17-1994,
AT,SD,N,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9,p,4-22-1994,
