at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,DET,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,2,2b,,4-11-1928,
AT,DET,A,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.000,.111,.000,2,2b,,4-12-1928,
AT,DET,A,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.000,.133,.000,2,2b,,4-13-1928,
AT,CHI,A,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.000,.150,.000,2,2b,,4-15-1928,
AT,CHI,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.125,.000,2,2b,,4-16-1928,
AT,CHI,A,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.077,.172,.077,2,2b,,4-17-1928,
VS,DET,A,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.103,.212,.103,2,2b,,4-18-1928,
VS,DET,A,1,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.091,.211,.091,2,2b,,4-19-1928,
VS,DET,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.086,.200,.086,7,2b,,4-20-1928,
VS,DET,A,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,.079,.205,.079,7,2b,,4-21-1928,
VS,CLE,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.075,.196,.075,7,2b,,4-22-1928,
VS,CLE,A,1,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,.116,.224,.116,7,2b,,4-23-1928,
VS,CLE,A,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.149,.245,.149,7,2b,,4-24-1928,
VS,CLE,A,1,3,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,.160,.263,.160,7,2b,,4-25-1928,
VS,CHI,A,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.170,.279,.170,7,2b,,4-26-1928,
VS,CHI,A,1,5,1,3,1,0,0,3,0,0,0,0,0,0,0,0,1,0,.207,.303,.224,7,2b,,4-27-1928,
VS,CHI,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.194,.286,.210,7,2b,,4-28-1928,
VS,CHI,A,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.197,.284,.212,7,2b,,4-29-1928,
AT,CLE,A,1,2,1,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,.191,.295,.206,7,2b,,4-30-1928,
AT,CLE,A,1,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.222,.317,.236,7,2b,Date,5- 1-1928,
AT,CLE,A,1,3,1,1,0,1,0,2,0,0,0,0,1,0,1,0,0,0,.227,.318,.267,7,2b,,5- 2-1928,
AT,WAS,A,1,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.228,.315,.278,7,2b,,5- 4-1928,
AT,WAS,A,1,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.229,.312,.289,7,2b,,5- 5-1928,
AT,WAS,A,1,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.218,.306,.276,7,2b,,5- 6-1928,
AT,WAS,A,1,5,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,.228,.311,.304,7,2b,,5- 7-1928,
AT,PHI,A,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.221,.302,.295,7,2b,,5- 8-1928,
AT,PHI,A,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.224,.303,.296,7,2b,,5-10-1928,
AT,PHI,A,1,3,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,.238,.319,.307,7,2b,,5-11-1928,
AT,BOS,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.238,.316,.305,7,2b,,5-12-1928,
AT,BOS,A,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.234,.322,.299,7,2b,,5-14-1928,
AT,BOS,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.225,.312,.288,2,2b,,5-15-1928,
AT,NY,A,1,4,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,.226,.310,.313,2,2b,,5-17-1928,
AT,NY,A,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.225,.306,.308,2,2b,,5-20-1928,
AT,DET,A,1,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.228,.312,.309,6,2b,,5-22-1928,
AT,DET,A,1,4,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.236,.322,.315,2,2b,,5-23-1928,
AT,CLE,A,1,3,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,.231,.329,.308,2,2b,,5-24-1928,
AT,CLE,A,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.231,.327,.313,2,2b,,5-25-1928,
AT,CLE,A,1,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.225,.323,.304,2,2b,,5-26-1928,
AT,CLE,A,1,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,.231,.325,.322,2,2b,,5-27-1928,
VS,CHI,A,1,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.234,.331,.324,2,2b,Date,5-28-1928,
VS,CHI,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.228,.324,.315,2,2b,,5-30-1928,1
VS,CHI,A,1,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.229,.322,.314,2,2b,,5-30-1928,2
VS,CHI,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.229,.320,.312,2,2b,,5-31-1928,1
VS,CHI,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.224,.313,.304,2,2b,,5-31-1928,2
VS,WAS,A,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,.221,.314,.301,2,2b,,6- 2-1928,
VS,WAS,A,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.228,.317,.305,2,2b,,6- 5-1928,
VS,PHI,A,1,4,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.234,.321,.327,2,2b,,6- 6-1928,
VS,PHI,A,1,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.234,.320,.343,2,2b,,6- 7-1928,
VS,PHI,A,1,5,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.244,.327,.367,2,2b,,6- 8-1928,
VS,PHI,A,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,.242,.327,.363,2,2b,,6- 9-1928,
VS,BOS,A,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.235,.319,.353,2,2b,,6-10-1928,
VS,BOS,A,1,3,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,.247,.332,.374,2,2b,,6-11-1928,
VS,BOS,A,1,5,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.251,.333,.390,2,2b,,6-12-1928,
VS,BOS,A,1,4,2,2,0,0,2,3,1,0,0,0,0,0,0,0,0,0,.256,.339,.422,2,2b,,6-13-1928,
VS,NY,A,1,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.251,.336,.414,2,2b,,6-14-1928,
VS,NY,A,1,3,1,2,1,0,1,4,1,0,1,0,0,0,0,0,0,0,.257,.343,.437,2,2b,,6-15-1928,
VS,NY,A,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.254,.339,.431,2,2b,,6-16-1928,
VS,NY,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.254,.338,.427,2,2b,,6-17-1928,
VS,DET,A,1,5,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,.252,.335,.427,2,2b,,6-21-1928,1
VS,DET,A,1,2,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,.250,.335,.423,2,2b,Date,6-21-1928,2
VS,DET,A,1,5,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.249,.332,.431,2,2b,,6-22-1928,1
VS,DET,A,1,4,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.253,.337,.437,2,2b,,6-22-1928,2
AT,DET,A,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,.250,.336,.431,2,2b,,6-30-1928,1
AT,CHI,A,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.247,.332,.426,2,2b,,7- 2-1928,1
AT,CHI,A,1,6,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.249,.332,.423,2,2b,,7- 2-1928,2
