at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,MIL,N,1,4,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,.250,.250,.250,2,ss,6-14-1956,
VS,CIN,N,1,3,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,.286,.444,.286,8,ss,6-15-1956,
VS,CIN,N,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.385,.273,8,ss,6-16-1956,
VS,CIN,N,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.313,.389,.313,2,ss,6-17-1956,1
VS,CIN,N,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.316,.409,.316,2,ss,6-17-1956,2
VS,CHI,N,1,2,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,.333,.440,.333,1,ss,6-19-1956,
VS,CHI,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.280,.379,.280,8,ss,6-20-1956,
VS,MIL,N,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.259,.375,.259,1,ss,6-22-1956,
VS,MIL,N,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.267,.371,.267,8,ss,6-23-1956,
VS,MIL,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.235,.333,.235,1,ss,6-24-1956,1
VS,MIL,N,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.211,.318,.211,1,ss,6-24-1956,2
VS,STL,N,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.244,.340,.244,8,ss,6-26-1956,
VS,STL,N,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.227,.333,.227,1,ss,6-27-1956,
VS,BRO,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.213,.315,.213,8,ss,6-28-1956,
AT,PIT,N,1,3,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,.220,.328,.240,8,ss,6-29-1956,
AT,PIT,N,1,3,1,2,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,.245,.355,.302,1,ss,6-30-1956,
AT,PIT,N,1,5,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.241,.343,.293,1,ss,7- 1-1956,1
AT,PIT,N,1,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.254,.347,.302,1,ss,7- 1-1956,2
AT,BRO,N,1,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.254,.342,.299,8,ss,7- 2-1956,
VS,BRO,N,1,4,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,.254,.338,.296,1,ss,7- 4-1956,1
VS,BRO,N,1,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,.240,.329,.280,1,ss,7- 4-1956,2
VS,PIT,N,1,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.253,.337,.316,1,ss,7- 7-1956,
VS,PIT,N,1,4,2,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.265,.351,.337,1,ss,7- 8-1956,1
VS,PIT,N,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.256,.340,.326,1,ss,7- 8-1956,2
AT,STL,N,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.253,.333,.319,1,ss,7-12-1956,
AT,STL,N,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.242,.321,.305,1,ss,7-13-1956,
AT,STL,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.242,.318,.303,1,ss,7-14-1956,
AT,CIN,N,1,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,.240,.313,.298,1,ss,7-15-1956,1
AT,CIN,N,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.243,.314,.308,8,ss,7-15-1956,2
AT,CIN,N,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.243,.311,.306,8,ss,7-16-1956,
AT,MIL,N,1,5,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250,.315,.310,1,ss,7-17-1956,
AT,MIL,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.244,.308,.303,1,ss,7-18-1956,
AT,MIL,N,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.242,.304,.298,1,ss,7-19-1956,
AT,CHI,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.242,.304,.298,7,ss,7-20-1956,
VS,MIL,N,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.242,.302,.297,8,ss,7-24-1956,
VS,MIL,N,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.235,.294,.288,8,ss,7-25-1956,
VS,MIL,N,1,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.252,.308,.311,8,ss,7-26-1956,
VS,STL,N,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.246,.307,.304,8,ss,7-27-1956,
VS,STL,N,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.243,.303,.300,8,ss,7-28-1956,
VS,STL,N,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.239,.299,.296,8,ss,7-29-1956,
VS,CHI,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.238,.297,.294,9,"ph,ss",8- 3-1956,2
VS,CHI,N,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.241,.299,.297,7,ss,8- 4-1956,
VS,PHI,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.235,.292,.289,8,ss,8- 7-1956,1
