at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,BOS,A,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,7,2b,4-18-1972,
VS,BAL,A,1,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.667,.667,.667,2,2b,4-22-1972,
AT,CHI,A,1,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.500,.500,.500,2,2b,4-26-1972,
AT,KC,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.455,.455,.455,7,ph,4-28-1972,
AT,KC,A,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.429,.429,.429,2,"2b,3b",4-29-1972,
AT,KC,A,1,7,0,2,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,.381,.364,.429,2,2b,4-30-1972,
AT,TEX,A,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.360,.346,.400,2,2b,5- 2-1972,
AT,TEX,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.310,.300,.345,2,2b,5- 3-1972,
VS,CHI,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.273,.265,.303,2,2b,5- 5-1972,
VS,CHI,A,1,4,2,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,.324,.316,.351,2,2b,5- 6-1972,
VS,CHI,A,1,4,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.341,.333,.390,2,2b,5- 7-1972,
VS,KC,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.326,.378,2,2b,5- 9-1972,
VS,KC,A,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.347,.340,.388,2,2b,5-10-1972,
VS,TEX,A,1,4,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,.340,.333,.415,2,2b,5-12-1972,
VS,TEX,A,1,3,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,.339,.328,.411,2,2b,5-13-1972,
VS,TEX,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.322,.311,.390,8,2b,5-14-1972,
VS,NY,A,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.306,.297,.371,8,2b,5-16-1972,
VS,NY,A,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.292,.294,.354,8,2b,5-17-1972,
AT,DET,A,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.284,.296,.343,8,2b,5-20-1972,
AT,NY,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.268,.280,.324,8,2b,5-23-1972,
AT,BAL,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.264,.276,.319,9,ph,5-26-1972,
AT,BAL,A,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.276,.288,.329,2,2b,5-28-1972,
AT,BAL,A,1,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.288,.298,.338,2,2b,5-29-1972,
VS,DET,A,1,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.298,.307,.357,2,2b,5-31-1972,
VS,DET,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.287,.297,.345,2,2b,6- 1-1972,
VS,CAL,A,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.275,.292,.330,2,2b,6- 2-1972,
VS,CAL,A,1,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.274,.297,.326,2,2b,6- 3-1972,
VS,CAL,A,1,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.270,.292,.320,2,2b,6- 4-1972,
VS,OAK,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.269,.291,.317,2,2b,6- 5-1972,
VS,OAK,A,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.259,.281,.306,8,2b,6- 6-1972,
VS,OAK,A,1,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.268,.288,.313,8,2b,6- 7-1972,
VS,MIN,A,1,3,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,.278,.298,.374,2,2b,6- 9-1972,
VS,MIN,A,1,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.277,.296,.378,2,2b,6-10-1972,
VS,MIN,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.268,.287,.366,2,2b,6-11-1972,
AT,CAL,A,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,.266,.284,.359,2,2b,6-13-1972,
AT,CAL,A,1,5,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.271,.288,.361,2,2b,6-14-1972,
AT,CAL,A,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.277,.294,.365,2,2b,6-15-1972,
AT,OAK,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.277,.293,.362,2,2b,6-16-1972,
AT,OAK,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.276,.291,.359,2,2b,6-17-1972,
AT,OAK,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.275,.290,.356,6,2b,6-18-1972,
AT,MIN,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.275,.289,.353,2,2b,6-20-1972,1
AT,MIN,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.268,.282,.344,5,2b,6-20-1972,2
AT,MIN,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.261,.275,.335,5,2b,6-21-1972,
VS,NY,A,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.255,.269,.327,2,2b,6-23-1972,
VS,NY,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.249,.263,.320,2,2b,6-25-1972,1
VS,NY,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.249,.263,.318,2,2b,6-25-1972,2
VS,BOS,A,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.249,.262,.322,2,2b,6-26-1972,
VS,BOS,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.243,.257,.315,2,2b,6-27-1972,
AT,MIL,A,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.243,.257,.324,2,2b,6-28-1972,1
AT,MIL,A,1,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.254,.267,.339,2,2b,6-28-1972,2
AT,MIL,A,1,3,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.260,.276,.344,2,2b,6-29-1972,
AT,NY,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.260,.276,.342,2,2b,6-30-1972,
AT,NY,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.260,.275,.340,2,2b,7- 1-1972,
AT,NY,A,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.265,.280,.343,2,2b,7- 2-1972,1
AT,NY,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.264,.279,.341,2,2b,7- 2-1972,2
