at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,CHI,N,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,3,3b,9- 4-1988,
VS,LA,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9,ph,9-18-1988,
VS,SD,N,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,2,"ph,3b",9-19-1988,
AT,ATL,N,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,8,3b,9-23-1988,
AT,ATL,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.125,.125,.125,2,"ph,3b",9-25-1988,
AT,SF,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.111,.111,.111,1,3b,9-26-1988,
AT,SF,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.100,.100,.100,9,ph,9-27-1988,
AT,SF,N,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,.154,.214,.154,7,3b,9-28-1988,
VS,ATL,N,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.200,.250,.267,6,3b,10- 1-1988,
VS,ATL,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.188,.235,.250,8,"pr,3b",10- 2-1988,
VS,ATL,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,.000,9,ph,6-28-1989,
VS,NY,N,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.250,.250,.250,3,"ph,3b",7- 1-1989,
VS,NY,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,9,ph,7- 2-1989,
AT,PHI,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.333,9,3b,7- 5-1989,
AT,NY,N,1,3,0,1,1,0,0,3,1,0,0,0,0,1,0,0,0,0,0,.333,.364,.444,7,3b,7- 6-1989,
AT,NY,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.286,.333,7,3b,7- 7-1989,
AT,NY,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.286,.333,9,pr,7- 9-1989,
VS,MON,N,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.200,.278,.267,8,3b,7-13-1989,
VS,MON,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.278,.267,8,3b,7-14-1989,
VS,MON,N,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.167,.273,.222,7,3b,7-15-1989,
VS,PHI,N,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.182,.269,.227,7,3b,7-18-1989,
VS,PHI,N,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.200,.276,.240,8,3b,7-19-1989,
AT,MON,N,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.172,.242,.207,8,3b,7-20-1989,
AT,ATL,N,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.167,.235,.200,7,"pr,3b",9-23-1989,
AT,SD,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.167,.257,.200,9,ph,9-26-1989,
AT,SD,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.257,.200,5,pr,9-27-1989,
AT,DET,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,6,"pr,dh",4-13-1990,
VS,OAK,A,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.500,.500,9,"ph,2b",4-24-1990,
VS,SEA,A,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,.200,.200,.200,9,dh,4-28-1990,
VS,CAL,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.125,.125,.125,9,dh,5- 1-1990,
VS,TEX,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.111,.111,.111,5,"ph,dh",5-18-1990,
VS,MIN,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.111,.111,.111,4,2b,5-22-1990,
VS,CHI,A,1,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,.083,.154,.083,9,3b,5-24-1990,
AT,TEX,A,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.154,.214,.154,3,3b,5-25-1990,
AT,MIN,A,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.200,.250,.200,3,2b,5-30-1990,
