at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,SEA,A,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,.250,.250,.250,7,lf,4- 9-1981,
AT,SEA,A,1,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.143,.250,.143,7,lf,4-10-1981,
AT,SEA,A,1,3,2,2,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,.300,.417,.900,7,lf,4-11-1981,
AT,SEA,A,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.231,.375,.692,7,lf,4-12-1981,
VS,OAK,A,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,.200,.400,.600,7,lf,4-13-1981,
VS,OAK,A,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,.188,.458,.563,7,lf,4-14-1981,
VS,OAK,A,1,4,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.200,.429,.500,7,lf,4-15-1981,
VS,OAK,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.174,.387,.435,7,lf,4-16-1981,
VS,MIN,A,1,3,1,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,.192,.382,.538,7,lf,4-17-1981,
VS,MIN,A,1,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,.167,.342,.467,7,lf,4-18-1981,
VS,SEA,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.152,.317,.424,7,lf,4-21-1981,
AT,DET,A,1,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.333,.500,.667,4,rf,5-13-1982,
AT,DET,A,1,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.250,.333,.375,4,rf,5-14-1982,
AT,DET,A,1,5,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,.231,.286,.538,4,rf,5-15-1982,
AT,DET,A,1,3,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,.250,.333,.688,4,lf,5-16-1982,
AT,BAL,A,1,5,1,2,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,.286,.348,.762,4,lf,5-18-1982,
AT,BAL,A,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,.273,.370,.727,4,lf,5-19-1982,
AT,BAL,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.231,.323,.615,4,cf,5-20-1982,
AT,NY,A,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.300,.371,.633,4,cf,5-21-1982,
AT,NY,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.294,.359,.588,4,cf,5-22-1982,
AT,NY,A,1,3,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,.297,.372,.649,4,cf,5-23-1982,
VS,CLE,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.268,.340,.585,4,cf,5-24-1982,
VS,CLE,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.244,.314,.533,5,cf,5-25-1982,
VS,CLE,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.245,.309,.510,3,cf,5-26-1982,
VS,NY,A,1,4,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,.283,.339,.642,3,"rf,cf",5-28-1982,
VS,NY,A,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.281,.333,.614,3,cf,5-29-1982,
VS,NY,A,1,4,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,.279,.338,.607,3,"cf,rf",5-30-1982,
AT,CLE,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.262,.319,.569,3,"rf,cf",5-31-1982,
AT,CLE,A,1,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.250,.316,.544,3,cf,6- 1-1982,
AT,CLE,A,1,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,.264,.325,.542,3,cf,6- 2-1982,
VS,BAL,A,1,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.253,.321,.520,3,cf,6- 4-1982,
VS,BAL,A,1,4,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,.253,.318,.532,3,cf,6- 5-1982,
VS,BAL,A,1,3,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,.244,.330,.512,3,"rf,cf",6- 6-1982,
VS,KC,A,1,5,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,.241,.323,.529,3,"rf,cf",6- 7-1982,
VS,KC,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.231,.311,.505,3,cf,6- 8-1982,
VS,KC,A,1,3,1,2,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,.245,.333,.521,3,cf,6- 9-1982,
VS,KC,A,1,3,2,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,.247,.339,.526,3,"rf,cf",6-10-1982,
AT,TEX,A,1,3,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,.260,.353,.560,3,cf,6-12-1982,
AT,TEX,A,1,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.272,.367,.563,3,cf,6-13-1982,
AT,KC,A,1,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.271,.363,.561,3,cf,6-14-1982,
AT,KC,A,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,.266,.367,.550,3,cf,6-15-1982,
AT,KC,A,1,4,2,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,.274,.371,.575,3,cf,6-16-1982,
VS,TEX,A,1,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.274,.372,.564,3,rf,6-18-1982,
VS,TEX,A,1,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.273,.369,.554,4,cf,6-19-1982,
VS,TEX,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.272,.366,.544,3,rf,6-20-1982,
AT,CHI,A,1,3,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,.273,.369,.563,3,rf,6-21-1982,
AT,CHI,A,1,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.275,.377,.557,3,rf,6-22-1982,
AT,CHI,A,1,3,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,.276,.384,.552,3,rf,6-23-1982,
AT,TOR,A,1,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.279,.393,.551,3,rf,6-26-1982,
AT,TOR,A,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.279,.389,.550,3,rf,6-27-1982,
VS,CHI,A,1,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.289,.400,.563,3,rf,6-28-1982,
VS,CHI,A,1,5,0,3,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,.299,.406,.565,3,rf,6-29-1982,
VS,CHI,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.291,.397,.550,3,rf,6-30-1982,
VS,CHI,A,1,3,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,.292,.402,.545,3,rf,7- 1-1982,
VS,TOR,A,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,.287,.402,.535,3,rf,7- 2-1982,
