at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,NY,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,7,c,9-16-1974,2
VS,NY,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,9,ph,9-18-1974,1
VS,NY,N,1,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,.286,.375,.286,8,c,9-18-1974,2
VS,PHI,N,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.400,.333,5,c,9-20-1974,
VS,PHI,N,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.385,.429,.385,7,c,9-22-1974,2
AT,CHI,N,1,4,2,2,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,.412,.421,.529,8,c,9-24-1974,2
AT,CHI,N,1,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,.429,.435,.524,7,c,9-25-1974,1
AT,CHI,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.375,.385,.458,6,rf,9-25-1974,2
VS,PHI,N,1,3,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,.407,.414,.593,6,rf,9-28-1974,
AT,STL,N,1,4,1,3,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,.750,.800,1.500,6,rf,4- 7-1975,
AT,STL,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.429,.500,.857,6,rf,4- 9-1975,
AT,STL,N,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.400,.455,.700,7,rf,4-10-1975,
AT,CHI,N,1,3,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.385,.467,.692,6,rf,4-11-1975,
AT,CHI,N,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.375,.474,.625,4,rf,4-12-1975,
AT,CHI,N,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.300,.391,.500,4,rf,4-13-1975,
AT,PIT,N,1,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.250,.357,.417,3,rf,4-16-1975,
AT,PIT,N,1,5,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.276,.364,.448,4,rf,4-17-1975,
VS,PHI,N,1,3,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,.313,.378,.469,4,rf,4-18-1975,
VS,PHI,N,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.294,.359,.441,4,rf,4-19-1975,
VS,NY,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.350,.429,9,ph,4-25-1975,
VS,NY,N,1,5,2,2,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,.300,.356,.500,3,rf,4-27-1975,
AT,PHI,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.279,.333,.465,5,rf,4-29-1975,
AT,PHI,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.255,.308,.426,3,rf,4-30-1975,
AT,NY,N,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,.240,.304,.400,3,rf,5- 2-1975,
AT,NY,N,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.245,.317,.396,6,rf,5- 3-1975,
VS,CHI,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.232,.302,.375,6,rf,5- 5-1975,
VS,CHI,N,1,2,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,.224,.303,.362,6,rf,5- 6-1975,
VS,CHI,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.213,.290,.344,6,rf,5- 7-1975,
VS,HOU,N,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.215,.288,.354,3,rf,5- 9-1975,
VS,HOU,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.215,.288,.354,8,c,5-10-1975,
VS,ATL,N,1,5,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,.214,.282,.386,8,c,5-12-1975,
VS,ATL,N,1,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.230,.301,.392,8,c,5-13-1975,
VS,ATL,N,1,3,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,.247,.314,.455,7,rf,5-14-1975,
VS,ATL,N,1,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.250,.322,.450,7,rf,5-15-1975,
VS,CIN,N,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.244,.323,.439,8,c,5-16-1975,
VS,CIN,N,1,4,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,.244,.327,.442,3,rf,5-17-1975,
VS,CIN,N,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.247,.327,.438,7,c,5-18-1975,
AT,ATL,N,1,4,1,2,0,0,1,2,1,0,1,0,0,0,0,1,0,0,0,.258,.340,.473,6,rf,5-20-1975,
AT,ATL,N,1,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,.260,.345,.500,7,rf,5-21-1975,
AT,HOU,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,.260,.342,.490,3,c,5-23-1975,
AT,HOU,N,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,.252,.331,.476,6,c,5-24-1975,
AT,HOU,N,1,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.252,.328,.467,6,"c,rf",5-25-1975,
AT,CIN,N,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.243,.317,.450,7,c,5-26-1975,1
AT,CIN,N,1,5,0,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,.259,.328,.457,3,rf,5-26-1975,2
AT,CIN,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.252,.321,.445,5,rf,5-28-1975,
VS,SF,N,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.254,.321,.443,7,c,5-31-1975,
