at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,CIN,N,1,5,1,2,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,.400,.400,1.400,8,ss,5- 7-2010,
AT,CIN,N,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.333,1.000,8,ss,5- 8-2010,
AT,CIN,N,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.333,.333,.833,7,ss,5- 9-2010,
VS,FLA,N,1,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,.286,.375,.714,8,ss,5-10-2010,
VS,FLA,N,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.400,.667,8,ss,5-11-2010,
VS,FLA,N,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.364,.417,.636,2,ss,5-12-2010,
VS,PIT,N,1,2,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,.375,.464,.625,8,ss,5-14-2010,
VS,PIT,N,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.370,.469,.593,8,ss,5-15-2010,
VS,PIT,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.323,.417,.516,2,ss,5-16-2010,
VS,COL,N,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.361,.439,.528,2,ss,5-17-2010,
VS,COL,N,1,4,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,.350,.422,.500,8,ss,5-18-2010,
AT,PHI,N,1,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.364,.429,.500,2,ss,5-19-2010,
AT,PHI,N,1,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.375,.434,.500,7,ss,5-20-2010,
AT,TEX,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.365,.421,.481,9,ss,5-21-2010,
AT,TEX,A,1,4,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,.357,.419,.518,2,ss,5-22-2010,
AT,TEX,A,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.350,.409,.500,2,ss,5-23-2010,
VS,LA,N,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.328,.386,.469,2,ss,5-25-2010,
VS,LA,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.309,.365,.441,7,ss,5-26-2010,
VS,LA,N,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.292,.346,.417,2,ss,5-27-2010,
VS,STL,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.289,.341,.408,8,ss,5-28-2010,
VS,STL,N,1,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.300,.349,.413,7,ss,5-29-2010,
VS,STL,N,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.313,.360,.422,8,ss,5-30-2010,
