at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,CHI,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,6,ss,,4-12-1922,
VS,CHI,N,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.125,.125,.125,6,ss,,4-13-1922,
VS,CHI,N,1,2,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,.100,.250,.100,6,ss,,4-15-1922,
VS,PIT,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.077,.200,.077,6,ss,,4-16-1922,
VS,PIT,N,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.063,.167,.063,6,ss,,4-17-1922,
VS,PIT,N,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.150,.227,.150,6,ss,,4-18-1922,
AT,CHI,N,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.130,.231,.130,6,ss,,4-20-1922,
VS,STL,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.115,.207,.115,6,ss,,4-26-1922,
AT,PIT,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.100,.182,.100,6,ss,,4-27-1922,
AT,PIT,N,1,3,0,2,0,1,0,2,0,0,0,0,1,0,0,0,0,0,.152,.222,.212,6,ss,,4-28-1922,
AT,PIT,N,1,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,.171,.275,.229,6,ss,,4-29-1922,
VS,PIT,N,1,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.211,.302,.263,6,ss,,4-30-1922,
VS,PIT,N,1,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.244,.340,.293,6,ss,,5- 1-1922,
VS,PIT,N,1,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.222,.314,.267,6,ss,,5- 2-1922,
AT,STL,N,1,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.240,.321,.280,6,ss,,5- 3-1922,
AT,STL,N,1,3,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,.226,.328,.264,6,ss,,5- 4-1922,
AT,STL,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.214,.313,.250,6,ss,,5- 5-1922,
AT,STL,N,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.203,.299,.237,7,ss,,5- 6-1922,
AT,STL,N,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.194,.296,.226,7,ss,,5- 7-1922,
VS,BOS,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.185,.284,.215,7,ss,Date,5- 9-1922,
