at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,CLE,A,1,4,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.500,.500,.750,3,cf,,4-25-1919,
VS,CLE,A,1,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.500,.750,3,cf,,4-26-1919,
VS,CHI,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.500,3,cf,,4-27-1919,
VS,CHI,A,1,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.375,.375,.563,3,cf,,4-29-1919,
VS,CHI,A,1,5,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.429,.429,.571,3,cf,,4-30-1919,
AT,CLE,A,1,5,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.423,.423,.538,3,cf,,5- 1-1919,
AT,CLE,A,1,4,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.433,.452,.533,3,cf,,5- 2-1919,
AT,CLE,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.382,.400,.471,3,cf,,5- 3-1919,
AT,CLE,A,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.368,.385,.474,3,cf,,5- 4-1919,
AT,CHI,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.333,.349,.429,3,cf,,5- 6-1919,
AT,CHI,A,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.311,.340,.400,3,cf,,5- 7-1919,
AT,STL,A,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.306,.333,.388,3,cf,,5-10-1919,
AT,STL,A,1,5,2,3,0,1,0,1,0,0,0,0,0,0,1,0,1,1,.333,.357,.444,3,cf,,5-11-1919,
VS,CLE,A,1,4,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,.345,.377,.483,3,cf,,5-12-1919,
VS,CLE,A,1,5,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.365,.394,.492,3,cf,,5-13-1919,
VS,NY,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.343,.371,.463,3,cf,,5-14-1919,
