at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,BOS,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.250,.250,9,p,,5-21-1937,
AT,NY,A,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.200,.200,.200,9,p,,5-26-1937,
VS,STL,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,9,p,,5-29-1937,
AT,CLE,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,9,p,,5-31-1937,1
VS,WAS,A,0,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.143,.333,.143,9,p,,6- 2-1937,
AT,PHI,A,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.222,.364,.222,9,p,,6-19-1937,
AT,BOS,A,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.286,.167,9,p,,6-24-1937,
AT,CLE,A,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.143,.294,.143,9,p,,7- 3-1937,
VS,CLE,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.143,.294,.143,9,p,,7-10-1937,2
VS,NY,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.143,.294,.143,9,p,,7-14-1937,
VS,BOS,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.143,.294,.143,9,p,,7-20-1937,
VS,PHI,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.143,.294,.143,9,p,,7-23-1937,1
AT,BOS,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.133,.278,.133,9,p,,7-30-1937,
AT,PHI,A,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.118,.250,.118,9,p,,8- 4-1937,
VS,CHI,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.118,.250,.118,9,p,,8-10-1937,
VS,STL,A,1,3,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.200,.304,.250,9,p,,8-15-1937,
AT,CHI,A,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.174,.269,.217,9,p,,8-17-1937,
AT,STL,A,0,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.185,.267,.222,9,p,,8-21-1937,
