at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,SF,N,1,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.333,.333,.333,8,rf,6- 1-2018,
AT,SF,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,9,ph,6- 3-2018,
AT,CHI,N,0,2,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,.333,.333,.833,6,lf,6- 6-2018,
AT,CHI,N,1,3,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,.222,.364,.556,6,lf,6- 7-2018,
VS,MIL,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.364,.556,8,rf,6- 8-2018,
AT,WAS,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.333,.500,9,ph,6-24-2018,
VS,WAS,N,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.167,.333,.417,6,rf,6-29-2018,
VS,WAS,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.154,.313,.385,9,ph,6-30-2018,
VS,WAS,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.143,.294,.357,4,ph,7- 1-2018,
VS,BAL,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.133,.278,.333,9,ph,7- 3-2018,
AT,PIT,N,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.118,.250,.294,5,"ph,rf",7- 6-2018,
AT,NY,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.111,.238,.278,9,ph,7- 9-2018,1
VS,MIA,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.105,.227,.263,8,ph,8- 4-2018,
AT,ARI,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.100,.217,.250,9,lf,8- 6-2018,
VS,CHI,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.095,.208,.238,5,ph,9- 2-2018,
VS,WAS,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.095,.208,.238,3,pr,9-11-2018,2
VS,WAS,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.091,.200,.227,9,ph,9-12-2018,
VS,NY,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.091,.200,.227,9,pr,9-17-2018,
VS,NY,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.091,.200,.227,9,pr,9-19-2018,
AT,COL,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.087,.192,.217,3,lf,9-24-2018,
AT,COL,N,1,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.111,.200,.222,6,lf,9-25-2018,
AT,COL,N,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.133,.212,.233,6,lf,9-26-2018,
AT,COL,N,1,3,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,.152,.243,.273,6,lf,9-27-2018,
VS,ATL,N,0,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.171,.275,.314,8,rf,9-28-2018,
VS,ATL,N,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.167,.286,.306,6,lf,9-29-2018,
VS,ATL,N,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.158,.273,.289,9,lf,9-30-2018,
VS,MIA,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9,ph,4-26-2019,
