at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,MIN,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,1,cf,4- 9-1963,
AT,MIN,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.125,.125,.125,1,cf,4-10-1963,
VS,DET,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.083,.083,.083,1,cf,4-11-1963,
VS,DET,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.063,.063,.063,1,cf,4-13-1963,
VS,DET,A,1,5,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,.143,.143,.286,1,cf,4-14-1963,
VS,WAS,A,1,3,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.208,.208,.375,1,cf,4-16-1963,
AT,BAL,A,1,5,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.276,.276,.448,1,cf,4-19-1963,
AT,BAL,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.273,.424,1,cf,4-20-1963,
AT,BAL,A,1,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.297,.297,.432,1,cf,4-21-1963,1
AT,BAL,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.293,.293,.415,1,cf,4-21-1963,2
VS,BOS,A,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.295,.311,.409,1,cf,4-24-1963,
AT,NY,A,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.347,.438,1,cf,4-27-1963,
AT,NY,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.308,.321,.404,1,cf,4-28-1963,
AT,KC,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.304,.316,.393,1,cf,5- 1-1963,
AT,KC,A,1,6,3,2,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,.306,.317,.452,1,cf,5- 2-1963,
AT,LA,A,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.303,.313,.455,1,cf,5- 3-1963,
AT,LA,A,1,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.300,.319,.443,1,cf,5- 4-1963,
AT,LA,A,1,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.297,.316,.446,1,cf,5- 5-1963,
AT,WAS,A,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.275,.293,.413,1,cf,5- 7-1963,
AT,WAS,A,1,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.267,.284,.395,1,cf,5- 8-1963,
AT,WAS,A,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.258,.275,.382,1,cf,5- 9-1963,
AT,DET,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.247,.263,.366,1,cf,5-10-1963,
AT,DET,A,1,4,2,3,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,.268,.280,.412,1,cf,5-11-1963,
AT,DET,A,1,5,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,.275,.286,.412,1,cf,5-12-1963,
VS,KC,A,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.276,.294,.410,1,cf,5-14-1963,
VS,KC,A,1,3,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.278,.301,.407,1,cf,5-15-1963,
VS,CHI,A,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.268,.291,.393,1,cf,5-16-1963,
VS,MIN,A,1,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.274,.295,.393,1,cf,5-17-1963,
VS,MIN,A,1,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.281,.302,.405,1,cf,5-18-1963,
VS,MIN,A,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.288,.308,.408,1,cf,5-19-1963,1
VS,MIN,A,1,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.285,.304,.400,1,cf,5-19-1963,2
VS,LA,A,1,4,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,.284,.302,.396,1,cf,5-20-1963,
VS,LA,A,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.273,.292,.381,1,cf,5-22-1963,
VS,BAL,A,1,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.278,.295,.382,1,cf,5-24-1963,
VS,BAL,A,1,4,1,3,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,.291,.312,.426,1,cf,5-25-1963,
VS,BAL,A,1,5,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.294,.314,.425,2,cf,5-26-1963,1
VS,BAL,A,1,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,.293,.311,.420,2,cf,5-26-1963,2
AT,CHI,A,1,4,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,.292,.310,.435,2,cf,5-28-1963,
AT,CHI,A,1,4,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,.297,.318,.436,2,cf,5-30-1963,1
AT,CHI,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.290,.311,.426,2,cf,5-30-1963,2
VS,NY,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.289,.309,.422,2,cf,5-31-1963,
VS,NY,A,1,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,.290,.314,.432,2,cf,6- 1-1963,
VS,NY,A,1,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.289,.312,.433,2,cf,6- 2-1963,1
VS,NY,A,1,5,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.286,.309,.427,2,cf,6- 2-1963,2
VS,DET,A,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.308,.429,2,cf,6- 4-1963,
VS,DET,A,1,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,.281,.310,.422,2,cf,6- 5-1963,
AT,WAS,A,1,4,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.286,.317,.429,2,cf,6- 7-1963,
AT,WAS,A,1,4,2,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,.295,.325,.445,2,cf,6- 8-1963,
AT,WAS,A,1,5,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,.302,.332,.463,2,cf,6- 9-1963,
AT,BAL,A,1,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.301,.330,.464,2,cf,6-10-1963,
AT,BAL,A,1,5,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,.304,.332,.472,2,cf,6-11-1963,
AT,DET,A,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.304,.335,.472,2,cf,6-12-1963,
VS,KC,A,1,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,.300,.330,.465,1,cf,8-10-1963,
VS,KC,A,1,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.303,.333,.466,1,cf,8-11-1963,
AT,CHI,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.302,.332,.462,1,cf,8-13-1963,
AT,CHI,A,1,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.309,.337,.465,3,cf,8-14-1963,
AT,BOS,A,1,4,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.312,.340,.470,3,cf,8-16-1963,
AT,BOS,A,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.311,.339,.466,3,cf,8-17-1963,
AT,BOS,A,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,.309,.336,.461,3,cf,8-18-1963,
AT,BOS,A,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.306,.333,.456,3,cf,8-19-1963,
AT,NY,A,1,5,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,.312,.338,.458,3,cf,8-20-1963,
VS,BOS,A,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.318,.343,.463,7,"ph,cf",8-25-1963,1
VS,BOS,A,1,6,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,.310,.336,.452,3,cf,8-25-1963,2
VS,CHI,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.309,.335,.449,3,cf,8-27-1963,
VS,CHI,A,1,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.312,.337,.450,3,cf,8-28-1963,1
VS,CHI,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.311,.336,.447,3,cf,8-28-1963,2
VS,CHI,A,1,4,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,.310,.334,.455,3,cf,8-29-1963,
VS,DET,A,1,4,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,.313,.337,.459,3,cf,8-30-1963,
VS,DET,A,1,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.311,.334,.455,3,cf,8-31-1963,
VS,DET,A,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.308,.333,.450,3,cf,9- 1-1963,1
VS,DET,A,1,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.304,.331,.444,3,cf,9- 1-1963,2
VS,WAS,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.302,.329,.441,3,cf,9- 2-1963,1
VS,WAS,A,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.304,.331,.443,5,ph,9- 2-1963,2
VS,BAL,A,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.302,.329,.439,2,cf,9- 4-1963,
AT,MIN,A,1,4,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,.302,.328,.446,2,cf,9- 9-1963,
AT,MIN,A,1,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.297,.323,.439,2,cf,9-10-1963,
AT,MIN,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.296,.322,.436,2,cf,9-11-1963,
AT,MIN,A,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.295,.320,.433,2,cf,9-12-1963,
AT,LA,A,1,6,1,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.295,.321,.437,2,cf,9-13-1963,
AT,LA,A,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.295,.320,.435,2,cf,9-14-1963,
AT,LA,A,1,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.294,.321,.432,2,cf,9-15-1963,
VS,NY,A,1,3,0,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,.295,.325,.435,2,cf,9-17-1963,
VS,LA,A,1,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.298,.330,.437,2,cf,9-21-1963,
VS,LA,A,1,4,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.303,.334,.446,2,cf,9-22-1963,1
VS,LA,A,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.302,.332,.443,2,cf,9-22-1963,2
VS,MIN,A,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.301,.332,.440,2,cf,9-24-1963,
AT,KC,A,1,5,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.300,.330,.437,2,cf,9-26-1963,
AT,KC,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.296,.326,.432,2,cf,9-27-1963,
AT,KC,A,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.295,.325,.429,2,cf,9-28-1963,
AT,KC,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.292,.321,.424,2,cf,9-29-1963,
VS,MIN,A,1,4,2,2,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,.500,.600,.500,2,cf,4-14-1964,
VS,KC,A,1,5,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,.444,.500,.556,2,cf,4-17-1964,
AT,KC,A,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.357,.400,.429,2,cf,4-21-1964,
AT,LA,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.278,.316,.333,2,cf,4-23-1964,
AT,LA,A,1,7,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.280,.308,.360,2,cf,4-24-1964,
AT,LA,A,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.267,.290,.333,2,cf,4-25-1964,
AT,LA,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.235,.257,.294,2,cf,4-26-1964,
AT,MIN,A,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.205,.225,.256,2,cf,4-28-1964,
AT,MIN,A,1,4,1,1,1,0,0,2,1,0,2,0,0,0,0,0,0,0,0,.209,.244,.279,2,cf,4-30-1964,
AT,BAL,A,1,6,2,3,1,0,0,1,0,0,2,0,0,0,0,0,0,2,0,.245,.275,.327,2,cf,5- 2-1964,
AT,BAL,A,1,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.222,.250,.296,2,cf,5- 3-1964,1
AT,BAL,A,1,4,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,.207,.230,.276,2,cf,5- 3-1964,2
AT,BOS,A,1,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.210,.242,.274,2,cf,5- 4-1964,
AT,BOS,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.212,.243,.273,2,cf,5- 5-1964,
VS,NY,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.212,.243,.273,9,pr,5-10-1964,2
VS,BOS,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.212,.243,.273,9,pr,5-12-1964,
AT,DET,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.212,.243,.273,7,pr,5-17-1964,1
AT,DET,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.209,.239,.269,9,ph,5-17-1964,2
AT,CHI,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.206,.236,.265,9,ph,5-19-1964,
AT,NY,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.206,.236,.265,6,pr,5-26-1964,
AT,WAS,A,1,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.222,.250,.292,2,cf,5-29-1964,
AT,WAS,A,1,4,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,.211,.244,.276,2,cf,5-30-1964,
AT,WAS,A,1,5,3,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,.222,.253,.284,2,cf,5-31-1964,1
AT,WAS,A,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,.224,.261,.282,2,cf,5-31-1964,2
VS,CHI,A,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.236,.271,.292,2,cf,6- 1-1964,
VS,CHI,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.226,.260,.280,2,cf,6- 2-1964,
VS,CHI,A,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.237,.269,.289,2,cf,6- 3-1964,
VS,CHI,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.228,.259,.277,2,cf,6- 4-1964,
VS,WAS,A,1,4,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,.238,.268,.314,2,cf,6- 5-1964,
VS,WAS,A,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.257,.284,.330,2,cf,6- 6-1964,
VS,WAS,A,1,6,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.261,.287,.330,2,cf,6- 7-1964,1
VS,WAS,A,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,.254,.278,.322,2,cf,6- 7-1964,2
VS,LA,A,1,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.262,.285,.344,2,cf,6- 8-1964,
VS,LA,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.254,.276,.333,2,cf,6- 9-1964,
VS,LA,A,1,5,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.252,.279,.328,2,cf,6-10-1964,1
VS,LA,A,1,4,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,.259,.285,.341,2,cf,6-10-1964,2
VS,LA,A,1,5,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,.264,.293,.343,2,cf,6-11-1964,
VS,KC,A,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,.266,.299,.343,2,cf,6-12-1964,
VS,KC,A,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,.260,.291,.336,2,cf,6-13-1964,
VS,KC,A,1,4,1,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,.267,.296,.340,2,cf,6-14-1964,1
VS,KC,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.260,.289,.331,2,cf,6-14-1964,2
VS,MIN,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,.259,.288,.329,2,cf,6-16-1964,
VS,MIN,A,1,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,.259,.287,.327,2,cf,6-17-1964,1
VS,MIN,A,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.263,.291,.329,2,cf,6-17-1964,2
AT,LA,A,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.262,.288,.326,2,cf,6-19-1964,
AT,LA,A,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.267,.293,.330,2,cf,6-20-1964,
AT,LA,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.267,.292,.328,2,cf,6-21-1964,
AT,MIN,A,1,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,.270,.294,.330,2,cf,6-22-1964,
AT,MIN,A,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.265,.289,.323,2,cf,6-23-1964,
AT,MIN,A,1,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.263,.286,.320,2,cf,6-24-1964,1
AT,MIN,A,1,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.263,.286,.318,2,cf,6-24-1964,2
