at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,COL,N,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.000,.250,.000,8,c,7-21-2010,
VS,ATL,N,1,4,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,.286,.375,.571,8,c,7-25-2010,
AT,SD,N,1,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,.222,.417,.444,8,c,7-31-2010,
VS,HOU,N,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.400,.417,8,c,8-22-2010,
AT,ATL,N,1,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,.200,.316,.333,8,c,8-27-2010,
AT,ATL,N,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.250,.350,.375,9,ph,8-28-2010,
AT,ATL,N,1,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.250,.333,.350,8,c,8-29-2010,
VS,WAS,N,1,5,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,.280,.345,.520,8,c,9- 1-2010,
VS,ATL,N,1,2,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,.296,.364,.556,8,c,9- 3-2010,
VS,ATL,N,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.276,.343,.517,8,c,9- 4-2010,
VS,ATL,N,1,3,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,.281,.333,.531,8,c,9- 5-2010,
AT,PHI,N,1,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.270,.318,.486,8,c,9- 6-2010,1
AT,PHI,N,1,3,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,.275,.333,.500,8,c,9- 7-2010,
AT,PHI,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.256,.314,.465,8,c,9- 8-2010,
AT,WAS,N,1,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.277,.327,.532,8,c,9-10-2010,
AT,WAS,N,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,.255,.305,.490,8,c,9-11-2010,
VS,PHI,N,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.255,.302,.473,8,c,9-13-2010,
VS,PHI,N,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.237,.284,.441,8,c,9-14-2010,
VS,PHI,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.238,.282,.429,8,c,9-15-2010,
VS,CHI,N,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.227,.280,.409,8,c,9-17-2010,
VS,CHI,N,1,4,1,1,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,.229,.278,.414,8,c,9-18-2010,
VS,STL,N,1,3,1,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,.233,.280,.452,8,c,9-20-2010,
VS,NY,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.224,.271,.434,8,c,9-21-2010,
VS,NY,N,1,3,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,.228,.281,.430,8,c,9-22-2010,
AT,MIL,N,1,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.241,.290,.434,8,c,9-23-2010,
AT,MIL,N,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.233,.281,.419,8,c,9-24-2010,
AT,MIL,N,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.225,.280,.404,8,c,9-25-2010,
AT,ATL,N,1,3,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,.228,.282,.413,8,c,9-27-2010,
AT,ATL,N,1,4,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.229,.280,.417,8,c,9-28-2010,
AT,ATL,N,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.220,.270,.400,8,c,9-29-2010,
VS,PIT,N,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.214,.270,.388,8,c,9-30-2010,
VS,PIT,N,1,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.215,.269,.383,8,c,10- 1-2010,
VS,PIT,N,1,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,.211,.270,.376,8,c,10- 3-2010,
