at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,CLE,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,7,lf,6-20-1986,
VS,CLE,A,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.000,.500,.000,9,lf,6-21-1986,
VS,CLE,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.286,.000,2,lf,6-22-1986,
AT,CHI,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.200,.000,8,lf,6-23-1986,
AT,CHI,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.200,.000,2,"pr,lf",6-24-1986,
AT,CHI,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.200,.000,2,"pr,lf",6-25-1986,
VS,KC,A,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,.154,.000,8,lf,6-27-1986,
VS,KC,A,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.067,.176,.067,8,lf,6-28-1986,
VS,KC,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.063,.167,.063,2,"pr,lf",6-29-1986,
AT,TEX,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.063,.167,.063,2,lf,6-30-1986,
AT,TEX,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.056,.150,.056,7,lf,7- 1-1986,
AT,TEX,A,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.050,.136,.050,8,cf,7- 2-1986,
VS,BAL,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.050,.136,.050,2,lf,7- 3-1986,
VS,BAL,A,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.045,.125,.045,8,lf,7- 4-1986,
VS,BAL,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.045,.125,.045,7,lf,7- 5-1986,
VS,DET,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.043,.120,.043,2,lf,7- 7-1986,
VS,NY,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.043,.120,.043,1,"pr,cf",7-10-1986,
VS,MIL,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.042,.115,.042,7,lf,9- 3-1986,
AT,BOS,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.042,.115,.042,1,pr,9- 5-1986,
AT,BOS,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.040,.111,.040,9,"ph,rf",9- 7-1986,
VS,TEX,A,1,5,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.100,.156,.133,2,lf,9-13-1986,
VS,TEX,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.100,.156,.133,5,rf,9-14-1986,
AT,CLE,A,1,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,.114,.162,.143,1,cf,9-16-1986,
AT,CLE,A,1,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.132,.175,.184,1,dh,9-17-1986,
AT,TEX,A,1,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.116,.156,.163,1,lf,9-20-1986,
AT,TEX,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.116,.156,.163,7,pr,9-21-1986,
VS,KC,A,1,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,.109,.163,.152,1,lf,9-22-1986,
VS,KC,A,1,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,.120,.185,.160,1,lf,9-23-1986,
AT,CHI,A,1,5,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.127,.186,.164,1,cf,9-27-1986,2
AT,CHI,A,1,3,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,.121,.177,.155,1,rf,9-28-1986,
VS,CLE,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,.113,.167,.145,1,rf,9-29-1986,
VS,CLE,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.113,.167,.145,5,"pr,dh",9-30-1986,
VS,CLE,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.111,.164,.143,6,"rf,cf",10- 1-1986,
VS,CHI,A,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.106,.157,.136,2,rf,10- 2-1986,
VS,CHI,A,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.119,.169,.164,2,"ph,dh",10- 3-1986,
VS,CHI,A,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.118,.189,.162,2,"pr,rf",10- 5-1986,
VS,OAK,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,.000,7,lf,4- 7-1987,
VS,OAK,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,2,lf,4- 8-1987,
VS,OAK,A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,7,"pr,dh",4- 9-1987,
AT,SEA,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,2,lf,4-10-1987,
AT,SEA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,8,pr,4-11-1987,
AT,SEA,A,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.250,.250,.250,7,lf,4-12-1987,
AT,OAK,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,6,rf,4-14-1987,
AT,CAL,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.182,.182,.182,2,rf,4-18-1987,
AT,CAL,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.182,.182,.182,2,rf,4-19-1987,
VS,SEA,A,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,2,"ph,rf",4-20-1987,
VS,SEA,A,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.308,.308,.308,2,"ph,lf",4-21-1987,
VS,SEA,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.235,.235,.235,7,lf,4-22-1987,
VS,CAL,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.235,.235,.235,7,"pr,dh",4-23-1987,
VS,CAL,A,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.278,.278,.278,2,lf,4-25-1987,
VS,NY,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.263,.263,.263,2,"ph,rf",5- 1-1987,
VS,NY,A,1,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.261,.261,.261,7,"rf,lf",5- 2-1987,
VS,NY,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.240,.240,.240,8,rf,5- 3-1987,
VS,BAL,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.214,.214,.214,7,lf,5- 5-1987,
VS,BAL,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,.219,.219,.219,9,lf,5- 7-1987,
AT,NY,A,1,2,1,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,.265,.265,.353,9,rf,5- 8-1987,
AT,NY,A,1,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.270,.270,.378,7,rf,5- 9-1987,
AT,BAL,A,1,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.286,.286,.381,7,rf,5-11-1987,
