at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,CHI,A,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,3.000,8,ss,9-12-1987,
VS,CHI,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.500,.500,1.500,7,ph,9-13-1987,
VS,CLE,A,1,4,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.500,.500,.833,8,ss,9-14-1987,
AT,CHI,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.500,.833,4,ss,9-18-1987,
AT,CHI,A,1,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.500,.500,.700,8,ss,9-19-1987,
AT,CHI,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.417,.417,.583,8,ss,9-20-1987,
VS,KC,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.385,.385,.538,8,ss,9-22-1987,
VS,TEX,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.357,.357,.500,8,ss,9-25-1987,
VS,TEX,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.294,.294,.412,8,ss,9-26-1987,
AT,TEX,A,1,4,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.333,.333,.429,8,ss,10- 1-1987,
AT,TEX,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.304,.304,.391,7,ss,10- 2-1987,
VS,CLE,A,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.500,.500,9,ss,5- 4-1988,
VS,CLE,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.500,.500,9,ss,5- 5-1988,
AT,CLE,A,1,4,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.625,.625,.625,9,ss,7- 1-1988,
AT,CLE,A,1,4,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,.583,.583,.583,9,ss,7- 2-1988,
AT,CLE,A,1,3,1,2,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,.600,.563,.667,9,ss,7- 3-1988,
AT,DET,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.526,.500,.579,9,ss,7- 4-1988,
AT,TOR,A,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.545,.522,.591,9,ss,7- 8-1988,
VS,CLE,A,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.520,.500,.560,9,ss,7-14-1988,
VS,CLE,A,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.520,.519,.560,1,"pr,2b",7-15-1988,
VS,CLE,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.520,.519,.560,2,"pr,ss",7-16-1988,
VS,DET,A,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.519,.517,.593,1,"ph,2b",7-20-1988,
VS,TOR,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.452,.455,.516,9,ss,7-21-1988,
VS,TOR,A,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.441,.444,.529,8,ss,7-24-1988,
AT,CHI,A,1,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.444,.462,.528,8,ss,7-25-1988,
VS,CAL,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.425,.442,.500,8,ss,8- 2-1988,
AT,OAK,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.425,.442,.500,4,1b,8- 5-1988,
VS,CHI,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,.395,.413,.465,8,ss,8-11-1988,
VS,CHI,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.370,.388,.435,8,3b,8-12-1988,
VS,CHI,A,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.383,.400,.447,2,2b,8-14-1988,
AT,NY,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.373,.389,.431,9,ss,8-19-1988,2
AT,BAL,A,1,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.357,.373,.429,9,ss,8-24-1988,2
VS,NY,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.351,.367,.421,9,"ph,ss",8-29-1988,
VS,BAL,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.333,.349,.400,9,ss,9- 3-1988,
AT,MIN,A,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.348,.413,9,ss,9- 6-1988,
AT,MIN,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.323,.338,.400,9,ss,9- 7-1988,
VS,MIL,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.319,.333,.391,9,ss,9-17-1988,
VS,MIL,A,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.310,.333,.380,9,2b,9-18-1988,
VS,TEX,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.306,.329,.375,2,ph,9-30-1988,
AT,CAL,A,0,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,4,"3b,2b",4- 9-1989,
VS,CHI,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,4.000,9,ss,4-11-1989,
VS,OAK,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.800,9,ss,4-19-1989,
