at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,CHI,N,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,.000,8,"ph,lf",9- 8-1998,
AT,CIN,N,0,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,.250,.250,1.000,3,"rf,cf",9- 9-1998,
AT,CIN,N,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,.400,.400,1.000,8,ph,9-10-1998,
AT,HOU,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.333,.333,.833,7,ph,9-12-1998,
AT,HOU,N,1,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.222,.300,.556,2,rf,9-13-1998,
VS,PIT,N,1,2,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,.273,.357,.545,6,lf,9-14-1998,
VS,PIT,N,1,5,2,2,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,.313,.368,.875,2,rf,9-15-1998,1
VS,PIT,N,1,4,0,2,2,0,0,1,1,0,1,0,0,0,0,0,1,0,0,.350,.417,.900,5,lf,9-15-1998,2
AT,MIL,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.333,.400,.857,8,lf,9-18-1998,
AT,MIL,N,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.304,.370,.783,5,lf,9-19-1998,
VS,MON,N,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.333,.393,.792,8,ph,9-24-1998,
VS,MON,N,1,4,2,3,0,0,2,4,0,0,0,0,0,0,0,0,1,0,0,.393,.438,1.000,5,lf,9-25-1998,
VS,MON,N,1,4,1,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,.406,.459,1.000,2,rf,9-26-1998,
VS,MON,N,1,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.417,.463,.972,2,"rf,cf",9-27-1998,
VS,MIL,N,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.000,.400,.000,2,cf,4- 5-1999,
VS,MIL,N,1,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.000,.333,.000,2,cf,4- 7-1999,
VS,CIN,N,1,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.100,.308,.100,2,cf,4- 9-1999,
VS,CIN,N,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.143,.294,.143,2,cf,4-10-1999,
