at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,SF,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,8,ss,9- 2-1986,
VS,SF,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,8,ss,9- 3-1986,
VS,SD,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.250,.250,.250,8,ss,9- 6-1986,
VS,SD,N,1,2,2,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,.333,.500,.333,8,ss,9- 7-1986,1
VS,SD,N,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.400,.250,8,ss,9- 7-1986,2
AT,PHI,N,1,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.429,.417,8,ss,9-14-1986,
AT,STL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.429,.417,8,ss,9-15-1986,
VS,CHI,N,1,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.333,.444,.400,7,ss,9-18-1986,
VS,PHI,N,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.294,.400,.353,8,ss,9-19-1986,
VS,PHI,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.278,.381,.333,8,ss,9-20-1986,
VS,STL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.278,.381,.333,1,ss,9-23-1986,
AT,CHI,N,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.250,.348,.300,8,ss,9-24-1986,
AT,CHI,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.348,.300,8,ss,9-25-1986,
AT,PIT,N,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.208,.296,.250,8,ss,9-26-1986,
AT,PIT,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.208,.296,.250,6,ss,9-27-1986,
AT,PIT,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.208,.296,.250,6,ss,9-28-1986,
AT,MON,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.208,.296,.250,9,ss,9-30-1986,
VS,PIT,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.179,.258,.214,8,ss,10- 4-1986,1
VS,PIT,N,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.242,.200,1,ss,10- 5-1986,
VS,STL,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,6,ph,9-12-1987,
VS,CHI,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,8,ss,9-15-1987,
VS,PIT,N,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.500,9,ph,9-26-1987,
AT,STL,N,1,3,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.800,.800,1.200,8,ss,10- 2-1987,
AT,STL,N,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.400,.400,.600,8,ss,10- 3-1987,
AT,MON,N,1,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,.250,.250,1.000,8,ss,4- 4-1988,
AT,MON,N,1,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.286,.286,.857,8,ss,4- 6-1988,
AT,MON,N,1,5,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,.250,.250,.583,8,ss,4- 7-1988,
AT,PHI,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.467,8,ss,4- 8-1988,
AT,PHI,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.167,.167,.389,8,ss,4- 9-1988,
AT,PHI,N,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,.143,.182,.333,8,ss,4-10-1988,
VS,MON,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.160,.192,.320,8,ss,4-12-1988,
VS,MON,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.143,.172,.286,8,ss,4-14-1988,
VS,STL,N,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.133,.161,.267,8,ss,4-15-1988,
VS,STL,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.118,.143,.235,8,ss,4-16-1988,
VS,STL,N,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.143,.167,.257,3,"pr,ss",4-17-1988,
VS,PHI,N,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.132,.175,.237,8,ss,4-18-1988,
VS,PHI,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.122,.163,.220,8,ss,4-19-1988,
VS,PHI,N,1,3,2,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,.136,.191,.295,8,ss,4-20-1988,
AT,STL,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.146,.196,.292,8,ss,4-22-1988,
AT,STL,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.146,.212,.292,8,ss,4-23-1988,
AT,STL,N,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.157,.218,.294,8,ss,4-24-1988,
AT,ATL,N,1,5,2,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,.214,.267,.357,8,ss,4-26-1988,
AT,ATL,N,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.237,.286,.373,8,ss,4-27-1988,
AT,CIN,N,1,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.258,.313,.387,8,ss,4-29-1988,
AT,CIN,N,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.246,.300,.369,8,ss,4-30-1988,
AT,CIN,N,1,2,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,.254,.333,.373,8,ss,5- 1-1988,
VS,ATL,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.254,.329,.366,8,ss,5- 2-1988,
VS,ATL,N,1,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,.253,.325,.400,8,ss,5- 3-1988,
VS,CIN,N,1,3,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,.244,.322,.385,8,ss,5- 6-1988,
VS,CIN,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.235,.311,.370,8,ss,5- 7-1988,
VS,CIN,N,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.238,.312,.369,8,ss,5- 8-1988,
AT,HOU,N,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.241,.313,.368,8,ss,5- 9-1988,
