at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,OAK,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,4,rf,5- 3-1989,
VS,CAL,A,1,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,.333,.500,1.333,9,dh,5- 4-1989,
VS,CAL,A,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.333,.429,.833,9,rf,5- 5-1989,
VS,CAL,A,1,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.500,.545,.800,8,rf,5- 6-1989,
VS,SEA,A,1,4,3,2,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,.500,.563,.857,1,rf,5- 8-1989,
VS,SEA,A,1,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,.444,.500,.833,1,rf,5- 9-1989,
VS,SEA,A,1,4,1,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,.409,.458,.727,1,rf,5-10-1989,
AT,MIN,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.346,.393,.615,1,rf,5-12-1989,
AT,MIN,A,1,4,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,.333,.394,.600,1,"rf,cf",5-13-1989,
AT,MIN,A,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.294,.351,.529,1,cf,5-14-1989,
VS,CLE,A,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.289,.341,.500,1,rf,5-15-1989,
VS,CLE,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.262,.311,.452,1,rf,5-16-1989,
VS,CLE,A,1,4,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,.261,.320,.500,1,rf,5-17-1989,
AT,CHI,A,1,5,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,.255,.309,.510,1,rf,5-19-1989,
AT,CHI,A,1,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,.263,.311,.491,1,rf,5-20-1989,
AT,CHI,A,1,5,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,.258,.303,.468,1,rf,5-21-1989,
VS,MIN,A,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,.246,.300,.446,1,rf,5-22-1989,
VS,MIN,A,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.235,.297,.426,1,cf,5-23-1989,
VS,MIN,A,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.250,.308,.431,1,rf,5-24-1989,
VS,CHI,A,1,5,2,3,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,.273,.325,.442,1,"rf,cf",5-26-1989,
VS,CHI,A,1,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.268,.318,.427,1,rf,5-27-1989,
VS,CHI,A,1,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.253,.301,.402,1,rf,5-28-1989,
AT,CLE,A,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.258,.305,.404,1,rf,5-29-1989,
AT,CLE,A,1,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.255,.300,.394,1,rf,5-31-1989,
AT,BOS,A,1,4,3,2,0,0,1,4,1,0,1,0,0,0,0,1,0,0,1,.265,.314,.429,1,rf,6- 2-1989,
AT,BOS,A,1,5,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,.282,.327,.437,1,rf,6- 3-1989,
AT,BOS,A,1,7,1,3,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,.291,.333,.473,1,rf,6- 4-1989,
VS,MIL,A,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.283,.336,.460,1,rf,6- 5-1989,
VS,MIL,A,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.284,.336,.457,1,rf,6- 6-1989,
VS,DET,A,1,3,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.294,.354,.471,1,cf,6- 9-1989,
VS,DET,A,1,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,.293,.356,.463,1,rf,6-10-1989,
VS,DET,A,1,5,2,4,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,.313,.371,.500,1,rf,6-11-1989,
VS,DET,A,1,6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.306,.363,.485,1,cf,6-12-1989,
