at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,BRO,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,9,ph,4-13-1955,
VS,PHI,N,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.500,9,ph,4-14-1955,
VS,BRO,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.400,.400,.600,2,2b,4-17-1955,1
VS,BRO,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.500,9,ph,4-17-1955,2
AT,NY,N,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.200,.273,.300,2,2b,4-18-1955,
AT,PHI,N,1,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.200,.250,.267,2,2b,4-22-1955,
AT,PHI,N,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.222,.263,.278,8,2b,4-23-1955,
AT,PHI,N,1,3,3,2,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,.286,.318,.429,8,2b,4-24-1955,1
VS,CHI,N,1,3,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.333,.385,.500,8,2b,4-27-1955,
VS,CIN,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.296,.345,.444,8,2b,4-28-1955,
VS,CIN,N,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.375,.467,8,2b,4-29-1955,
VS,CIN,N,1,3,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.364,.417,.485,8,2b,4-30-1955,
VS,STL,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.324,.375,.432,8,2b,5- 1-1955,1
VS,STL,N,1,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,.308,.386,.410,8,2b,5- 1-1955,2
VS,MIL,N,0,2,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,.317,.391,.488,8,2b,5- 4-1955,
VS,MIL,N,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.311,.380,.467,8,2b,5- 5-1955,
AT,NY,N,1,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.313,.389,.479,8,2b,5- 6-1955,
AT,NY,N,1,4,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,.327,.397,.538,8,2b,5- 7-1955,
AT,NY,N,1,2,1,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,.333,.419,.593,8,2b,5- 8-1955,1
AT,NY,N,1,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.345,.424,.603,7,2b,5- 8-1955,2
AT,MIL,N,1,4,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,.339,.423,.629,8,2b,5-10-1955,
AT,MIL,N,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.323,.413,.600,7,2b,5-11-1955,
AT,CHI,N,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.313,.410,.582,8,2b,5-12-1955,
AT,STL,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.300,.395,.557,8,2b,5-14-1955,
AT,STL,N,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.284,.376,.527,8,2b,5-15-1955,
AT,STL,N,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.282,.371,.513,1,2b,5-16-1955,
AT,CIN,N,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.265,.351,.482,1,2b,5-17-1955,
AT,CIN,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.256,.340,.465,8,2b,5-18-1955,
VS,NY,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.244,.327,.444,1,2b,5-20-1955,
VS,NY,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.244,.327,.444,2,"pr,2b",5-21-1955,
VS,NY,N,1,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.255,.333,.447,2,2b,5-22-1955,1
VS,NY,N,1,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.255,.330,.439,1,2b,5-22-1955,2
VS,BRO,N,1,4,2,3,0,0,0,3,0,0,1,1,0,1,0,0,0,0,0,.275,.348,.451,1,2b,5-24-1955,
VS,BRO,N,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.274,.345,.453,8,2b,5-26-1955,
VS,PHI,N,1,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,.266,.341,.440,2,2b,5-27-1955,
VS,PHI,N,1,5,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,.263,.341,.447,2,2b,5-28-1955,
VS,PHI,N,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.256,.338,.436,2,2b,5-29-1955,1
VS,PHI,N,1,4,1,2,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,.264,.343,.438,2,2b,5-29-1955,2
AT,BRO,N,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.258,.340,.427,2,2b,5-30-1955,1
AT,BRO,N,1,5,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,.256,.336,.419,2,2b,5-30-1955,2
VS,STL,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.254,.333,.415,9,ph,6- 1-1955,
VS,CIN,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.254,.333,.415,2,pr,6- 5-1955,1
