at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,CIN,N,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,7,c,,5-26-1946,1
AT,CHI,N,1,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.125,.222,.125,7,c,,5-28-1946,
AT,PIT,N,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.222,.300,.222,9,ph,,5-30-1946,2
VS,NY,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.167,.231,.167,7,c,,6- 2-1946,1
VS,NY,N,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.143,.200,.143,9,"ph,c",,6- 2-1946,2
VS,NY,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.133,.188,.133,9,ph,,6- 3-1946,
VS,BOS,N,1,3,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,.167,.250,.222,7,c,,6- 5-1946,
VS,BOS,N,1,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.190,.292,.238,7,c,,6- 6-1946,
VS,PHI,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.259,.208,7,c,,6- 9-1946,2
VS,BRO,N,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.154,.241,.192,7,"ph,c",,6-12-1946,
AT,NY,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.148,.233,.185,7,"ph,c",,6-16-1946,2
AT,BOS,N,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.273,.233,8,c,,6-17-1946,2
AT,BOS,N,1,3,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.242,.324,.273,8,c,,6-19-1946,
AT,BOS,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.300,.250,8,c,,6-20-1946,
AT,BRO,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.300,.250,8,c,,6-21-1946,
AT,BRO,N,1,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,.211,.318,.237,8,c,,6-22-1946,
AT,BRO,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.211,.318,.237,8,c,,6-23-1946,
AT,PHI,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.211,.318,.237,8,c,,6-25-1946,
AT,PIT,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.195,.298,.220,7,c,,6-30-1946,2
VS,CIN,N,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.294,.222,7,c,Date,7- 1-1946,
VS,CIN,N,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.217,.308,.239,9,ph,,7- 2-1946,
VS,CIN,N,1,3,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,.204,.316,.224,8,c,,7- 3-1946,
VS,CHI,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.310,.220,9,ph,,7- 4-1946,1
VS,CHI,N,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.208,.323,.226,8,c,,7- 4-1946,2
VS,CHI,N,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.214,.323,.232,8,c,,7- 5-1946,
VS,PIT,N,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.217,.319,.233,8,c,,7- 6-1946,
VS,PIT,N,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.230,.329,.246,8,c,,7- 7-1946,1
VS,NY,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.215,.311,.231,7,c,,7-12-1946,1
VS,NY,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.215,.311,.231,7,c,,7-12-1946,2
VS,NY,N,1,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.232,.329,.246,7,c,,7-13-1946,
VS,BRO,N,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.225,.329,.239,7,c,,7-14-1946,1
VS,BRO,N,1,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.230,.337,.243,7,c,,7-15-1946,
VS,BOS,N,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.234,.337,.247,7,c,,7-20-1946,
VS,BOS,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.225,.326,.238,7,c,,7-21-1946,1
AT,NY,N,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.229,.326,.241,7,c,,7-25-1946,1
AT,BOS,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.218,.313,.230,7,c,,7-28-1946,
AT,BOS,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.211,.304,.222,7,c,,7-29-1946,
AT,BRO,N,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.213,.302,.223,7,c,,7-30-1946,
AT,BRO,N,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.219,.306,.229,6,c,,7-31-1946,
AT,PHI,N,1,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.220,.304,.230,7,c,Date,8- 4-1946,2
AT,CIN,N,1,5,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.229,.308,.267,7,c,,8- 9-1946,
AT,CIN,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.220,.298,.257,7,c,,8-11-1946,2
AT,CHI,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.212,.288,.248,7,c,,8-12-1946,
AT,CHI,N,1,3,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,.207,.287,.241,7,c,,8-14-1946,
VS,CIN,N,1,4,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.225,.301,.283,7,c,,8-17-1946,
VS,CIN,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.220,.294,.276,7,c,,8-18-1946,2
