at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,NY,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9,ph,9- 3-1968,1
AT,NY,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,7,pr,9- 3-1968,2
VS,HOU,N,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000,.500,.000,9,ph,9- 7-1968,
VS,HOU,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.500,.000,4,pr,9- 8-1968,
AT,LA,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.500,.000,7,pr,9-13-1968,
AT,LA,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.667,.500,9,ph,9-16-1968,
AT,HOU,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.500,.333,9,ph,9-17-1968,
AT,SF,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.400,.250,9,ph,9-20-1968,
AT,SF,N,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.400,.500,.400,9,ph,9-21-1968,
AT,SF,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.429,.333,9,ph,9-22-1968,
VS,NY,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.375,.286,9,ph,9-25-1968,
VS,SF,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,.000,5,ph,4- 7-1969,
VS,SF,N,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.167,.167,8,lf,4- 8-1969,
VS,SF,N,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.222,.222,8,lf,4- 9-1969,
VS,CIN,N,1,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.308,.308,.308,6,lf,4-12-1969,
VS,CIN,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,8,lf,4-13-1969,1
AT,HOU,N,1,3,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,.211,.250,.211,8,lf,4-15-1969,
AT,SD,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.238,.200,6,"pr,lf",4-22-1969,
VS,HOU,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.190,.227,.190,9,ph,4-28-1969,
VS,PIT,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.190,.227,.190,8,pr,9- 3-1969,
VS,LA,N,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.227,.261,.273,9,ph,9- 8-1969,
VS,LA,N,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.261,.292,.304,9,ph,9- 9-1969,
VS,SF,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.261,.292,.304,6,ph,9-11-1969,
VS,HOU,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.261,.292,.304,4,pr,9-12-1969,
VS,HOU,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.261,.292,.304,8,pr,9-13-1969,
AT,SF,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.280,.292,9,ph,9-16-1969,
AT,LA,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.250,.280,.292,7,pr,9-17-1969,
AT,SD,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.280,.292,9,pr,9-20-1969,
AT,HOU,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.280,.292,4,pr,9-23-1969,
VS,SD,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.280,.292,4,pr,9-27-1969,
VS,SD,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.280,.292,4,pr,9-28-1969,
VS,CIN,N,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.250,.308,.292,9,ph,9-30-1969,
VS,CIN,N,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.276,.259,4,"pr,lf",10- 2-1969,
AT,SD,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,.000,9,ph,4- 7-1970,
AT,HOU,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9,pr,4-11-1970,
AT,HOU,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,7,ph,4-12-1970,
VS,LA,N,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000,.333,.000,7,ph,4-18-1970,
VS,LA,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.250,.000,7,ph,4-19-1970,
VS,CIN,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.200,.000,3,rf,4-21-1970,
AT,PIT,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.200,.000,4,pr,4-24-1970,
AT,PIT,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.167,.000,9,ph,4-25-1970,
AT,STL,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000,.143,.000,9,ph,4-29-1970,
VS,STL,N,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.143,.250,.143,9,ph,5- 8-1970,
VS,STL,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.125,.222,.125,8,ph,5-10-1970,
AT,CHI,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.125,.222,.125,4,pr,5-12-1970,
AT,CIN,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.111,.200,.111,9,ph,5-17-1970,2
AT,SF,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.111,.200,.111,8,pr,5-20-1970,
AT,LA,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.111,.200,.111,4,pr,5-22-1970,
AT,LA,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.100,.182,.100,9,ph,5-24-1970,
VS,SF,N,1,4,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.143,.200,.214,2,rf,9- 5-1970,2
VS,SF,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.111,.158,.167,2,rf,9- 6-1970,
AT,LA,N,1,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,.136,.174,.182,2,rf,9- 7-1970,1
AT,LA,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,.154,.185,.192,2,lf,9- 7-1970,2
AT,SD,N,1,5,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,.194,.242,.226,2,rf,9- 9-1970,1
AT,SD,N,1,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.229,.289,.257,2,rf,9- 9-1970,2
AT,HOU,N,1,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.231,.286,.256,2,rf,9-11-1970,
AT,HOU,N,0,2,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.244,.295,.293,3,"pr,rf",9-13-1970,
AT,SF,N,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.217,.265,.261,2,rf,9-14-1970,
AT,SF,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.245,.240,2,rf,9-15-1970,
AT,SF,N,1,3,2,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,.226,.263,.264,3,rf,9-16-1970,
VS,CIN,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.259,.259,9,ph,9-18-1970,
VS,CIN,N,1,5,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,.254,.286,.288,2,rf,9-19-1970,
VS,CIN,N,1,5,3,4,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,.297,.324,.344,1,cf,9-20-1970,
VS,SD,N,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,.294,.329,.338,2,cf,9-22-1970,
VS,SD,N,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.306,.338,.347,2,cf,9-23-1970,
VS,HOU,N,1,6,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.308,.345,.346,2,cf,9-25-1970,
VS,HOU,N,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.305,.341,.341,2,cf,9-26-1970,
VS,HOU,N,1,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.299,.333,.333,2,cf,9-27-1970,
AT,CIN,N,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.293,.327,.326,2,cf,9-29-1970,
AT,CIN,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.281,.314,.313,2,cf,10- 1-1970,
AT,CIN,N,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,2,lf,4- 5-1971,
AT,CIN,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.125,.125,.125,2,lf,4- 7-1971,
VS,PIT,N,1,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.333,2,lf,4- 9-1971,
VS,PIT,N,1,5,3,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.471,.500,.588,2,lf,4-10-1971,
VS,PIT,N,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,.400,.409,.500,2,lf,4-11-1971,
VS,CIN,N,1,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.400,.407,.520,2,lf,4-12-1971,
VS,CIN,N,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.400,.406,.500,2,lf,4-13-1971,
VS,CIN,N,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.382,.389,.471,2,lf,4-14-1971,
AT,PHI,N,1,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.410,.415,.487,2,lf,4-16-1971,
AT,PHI,N,1,4,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,.419,.435,.535,2,lf,4-17-1971,
AT,PHI,N,1,4,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,.426,.440,.532,2,lf,4-18-1971,
AT,PIT,N,1,3,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.420,.434,.520,2,lf,4-20-1971,
AT,PIT,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.389,.404,.481,2,lf,4-21-1971,
AT,PIT,N,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.390,.403,.475,2,lf,4-22-1971,
VS,SD,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.365,.379,.444,2,lf,4-24-1971,
VS,SD,N,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.373,.386,.448,2,lf,4-25-1971,1
VS,SD,N,1,4,1,4,0,0,1,2,1,0,0,0,0,0,0,0,0,1,1,.408,.427,.521,2,lf,4-25-1971,2
VS,SF,N,1,5,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,.434,.450,.539,2,lf,4-27-1971,
VS,SF,N,1,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.425,.440,.525,2,lf,4-28-1971,
VS,SF,N,1,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.412,.427,.506,2,lf,4-29-1971,
VS,LA,N,1,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.411,.426,.511,2,lf,4-30-1971,
VS,LA,N,1,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.413,.433,.511,2,lf,5- 1-1971,
