at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,CLE,A,1,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.333,.500,.333,8,c,,4-18-1936,
VS,DET,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.400,.250,8,c,,4-23-1936,
AT,CLE,A,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.400,.500,.400,9,ph,,4-26-1936,
AT,PHI,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.333,.429,.333,7,"pr,c",,4-30-1936,
AT,WAS,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.375,.286,9,"ph,c",,5- 1-1936,
AT,NY,A,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.200,.273,.200,7,c,,5- 3-1936,
VS,NY,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.214,.267,.214,8,c,,5-12-1936,
VS,NY,A,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.188,.235,.188,8,c,,5-13-1936,
VS,NY,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.211,.167,8,c,,5-14-1936,
VS,WAS,A,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.238,.200,8,c,,5-16-1936,
AT,CHI,A,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.217,.250,.217,8,c,,5-22-1936,
AT,CHI,A,1,4,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.259,.286,.296,8,c,,5-23-1936,2
AT,CLE,A,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.241,.267,.276,9,"ph,c",,5-27-1936,
AT,DET,A,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.233,.281,.267,7,"ph,c",,5-30-1936,2
AT,NY,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.233,.281,.267,7,c,,6- 9-1936,
AT,BOS,A,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.235,.278,.265,8,c,,6-11-1936,
VS,PHI,A,1,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.237,.275,.289,8,c,,6-16-1936,
VS,PHI,A,1,3,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,.244,.311,.293,8,c,,6-17-1936,
VS,PHI,A,1,3,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.273,.347,.318,8,c,,6-18-1936,
VS,BOS,A,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.292,.358,.333,8,c,Date,6-20-1936,
VS,BOS,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.275,.339,.314,8,c,,6-21-1936,1
VS,BOS,A,1,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,.283,.356,.321,8,c,,6-21-1936,2
VS,WAS,A,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.355,.321,8,c,,6-23-1936,
VS,WAS,A,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.283,.348,.317,8,c,,6-25-1936,
VS,NY,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.274,.338,.306,8,c,,6-28-1936,2
VS,CLE,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.258,.319,.288,8,c,,7- 1-1936,2
VS,CLE,A,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.311,.279,7,c,,7- 2-1936,1
VS,DET,A,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.260,.316,.288,8,c,,7- 4-1936,2
VS,DET,A,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.253,.309,.280,7,"ph,c",,7- 5-1936,
AT,PHI,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.244,.298,.269,8,c,,7-11-1936,2
AT,WAS,A,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.238,.291,.263,7,c,,7-14-1936,
AT,BOS,A,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.300,.274,8,c,,7-15-1936,2
AT,BOS,A,1,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.250,.298,.273,8,c,,7-16-1936,1
AT,BOS,A,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.244,.299,.267,8,c,,7-16-1936,2
AT,BOS,A,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.247,.300,.280,8,c,,7-17-1936,
AT,NY,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.247,.298,.278,8,c,,7-18-1936,1
AT,NY,A,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.248,.296,.277,8,c,,7-18-1936,2
AT,NY,A,0,4,1,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,.257,.304,.286,7,"ph,c",,7-19-1936,2
VS,NY,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.250,.296,.278,8,c,,7-21-1936,
VS,NY,A,1,3,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.261,.311,.288,8,c,Date,7-22-1936,
VS,NY,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.252,.301,.278,8,c,,7-23-1936,
VS,WAS,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.248,.296,.274,8,c,,7-25-1936,
VS,WAS,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.240,.287,.264,8,c,,7-26-1936,1
VS,WAS,A,1,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.248,.293,.272,8,c,,7-26-1936,2
VS,BOS,A,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.242,.292,.266,8,c,,7-27-1936,
VS,BOS,A,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.244,.293,.267,8,c,,7-28-1936,
VS,BOS,A,1,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,.239,.292,.261,8,c,,7-29-1936,
VS,BOS,A,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.241,.293,.263,8,c,,7-30-1936,
VS,PHI,A,1,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.241,.291,.262,8,c,,7-31-1936,
VS,PHI,A,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.243,.292,.264,8,c,,8- 1-1936,
VS,PHI,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.238,.287,.259,8,c,,8- 2-1936,1
VS,PHI,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.233,.281,.253,8,c,,8- 2-1936,2
VS,CHI,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.230,.278,.250,8,c,,8- 4-1936,
VS,CHI,A,1,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.236,.281,.255,8,c,,8- 5-1936,1
VS,CHI,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.233,.278,.252,8,c,,8- 6-1936,2
VS,CLE,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.231,.276,.250,9,ph,,8-14-1936,
VS,DET,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.230,.275,.248,7,c,,8-18-1936,2
AT,CLE,A,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.226,.270,.244,7,c,,8-21-1936,
AT,CLE,A,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.228,.271,.246,8,c,,8-22-1936,
AT,CLE,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.228,.271,.246,8,c,Date,8-23-1936,
AT,NY,A,1,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.234,.276,.251,8,c,,8-25-1936,
AT,NY,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.229,.270,.246,8,c,,8-26-1936,
AT,NY,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.227,.267,.243,8,c,,8-27-1936,
AT,WAS,A,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,.224,.268,.240,8,c,,8-30-1936,1
AT,WAS,A,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.226,.269,.242,8,c,,8-30-1936,2
VS,PHI,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.225,.268,.241,9,ph,,9-10-1936,1
VS,BOS,A,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.225,.267,.241,8,c,,9-12-1936,1
VS,BOS,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.223,.265,.238,8,c,,9-12-1936,2
VS,NY,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.263,.237,9,ph,,9-13-1936,1
VS,NY,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.218,.260,.234,8,c,,9-13-1936,2
AT,CHI,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.217,.258,.232,9,ph,,9-26-1936,1
AT,CHI,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,7,c,,4-29-1937,
VS,BOS,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,7,c,,5- 4-1937,
AT,CLE,A,1,3,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.500,.600,.500,8,c,,9-11-1937,2
AT,CLE,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.429,.333,8,c,,9-12-1937,1
AT,PHI,A,1,5,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.455,.500,.545,8,c,,9-14-1937,
AT,PHI,A,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,.385,.467,.462,8,c,,9-15-1937,1
AT,PHI,A,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.375,.444,.438,8,c,,9-16-1937,
AT,WAS,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.375,.444,.438,6,c,,9-18-1937,1
AT,WAS,A,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.400,.455,.450,8,c,,9-18-1937,2
AT,BOS,A,1,4,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.417,.462,.458,6,c,,9-20-1937,1
AT,BOS,A,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.393,.433,.429,6,c,,9-20-1937,2
AT,NY,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.344,.382,.375,6,c,,9-22-1937,1
AT,NY,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.314,.351,.343,6,c,,9-22-1937,2
AT,CHI,A,1,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.359,.390,.385,7,c,,9-25-1937,
AT,CHI,A,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.357,.386,.381,7,c,,9-26-1937,1
VS,DET,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.326,.354,.348,7,c,,9-28-1937,
VS,DET,A,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.360,.354,7,"ph,c",,9-30-1937,
VS,DET,A,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.314,.352,.333,7,c,,10- 1-1937,
VS,CHI,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.302,.339,.321,7,c,,10- 3-1937,2
AT,DET,A,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.500,.500,.500,8,c,,5-16-1938,
AT,CLE,A,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,8,c,,5-19-1938,
AT,CLE,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,8,c,,5-20-1938,
AT,PHI,A,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.143,.250,.143,8,c,,5-30-1938,2
VS,STL,A,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.200,.273,.200,8,c,,6- 8-1938,
