at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,NY,A,1,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.667,.667,.667,8,3b,5-17-2012,
VS,NY,N,1,2,2,1,0,0,1,2,1,0,1,0,0,1,0,0,0,0,0,.600,.571,1.200,8,3b,5-18-2012,
VS,NY,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.375,.400,.750,8,3b,5-19-2012,
VS,NY,N,1,2,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,.400,.500,.700,9,3b,5-20-2012,
AT,TB,A,1,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.357,.444,.786,8,1b,5-22-2012,
AT,TB,A,1,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,.294,.364,.647,9,1b,5-23-2012,
AT,TEX,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.238,.308,.524,8,"1b,c",5-25-2012,
AT,TEX,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.227,.296,.500,8,"ph,1b",5-26-2012,
AT,CHI,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.192,.258,.423,7,1b,6- 6-2012,
AT,CHI,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.185,.250,.407,9,"ph,lf",6- 7-2012,
AT,ATL,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.179,.242,.393,9,ph,6- 8-2012,
AT,ATL,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.172,.235,.379,9,lf,6- 9-2012,
AT,ATL,N,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.200,.257,.400,9,ph,6-10-2012,
VS,WAS,N,0,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,.226,.278,.516,7,ph,6-11-2012,
VS,PHI,N,1,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.235,.282,.529,7,dh,6-16-2012,
VS,PHI,N,1,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,.216,.279,.486,7,1b,6-17-2012,
AT,MIL,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.211,.273,.474,9,c,6-18-2012,
AT,BOS,A,1,4,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,.214,.271,.476,9,3b,7-20-2012,
VS,OAK,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.209,.265,.465,3,"ph,c",7-25-2012,
VS,OAK,A,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,.196,.245,.435,6,1b,7-26-2012,
VS,DET,A,1,3,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,.184,.232,.408,6,1b,7-27-2012,
VS,DET,A,1,3,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.212,.267,.442,8,c,7-28-2012,
AT,SEA,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.208,.262,.434,5,lf,7-30-2012,
AT,OAK,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.193,.246,.404,8,c,8- 2-2012,
AT,OAK,A,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.183,.235,.383,6,"1b,lf",8- 3-2012,
AT,OAK,A,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.177,.239,.371,6,c,8- 4-2012,
AT,OAK,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.167,.227,.348,7,"1b,3b",8- 5-2012,
VS,NY,A,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.176,.234,.353,7,"ph,3b",8-10-2012,
VS,NY,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.169,.225,.338,8,c,8-11-2012,
VS,NY,A,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.176,.238,.338,7,3b,8-12-2012,
VS,CHI,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.173,.235,.333,7,"ph,1b",8-14-2012,
VS,CHI,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.171,.233,.329,5,1b,8-16-2012,
VS,TEX,A,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.165,.225,.316,8,c,8-19-2012,
VS,SEA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.165,.225,.316,4,1b,9-11-2012,
VS,BOS,A,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.171,.228,.317,6,dh,9-16-2012,
AT,NY,A,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.176,.232,.318,7,1b,9-19-2012,2
AT,TB,A,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.186,.240,.337,4,1b,9-21-2012,
AT,TB,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.186,.240,.337,7,c,9-22-2012,
AT,BAL,A,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.182,.242,.330,5,1b,9-24-2012,2
AT,BAL,A,1,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.196,.252,.337,5,1b,9-25-2012,
VS,NY,A,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.202,.264,.340,5,1b,9-29-2012,
VS,MIN,A,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.211,.271,.379,4,1b,10- 1-2012,
VS,MIN,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,.204,.264,.367,5,1b,10- 3-2012,
VS,NY,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.000,.000,.000,9,"c,1b",4- 9-2013,
VS,CHI,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,.000,7,c,4-12-2013,
VS,CHI,A,1,4,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,.091,.091,.364,8,c,4-13-2013,
VS,CHI,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.071,.071,.286,9,c,4-14-2013,
AT,HOU,A,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.133,.133,.333,7,c,4-20-2013,
AT,HOU,A,1,4,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,.211,.211,.632,8,c,4-21-2013,
AT,KC,A,1,5,1,1,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,.208,.208,.625,8,c,4-28-2013,2
AT,KC,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.208,.208,.625,6,c,4-29-2013,
VS,PHI,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.200,.200,.600,6,c,4-30-2013,
VS,PHI,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.207,.207,.552,8,c,5- 1-2013,
VS,MIN,A,1,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.226,.250,.548,8,c,5- 3-2013,
VS,OAK,A,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,.212,.229,.515,9,c,5- 7-2013,
VS,OAK,A,1,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.216,.231,.514,8,c,5- 9-2013,
AT,DET,A,1,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.268,.279,.561,8,c,5-12-2013,
VS,NY,A,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.283,.545,9,c,5-13-2013,2
VS,SEA,A,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.271,.280,.521,8,c,5-18-2013,
VS,SEA,A,1,5,2,3,0,0,2,4,0,0,2,0,0,0,0,0,0,0,0,.302,.309,.642,9,c,5-20-2013,
VS,DET,A,1,4,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,.316,.322,.684,9,c,5-22-2013,
AT,BOS,A,1,4,1,1,1,0,0,2,1,0,1,0,0,0,0,0,1,0,0,.311,.328,.672,7,c,5-23-2013,
AT,BOS,A,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.292,.309,.631,7,c,5-25-2013,
VS,CIN,N,1,4,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.319,.333,.638,8,c,5-30-2013,
VS,TB,A,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,.310,.320,.620,7,c,5-31-2013,
VS,TB,A,1,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,.307,.316,.613,7,c,6- 2-2013,
AT,NY,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.291,.301,.582,8,c,6- 3-2013,
AT,NY,A,1,3,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,.293,.302,.610,8,c,6- 5-2013,
AT,DET,A,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.294,.311,.600,7,c,6- 8-2013,
AT,DET,A,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.284,.301,.580,6,dh,6- 9-2013,
AT,TEX,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.272,.289,.554,8,c,6-10-2013,
AT,TEX,A,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.271,.287,.542,8,c,6-11-2013,
VS,WAS,N,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.273,.288,.535,7,c,6-16-2013,
VS,MIN,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.262,.278,.515,8,c,6-21-2013,
VS,MIN,A,1,2,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,.257,.277,.505,8,c,6-23-2013,
AT,BAL,A,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.252,.278,.495,7,c,6-26-2013,
AT,CHI,A,1,5,2,3,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,.268,.298,.509,7,c,6-28-2013,1
AT,CHI,A,1,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.284,.312,.526,8,c,6-30-2013,
AT,KC,A,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.280,.313,.517,9,c,7- 3-2013,
VS,DET,A,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.270,.303,.500,9,c,7- 8-2013,
VS,TOR,A,1,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.270,.301,.492,9,c,7-11-2013,
VS,KC,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.262,.293,.477,9,c,7-13-2013,
AT,MIN,A,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.256,.287,.466,8,c,7-19-2013,
AT,SEA,A,1,4,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,.263,.293,.489,9,c,7-23-2013,
AT,SEA,A,1,4,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.270,.303,.496,8,c,7-24-2013,
VS,TEX,A,1,4,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.283,.314,.510,9,c,7-28-2013,
VS,CHI,A,1,3,0,2,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,.291,.325,.520,9,c,7-30-2013,
VS,CHI,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.291,.325,.520,8,c,7-31-2013,
VS,CHI,A,1,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.298,.335,.523,6,c,8- 1-2013,
AT,MIA,N,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.310,.345,.529,6,c,8- 4-2013,
VS,DET,A,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.306,.345,.522,9,c,8- 6-2013,
