at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,CIN,N,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.000,.000,.000,9,p,5-28-2006,
AT,ATL,N,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.000,.000,.000,9,p,6- 3-2006,1
VS,PHI,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9,p,6- 7-2006,
VS,SF,N,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,.000,.000,9,p,6-13-2006,
AT,TEX,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0,p,6-18-2006,
VS,ANA,A,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.167,.167,9,p,6-23-2006,
VS,SEA,A,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.250,.250,.250,9,p,6-29-2006,
AT,LA,N,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.300,.300,.300,9,p,7- 4-2006,
VS,LA,N,1,3,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,.462,.462,.462,9,p,7-17-2006,
VS,COL,N,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.400,.400,.400,9,p,7-22-2006,
AT,HOU,N,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.333,.333,.333,9,p,7-28-2006,
AT,CHI,N,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.316,.316,.316,9,p,8- 3-2006,2
VS,HOU,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.300,.300,.300,9,ph,8- 5-2006,
VS,SF,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.286,.286,9,p,8- 7-2006,
VS,FLA,N,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.348,.348,.391,9,p,8-13-2006,
AT,SD,N,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.320,.320,.360,9,p,8-18-2006,
AT,SF,N,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.370,9,p,8-23-2006,
VS,SD,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.321,.321,.357,9,p,8-29-2006,
AT,FLA,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.290,.290,.323,9,p,9- 4-2006,
VS,STL,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.281,.281,.313,9,p,9-10-2006,
VS,COL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.281,.281,.313,9,p,9-17-2006,
VS,SD,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.281,.281,.313,9,p,9-28-2006,
VS,SD,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.281,.281,.313,9,p,10- 1-2006,
