at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,MIL,N,1,4,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.250,.400,.250,1,3b,9-20-1957,
VS,MIL,N,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.333,.375,1,3b,9-21-1957,
VS,MIL,N,1,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.333,.357,1,3b,9-22-1957,
AT,CIN,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.222,.263,.278,1,3b,9-24-1957,1
AT,CIN,N,1,5,2,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,.217,.280,.304,1,3b,9-24-1957,2
AT,CIN,N,1,4,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.222,.323,.296,1,3b,9-25-1957,
AT,STL,N,1,5,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,.219,.306,.281,1,3b,9-27-1957,
AT,STL,N,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.206,.308,.265,1,3b,9-28-1957,
AT,STL,N,1,4,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,.211,.318,.263,1,3b,9-29-1957,
AT,STL,N,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,.000,.250,.000,7,3b,4-15-1958,
AT,STL,N,1,3,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,.167,.286,.667,7,3b,4-17-1958,
VS,STL,N,1,3,2,2,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,.333,.455,1.000,7,3b,4-18-1958,
VS,STL,N,1,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.385,.467,.923,7,3b,4-19-1958,
VS,STL,N,1,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,.353,.421,.941,7,3b,4-20-1958,
AT,LA,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.300,.364,.800,7,3b,4-22-1958,
AT,LA,N,1,2,1,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,.318,.423,.864,7,3b,4-23-1958,
AT,LA,N,1,3,2,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.320,.452,.800,7,3b,4-24-1958,
AT,SF,N,1,3,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.357,.471,.821,7,3b,4-25-1958,
AT,SF,N,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.344,.447,.750,7,3b,4-26-1958,
AT,SF,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.306,.405,.667,7,"3b,2b",4-27-1958,
VS,MIL,N,1,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.300,.391,.625,7,3b,4-29-1958,
VS,MIL,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.273,.360,.568,6,3b,4-30-1958,
VS,MIL,N,1,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,.271,.352,.604,6,3b,5- 1-1958,
VS,MIL,N,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.260,.362,.580,6,3b,5- 2-1958,
VS,MIL,N,1,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.278,.371,.574,6,3b,5- 3-1958,
VS,CIN,N,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.276,.364,.552,6,3b,5- 4-1958,1
VS,CIN,N,1,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.266,.347,.516,6,3b,5- 4-1958,2
VS,CIN,N,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.258,.347,.500,6,3b,5- 6-1958,
VS,CIN,N,1,3,0,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,.275,.367,.507,7,3b,5- 7-1958,
VS,CIN,N,1,4,2,2,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,.288,.381,.521,7,3b,5- 8-1958,
AT,STL,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.276,.368,.500,7,3b,5- 9-1958,
AT,STL,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.266,.356,.481,6,"3b,2b",5-10-1958,
AT,STL,N,1,2,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,.259,.368,.469,8,"3b,2b",5-11-1958,1
AT,STL,N,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.259,.364,.471,8,3b,5-11-1958,2
VS,STL,N,1,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.261,.369,.489,8,"3b,2b",5-12-1958,
VS,STL,N,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.264,.368,.484,8,3b,5-13-1958,
VS,LA,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.263,.364,.474,8,3b,5-14-1958,
VS,LA,N,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.258,.357,.464,8,3b,5-15-1958,
VS,SF,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.255,.354,.459,9,2b,5-16-1958,
VS,SF,N,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.250,.348,.450,9,2b,5-17-1958,
VS,SF,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.243,.339,.437,7,3b,5-18-1958,1
VS,SF,N,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.243,.336,.430,8,"3b,2b",5-18-1958,2
AT,PIT,N,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.248,.344,.431,1,"pr,2b",5-21-1958,
AT,PHI,N,1,4,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,.248,.346,.425,1,2b,5-22-1958,
