at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,WAS,N,1,5,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,.200,.200,.200,8,ss,4-30-2009,
AT,WAS,N,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.111,.111,.111,8,ss,5- 1-2009,
VS,PHI,N,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,.083,.154,.083,8,ss,5- 4-2009,
VS,PHI,N,1,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.188,.235,.250,8,"ss,2b",5- 5-2009,
AT,CIN,N,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.235,.278,.471,2,"ph,2b",5- 8-2009,
AT,CIN,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.222,.263,.444,9,ph,5- 9-2009,
AT,PIT,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.227,.261,.409,7,"3b,2b",5-12-2009,
AT,PIT,N,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.269,.296,.423,7,ss,5-14-2009,
VS,MIL,N,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.250,.276,.393,7,ss,5-16-2009,
VS,MIL,N,1,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.250,.273,.406,9,"ss,3b",5-18-2009,
VS,CHI,N,1,3,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.257,.278,.429,9,ss,5-21-2009,
VS,KC,A,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.278,.297,.528,8,ss,5-22-2009,
VS,KC,A,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,.263,.300,.500,9,ss,5-23-2009,
VS,COL,N,1,2,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,.300,.364,.525,9,ss,6- 5-2009,
VS,COL,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.279,.340,.488,9,"ss,3b",6- 6-2009,
VS,COL,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.273,.333,.477,9,ph,6- 7-2009,
VS,COL,N,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.261,.320,.457,7,3b,6- 8-2009,
AT,FLA,N,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.260,.315,.440,7,3b,6- 9-2009,
AT,FLA,N,1,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.291,.339,.473,7,"3b,2b",6-10-2009,
AT,FLA,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.271,.317,.441,6,"ss,3b",6-11-2009,
AT,CLE,A,1,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.274,.318,.435,8,3b,6-12-2009,
AT,CLE,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.274,.318,.435,4,ss,6-13-2009,
AT,CLE,A,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.262,.304,.415,8,3b,6-14-2009,
VS,DET,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.258,.300,.409,3,ss,6-16-2009,
VS,DET,A,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.257,.297,.400,9,ss,6-17-2009,
VS,DET,A,1,4,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.270,.308,.419,9,ss,6-18-2009,
AT,KC,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.256,.293,.397,9,ss,6-19-2009,
AT,KC,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.256,.293,.397,2,ss,6-20-2009,
AT,KC,A,1,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.256,.299,.390,9,ss,6-21-2009,
AT,NY,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.265,.307,.398,2,"ph,2b",6-22-2009,
