at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,NY,A,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.333,.500,.333,7,lf,8- 7-2004,
AT,NY,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,.167,.286,.167,7,lf,8- 8-2004,
AT,NY,A,1,4,1,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,.300,.364,.700,8,lf,8- 9-2004,
AT,CLE,A,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.231,.286,.538,8,lf,8-10-2004,
VS,BAL,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.188,.235,.438,8,lf,8-13-2004,
VS,BAL,A,1,3,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.211,.286,.474,8,lf,8-14-2004,
VS,BAL,A,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,.200,.333,.450,8,lf,8-15-2004,
AT,BOS,A,1,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,.208,.321,.417,8,lf,8-16-2004,
AT,BOS,A,1,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.214,.313,.393,8,lf,8-17-2004,
AT,BOS,A,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.333,.406,8,lf,8-18-2004,
AT,BAL,A,1,2,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,.235,.366,.382,8,lf,8-20-2004,
AT,BAL,A,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.263,.378,.395,8,dh,8-21-2004,
VS,BOS,A,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.244,.354,.366,8,"dh,lf",8-23-2004,
