at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,CIN,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,9,ph,9-23-1968,1
AT,CHI,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9,ph,9-28-1968,
AT,STL,N,1,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.333,.333,.333,2,3b,4- 8-1969,
AT,STL,N,1,3,1,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,.500,.571,.500,2,3b,4- 9-1969,
AT,STL,N,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.455,.500,.455,2,3b,4-10-1969,
VS,PHI,N,1,5,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.438,.471,.438,2,3b,4-11-1969,
VS,PHI,N,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.368,.429,.368,2,3b,4-12-1969,
VS,PHI,N,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.375,.423,.375,2,3b,4-13-1969,
AT,CHI,N,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.346,.414,.346,2,3b,4-15-1969,
VS,NY,N,1,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.357,.455,.357,2,3b,4-17-1969,
AT,PHI,N,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.345,.457,.345,5,"ph,3b",4-19-1969,
AT,PHI,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.303,.410,.303,2,3b,4-20-1969,
VS,CHI,N,1,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,.297,.395,.297,2,3b,4-22-1969,1
VS,CHI,N,1,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.325,.426,.325,2,3b,4-22-1969,2
VS,MON,N,1,5,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.356,.442,.378,2,3b,4-25-1969,
VS,STL,N,1,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.354,.446,.396,2,3b,4-30-1969,1
VS,STL,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.327,.417,.365,2,3b,4-30-1969,2
VS,STL,N,1,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.339,.422,.411,2,3b,5- 1-1969,
AT,MON,N,1,5,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,.344,.420,.410,2,3b,5- 2-1969,
