at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,WAS,A,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,.167,.167,.167,4,"ph,cf",6- 4-1971,
AT,WAS,A,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.286,.286,2,"ph,lf",6- 6-1971,
VS,CAL,A,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.182,.182,.182,1,lf,7-11-1971,1
VS,CAL,A,1,5,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.313,.313,.438,1,rf,7-11-1971,2
VS,DET,A,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.444,9,"ph,cf,lf",7-15-1971,
VS,DET,A,1,4,0,2,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,.364,.364,.500,6,"cf,rf",7-16-1971,
VS,DET,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.346,.346,.462,3,rf,7-17-1971,
VS,BAL,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.333,.333,.433,3,cf,7-18-1971,
VS,BAL,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.294,.294,.382,3,rf,7-19-1971,
VS,CLE,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.294,.294,.382,3,rf,7-20-1971,
AT,DET,A,1,5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.282,.282,.385,2,"cf,lf",7-23-1971,
AT,DET,A,1,5,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,.295,.295,.409,2,"cf,lf",7-24-1971,
AT,DET,A,1,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.313,.313,.417,6,"lf,cf",7-25-1971,2
AT,BAL,A,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,.300,.314,.400,7,lf,7-27-1971,1
AT,BAL,A,1,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.296,.309,.389,2,cf,7-27-1971,2
AT,BAL,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.293,.305,.379,2,"cf,lf",7-28-1971,
AT,CLE,A,1,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.306,.317,.387,7,lf,7-30-1971,
AT,CLE,A,1,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,.288,.299,.364,6,lf,7-31-1971,
AT,CLE,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.284,.294,.358,3,rf,8- 1-1971,1
AT,KC,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.279,.290,.353,9,lf,8- 3-1971,
VS,CHI,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.275,.286,.348,9,ph,8- 6-1971,
VS,CHI,A,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.282,.292,.352,7,lf,8- 8-1971,1
VS,CHI,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.280,.289,.347,7,"lf,rf",8- 8-1971,2
AT,BOS,A,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.278,.288,.342,7,cf,8-10-1971,1
AT,BOS,A,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.277,.286,.337,6,cf,8-10-1971,2
AT,BOS,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.271,.279,.329,7,cf,8-11-1971,
AT,WAS,A,1,3,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,.273,.278,.330,6,cf,8-18-1971,
VS,BOS,A,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.264,.269,.319,7,cf,8-22-1971,2
AT,CAL,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.261,.266,.315,7,cf,9- 1-1971,
AT,MIN,A,1,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.263,.283,.316,2,lf,9- 5-1971,
VS,CAL,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.253,.272,.303,7,lf,9- 7-1971,
VS,MIN,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.250,.269,.300,9,ph,9-10-1971,
VS,MIN,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.269,.300,9,ph,9-12-1971,
AT,CHI,A,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.250,.269,.308,7,lf,9-15-1971,1
AT,CHI,A,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.268,.306,5,lf,9-15-1971,2
AT,MIL,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.250,.268,.306,8,pr,9-17-1971,
AT,MIL,A,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.245,.263,.300,3,rf,9-19-1971,
VS,CHI,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.245,.263,.300,9,pr,9-21-1971,1
VS,CHI,A,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.241,.259,.295,3,rf,9-21-1971,2
VS,MIL,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.241,.259,.295,1,pr,9-24-1971,
VS,MIL,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.239,.256,.292,3,rf,9-25-1971,
VS,KC,A,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,.237,.254,.289,9,"lf,cf",9-29-1971,
VS,KC,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,.000,9,ph,4-19-1972,2
AT,NY,A,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.500,.500,9,ph,4-26-1972,
AT,MIL,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.333,7,ph,4-30-1972,
AT,KC,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,3,rf,5-19-1972,
AT,KC,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,.250,.250,.250,9,ph,5-21-1972,
VS,CAL,A,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.429,.429,.429,9,"ph,cf",5-24-1972,
VS,CHI,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.273,.273,.273,5,cf,5-26-1972,
VS,CHI,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.200,.200,.200,6,cf,5-27-1972,
VS,CHI,A,1,5,1,2,0,0,1,3,0,0,1,0,0,0,0,0,0,1,0,.250,.250,.400,6,cf,5-28-1972,
AT,TEX,A,1,3,1,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,.261,.261,.522,6,cf,5-29-1972,1
AT,TEX,A,1,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,.231,.222,.462,6,cf,5-30-1972,
AT,TEX,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.231,.222,.462,3,"pr,cf",5-31-1972,
AT,BAL,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.233,.226,.433,6,cf,6- 2-1972,
AT,BAL,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.235,.229,.412,6,cf,6- 3-1972,
AT,CLE,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.211,.205,.368,6,cf,6- 6-1972,
VS,BAL,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.205,.200,.359,9,ph,6-13-1972,
VS,BAL,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.195,.350,7,ph,6-14-1972,
VS,CLE,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.195,.350,6,rf,6-16-1972,
VS,CLE,A,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.190,.186,.333,6,rf,6-17-1972,
VS,CLE,A,1,5,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,.213,.208,.404,7,"rf,cf",6-18-1972,
VS,DET,A,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,.200,.192,.380,7,rf,6-19-1972,
VS,DET,A,1,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,.204,.196,.426,7,"rf,cf",6-20-1972,
VS,DET,A,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.207,.200,.414,7,rf,6-21-1972,
VS,CAL,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.203,.197,.407,8,ph,6-24-1972,
VS,CAL,A,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.210,.203,.403,2,"pr,lf",6-25-1972,2
AT,TEX,A,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.200,.194,.385,2,"rf,lf",6-26-1972,
AT,CHI,A,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,.197,.203,.379,6,"pr,rf",6-28-1972,
AT,CHI,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.194,.200,.373,9,ph,6-29-1972,1
AT,CAL,A,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.188,.205,.362,6,"pr,rf",7- 2-1972,
AT,CAL,A,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.183,.200,.352,6,rf,7- 3-1972,
VS,NY,A,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.173,.190,.333,6,cf,7- 6-1972,
VS,BOS,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.173,.190,.333,5,pr,7-10-1972,
VS,BOS,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.171,.188,.329,9,ph,7-12-1972,
AT,NY,A,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.182,.198,.351,5,"ph,rf",7-14-1972,1
AT,NY,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.173,.188,.333,7,cf,7-14-1972,2
AT,BOS,A,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.171,.186,.329,8,"ph,lf",7-21-1972,
AT,BOS,A,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.167,.182,.321,3,cf,7-22-1972,1
