at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
VS,STL,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,.000,9,ph,9-15-1962,
VS,CHI,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.500,.500,8,"ph,rf",9-20-1962,2
VS,CIN,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,9,ph,9-21-1962,
VS,CIN,N,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.333,.500,.333,8,ph,9-23-1962,
AT,CHI,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.250,.400,.250,9,ph,9-26-1962,
AT,CIN,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.333,.200,8,ph,9-28-1962,
VS,CIN,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9,ph,4-10-1963,
AT,STL,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,.000,9,ph,4-14-1963,2
AT,MIL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,7,pr,4-16-1963,
AT,MIL,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,8,ph,4-17-1963,
VS,STL,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,.000,9,ph,4-19-1963,
VS,STL,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,.000,8,ph,4-21-1963,1
VS,PIT,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000,.167,.000,9,ph,4-24-1963,
AT,CHI,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.143,.000,9,ph,4-27-1963,
AT,MIL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.143,.000,4,"pr,lf",9- 3-1963,
VS,MIL,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.125,.000,8,ph,9- 6-1963,
VS,NY,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.111,.000,9,ph,9- 9-1963,
VS,HOU,N,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.100,.182,.100,7,1b,9-10-1963,
AT,HOU,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.091,.167,.091,9,"ph,lf",9-20-1963,
AT,SF,N,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.167,.231,.417,8,ph,9-24-1963,
AT,SF,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.231,.417,8,ph,9-25-1963,
AT,CHI,N,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.000,.500,.000,3,"pr,cf",4-18-1964,
AT,CHI,N,1,5,2,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,.333,.429,.833,6,cf,4-19-1964,
VS,PIT,N,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,.429,.500,1.000,9,ph,4-23-1964,
VS,CHI,N,1,4,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.545,.583,1.273,6,"1b,lf",4-24-1964,
VS,CHI,N,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.462,.563,1.077,6,1b,4-25-1964,
AT,MIL,N,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.375,.500,.875,6,1b,5- 2-1964,
AT,MIL,N,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.368,.478,.789,6,1b,5- 3-1964,
AT,STL,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.304,.407,.652,6,1b,5- 4-1964,
AT,STL,N,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.308,.419,.615,6,1b,5- 5-1964,
VS,MIL,N,1,4,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,.333,.429,.633,6,"1b,lf",5- 6-1964,
VS,MIL,N,1,4,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.382,.475,.676,6,"1b,lf",5- 7-1964,
VS,CIN,N,1,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.333,.422,.590,6,"1b,lf",5- 8-1964,
VS,CIN,N,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.302,.388,.535,6,"1b,lf",5- 9-1964,
VS,STL,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.295,.380,.523,9,ph,5-12-1964,
VS,STL,N,1,4,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.313,.389,.542,5,"1b,lf",5-14-1964,
AT,HOU,N,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,.321,.390,.528,5,"1b,rf",5-15-1964,
AT,HOU,N,1,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.397,.544,5,1b,5-16-1964,
AT,HOU,N,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.317,.388,.517,5,"1b,lf",5-17-1964,
AT,HOU,N,1,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.313,.380,.500,6,"1b,lf",5-18-1964,
AT,SF,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.309,.373,.485,5,1b,5-19-1964,
AT,SF,N,1,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.288,.350,.452,5,"1b,lf",5-20-1964,
AT,SF,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.284,.346,.446,4,ph,5-21-1964,
AT,LA,N,1,3,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,.299,.365,.455,6,"1b,lf",5-22-1964,
AT,LA,N,1,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,.280,.344,.427,6,1b,5-23-1964,
AT,LA,N,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.274,.337,.417,5,1b,5-24-1964,
AT,PIT,N,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.261,.323,.398,6,1b,5-26-1964,
AT,PIT,N,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.261,.320,.391,6,"1b,lf",5-27-1964,
AT,PIT,N,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.269,.327,.409,9,ph,5-28-1964,
VS,HOU,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.260,.317,.396,6,"1b,lf",5-29-1964,
VS,HOU,N,1,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.270,.324,.420,6,"1b,lf",5-30-1964,
VS,HOU,N,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.272,.324,.437,6,"1b,lf",5-31-1964,
VS,LA,N,1,4,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.290,.339,.449,6,"1b,lf",6- 2-1964,
VS,LA,N,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.288,.336,.441,6,1b,6- 3-1964,
VS,SF,N,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,.281,.328,.430,6,1b,6- 5-1964,
VS,SF,N,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,.276,.320,.422,6,1b,6- 6-1964,
VS,SF,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.274,.317,.419,5,"lf,1b",6- 7-1964,
VS,PIT,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.280,.323,.424,9,1b,6- 9-1964,1
VS,PIT,N,1,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,.273,.321,.413,6,1b,6- 9-1964,2
VS,PIT,N,1,3,1,1,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,.274,.321,.435,6,1b,6-10-1964,
VS,NY,N,1,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.281,.326,.453,6,1b,6-12-1964,
VS,NY,N,1,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.293,.336,.459,2,1b,6-13-1964,
VS,NY,N,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.283,.324,.442,2,1b,6-14-1964,1
AT,CHI,N,1,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,.284,.329,.461,2,lf,6-16-1964,
AT,CHI,N,1,4,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.283,.331,.455,2,lf,6-17-1964,
AT,CHI,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.288,.335,.459,5,"ph,lf",6-18-1964,
AT,NY,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.280,.327,.447,5,lf,6-19-1964,1
AT,NY,N,1,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,.275,.319,.438,5,lf,6-19-1964,2
AT,NY,N,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.276,.324,.436,5,lf,6-20-1964,
AT,NY,N,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.269,.316,.425,2,1b,6-21-1964,1
AT,NY,N,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.261,.307,.412,2,"1b,rf",6-21-1964,2
VS,CHI,N,1,4,3,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.278,.326,.438,2,1b,6-23-1964,2
VS,CHI,N,1,5,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.282,.328,.454,2,1b,6-24-1964,
AT,STL,N,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.277,.323,.446,2,1b,6-26-1964,
AT,STL,N,1,3,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,.283,.332,.450,2,1b,6-28-1964,1
AT,HOU,N,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.277,.325,.440,2,cf,6-29-1964,
AT,HOU,N,1,5,2,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,.286,.332,.444,5,"1b,lf",6-30-1964,
AT,LA,N,1,4,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.280,.329,.435,2,"1b,lf",7- 2-1964,
AT,SF,N,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,.273,.321,.424,2,"1b,lf",7- 3-1964,
AT,SF,N,1,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.271,.318,.419,2,"1b,lf",7- 4-1964,
AT,SF,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.266,.313,.411,2,"1b,lf",7- 5-1964,
VS,CIN,N,1,2,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,.263,.313,.407,2,"1b,lf",7- 9-1964,
VS,CIN,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.262,.311,.405,5,ph,7-11-1964,
VS,MIL,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.262,.314,.405,9,ph,7-12-1964,1
VS,MIL,N,1,5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.260,.312,.405,2,1b,7-12-1964,2
AT,PIT,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.264,.315,.407,1,ph,7-14-1964,
AT,PIT,N,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.260,.311,.402,2,1b,7-15-1964,
AT,PIT,N,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.258,.308,.398,5,"ph,lf",7-16-1964,
AT,CIN,N,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.254,.305,.393,5,"pr,lf",7-18-1964,
AT,CIN,N,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.256,.305,.392,7,lf,7-19-1964,1
AT,CIN,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.254,.304,.390,9,ph,7-19-1964,2
AT,MIL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.254,.304,.390,6,"pr,lf",7-22-1964,
AT,MIL,N,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.257,.305,.391,3,"ph,1b,lf",7-23-1964,
VS,STL,N,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,.257,.304,.391,6,ph,7-25-1964,
VS,SF,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.252,.299,.385,2,1b,7-29-1964,
VS,SF,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.252,.302,.385,8,"ph,1b",7-30-1964,
VS,LA,N,1,3,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.249,.301,.380,2,"1b,lf",7-31-1964,
VS,LA,N,1,5,1,3,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,.256,.307,.397,5,"1b,lf",8- 1-1964,
VS,LA,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.255,.306,.395,9,ph,8- 2-1964,
VS,HOU,N,1,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,.252,.302,.390,2,"1b,lf",8- 5-1964,1
VS,HOU,N,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.257,.306,.394,2,1b,8- 5-1964,2
VS,HOU,N,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.257,.305,.391,2,1b,8- 6-1964,
VS,NY,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.256,.304,.390,4,"lf,rf",8- 8-1964,
VS,NY,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.256,.304,.390,4,lf,8- 9-1964,
AT,CHI,N,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.254,.302,.387,5,lf,8-11-1964,
AT,CHI,N,1,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.251,.301,.382,1,cf,8-12-1964,
AT,CHI,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.250,.300,.381,9,ph,8-13-1964,
AT,NY,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.300,.381,5,"pr,lf",8-14-1964,1
AT,NY,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.300,.381,4,lf,8-14-1964,2
AT,NY,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.300,.381,4,lf,8-15-1964,
AT,NY,N,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.252,.302,.393,9,"ph,lf",8-16-1964,
VS,CHI,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.252,.302,.393,9,ph,8-18-1964,
VS,CHI,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.252,.302,.393,8,"pr,lf",8-19-1964,
VS,PIT,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.252,.302,.393,4,"pr,lf",8-20-1964,2
VS,PIT,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.252,.302,.393,1,"pr,lf",8-21-1964,
VS,PIT,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.251,.301,.392,9,ph,8-22-1964,
VS,PIT,N,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.253,.302,.396,5,"pr,lf",8-23-1964,
AT,MIL,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.252,.301,.395,9,1b,8-24-1964,
AT,MIL,N,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.255,.303,.397,9,"ph,lf",8-25-1964,
AT,MIL,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.255,.306,.397,5,lf,8-26-1964,
AT,PIT,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.255,.306,.397,3,lf,8-28-1964,
AT,PIT,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.254,.305,.396,4,lf,8-29-1964,
VS,HOU,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.257,.307,.398,4,lf,9- 1-1964,
VS,HOU,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.257,.307,.398,4,lf,9- 2-1964,
VS,HOU,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.256,.306,.396,8,ph,9- 3-1964,
VS,SF,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.256,.306,.396,5,lf,9- 4-1964,
VS,SF,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.255,.305,.395,5,lf,9- 5-1964,
VS,SF,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.254,.304,.393,9,ph,9- 6-1964,
VS,LA,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.254,.304,.393,5,lf,9- 7-1964,1
VS,STL,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.253,.303,.392,4,"pr,lf",9- 9-1964,
VS,STL,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.253,.303,.392,5,lf,9-10-1964,
AT,SF,N,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.250,.300,.388,5,"1b,lf",9-11-1964,
AT,SF,N,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.246,.296,.382,5,1b,9-12-1964,
AT,SF,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.246,.296,.382,5,lf,9-13-1964,
AT,HOU,N,1,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,.244,.295,.378,5,"1b,lf",9-14-1964,
AT,HOU,N,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.242,.294,.375,5,1b,9-15-1964,
