at_vs,Opponent,League,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Date,dblhead_num
AT,CHI,A,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.400,.400,.400,2,2b,7-16-1987,
AT,CHI,A,1,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,.333,.400,.333,2,2b,7-17-1987,
AT,CHI,A,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.357,.400,.357,2,2b,7-18-1987,
AT,CHI,A,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,.294,.316,.294,2,2b,7-19-1987,
AT,KC,A,1,4,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,.286,.304,.286,2,2b,7-20-1987,
AT,KC,A,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.280,.296,.320,2,2b,7-21-1987,
AT,KC,A,1,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.241,.281,.276,2,2b,7-22-1987,
VS,TEX,A,1,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,.212,.250,.242,2,2b,7-23-1987,
VS,TEX,A,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.216,.250,.243,2,2b,7-24-1987,
VS,TEX,A,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.195,.227,.220,2,2b,7-25-1987,
VS,TEX,A,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.178,.208,.200,2,2b,7-26-1987,
VS,BAL,A,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,.191,.220,.213,2,"ph,2b",7-28-1987,
VS,BAL,A,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.196,.222,.216,2,2b,7-29-1987,
VS,BAL,A,1,4,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,.218,.254,.255,2,2b,7-30-1987,
AT,TOR,A,1,5,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,.233,.266,.267,2,2b,8- 1-1987,
AT,TOR,A,1,5,0,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,.246,.275,.277,2,2b,8- 2-1987,
